Block,Time,NR/30092023/26122029/SH-06,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01122023/07122023/HP-18,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,SR/01122023/31122023/BYPL_KSEB_DEC23,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01122023/15122023/HP-15,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,26.020000,96.410000,26.020000,192.820000,1.530000,1.900000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,7.83,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,83.38,0,0,0,83.38,0,0,0,0,35,0,0,0,0,0,35,105,0,0,27.74

2,00:15-00:30,26.020000,96.410000,26.020000,173.540000,1.530000,1.900000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,7.66,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,83.22,0,0,0,83.22,0,0,0,0,34.92,0,0,0,0,0,34.94,104.81,0,0,27.71

3,00:30-00:45,26.020000,96.410000,26.020000,173.540000,1.530000,1.900000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,7.66,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,83.05,0,0,0,83.05,0,0,0,0,34.66,0,0,0,0,0,34.67,104,0,0,28.32

4,00:45-01:00,26.020000,96.410000,26.020000,149.130000,1.530000,1.900000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,7.87,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,82.94,0,0,0,82.94,0,0,0,0,34.51,0,0,0,0,0,34.5,103.51,0,0,28.14

5,01:00-01:15,26.020000,96.410000,26.020000,149.130000,1.530000,1.900000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.12,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,82.77,0,0,0,82.77,0,0,0,0,34.4,0,0,0,0,0,34.39,103.18,0,0,27.5

6,01:15-01:30,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.3,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,82.53,0,0,0,82.53,0,0,0,0,29.95,0,0,0,0,0,29.95,89.85,0,0,28.7

7,01:30-01:45,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.5,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,82.38,0,0,0,82.38,0,0,0,0,29.93,0,0,0,0,0,29.94,89.82,0,0,25.53

8,01:45-02:00,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.66,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,82.21,0,0,0,82.21,0,0,0,0,29.95,0,0,0,0,0,29.95,89.85,0,0,25.58

9,02:00-02:15,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.84,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,81.91,0,0,0,81.91,0,0,0,0,33.34,0,0,0,0,0,33.33,100,0,0,25.45

10,02:15-02:30,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,8.93,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,81.35,0,0,0,81.35,0,0,0,0,33.34,0,0,0,0,0,33.33,100,0,0,26.29

11,02:30-02:45,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,9.04,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,83.38,0,0,0,83.38,0,0,0,0,33.34,0,0,0,0,0,33.33,100,0,0,33.49

12,02:45-03:00,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,53.030000,123.290000,120.510000,24.100000,0.000000,48.20,9.15,31.820000,0.000000,57.410000,0.000000,1.400000,0.000000,83.22,0,0,0,83.22,0,0,0,0,33.34,0,0,0,0,0,33.33,100,0,0,33.62

13,03:00-03:15,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,51.130000,123.290000,120.510000,24.100000,0.000000,48.20,9.28,31.470000,0.000000,57.410000,0.000000,1.320000,0.000000,83.05,0,0,0,83.05,0,0,0,0,36.66,0,0,0,0,0,36.67,110,0,0,33.64

14,03:15-03:30,26.020000,96.410000,26.020000,149.130000,1.530000,1.950000,71.730000,51.130000,123.290000,120.510000,24.100000,0.000000,48.20,9.39,31.470000,0.000000,57.410000,0.000000,1.320000,0.000000,82.94,0,0,0,82.94,0,0,0,0,36.66,0,0,0,0,0,36.67,110,0,0,33.8

15,03:30-03:45,26.020000,96.410000,26.020000,149.130000,1.460000,1.950000,71.730000,48.200000,123.290000,120.510000,24.100000,0.000000,48.20,9.29,31.470000,0.000000,57.410000,0.000000,1.320000,0.000000,82.77,0,0,0,82.77,0,0,0,0,38.34,0,0,0,0,0,38.33,115,0,0,33.19

16,03:45-04:00,26.020000,96.410000,26.020000,149.130000,1.460000,1.950000,71.730000,48.200000,123.290000,120.510000,24.100000,0.000000,48.20,9.17,31.470000,0.000000,57.410000,0.000000,1.320000,0.000000,82.53,0,0,0,82.53,0,0,0,0,38.34,0,0,0,0,0,38.33,115,0,0,32.8

17,04:00-04:15,26.020000,96.410000,26.020000,149.130000,1.460000,1.950000,71.730000,48.200000,123.290000,120.510000,24.100000,0.000000,48.20,8.91,31.470000,0.000000,57.410000,0.000000,1.320000,0.000000,71.84,0,0,0,71.84,0,0,0,0,38.34,0,0,0,0,0,38.33,115,0,0,32.43

