Time,Block,NR/2024/20375/C,NR/2024/20082/A/19932,NR/2024/20383/C,NR/2024/20370/C,NR/2024/19918/A/19933,NR/2024/19475/A/19876,NR/2024/20374/C,NR/2024/20031/A/19900,NR/2024/20050/A/19895,NR/2024/20142/A/19687,NR/2024/20211/A/19689,NR/2024/20384/C,NR/2024/20033/A/19901,NR/2024/20141/A/19688,NR/2024/20052/A/19465,NR/2024/20034/A/19898,NR/2024/20040/A/19931,NR/2024/19760/A/19640,NR/2024/20037/A/19638,NR/2024/20385/C,NR/2024/20048/A/19896,NR/2024/20041/A/19897,NR/2024/20369/C,NR/2024/20090/A/19543,NR/2024/19779/A/19535,NR/2024/19699/A/19903,NR/2024/20212/A/19690,NR/2024/19432/A/19906,NR/2024/20144/A/19686,NR/2024/19966/A/19663,NR/2024/20130/A/19656,NR/2024/19637/A/19672,NR/2024/19588/A/19696,NR/2024/19355/A/20047,NR/2024/20109/A/20046,NR/2024/19683/A/19560,NR/2024/20368/C,Total
,,HPXL,APPCPL,HPXL,NVVNL,APPCPL,AEL,HPXL,NVVNL,PTC,BAL224,JHPL-DL,PXIL,NVVNL,BAL184,DIAPL,NVVNL,APPCPL,TPTCL,TPTCL,PXIL,PTC,PTC,NVVNL,IEXL,ITCLH,NVVNL,UHL,NVVNL,BAL234,BRPL,DTCP,INSTINCT,GMRETL,TPDDL,TPDDL,IEXL,NVVNL,Total

,,ANDHRA PRADESH,SIKKIM,MEGHALAYA,NA,NAGALAND,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,NA,MAHARASHTRA,KERALA,HIMACHAL PRADESH,MAHARASHTRA,NA,MAHARASHTRA,ANDHRA PRADESH,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,RAJASTHAN,NA,NA,HIMACHAL PRADESH,NA,
,,LVSPOWERAP,SIKKIM,Meghalaya_Ben,SORANG_HEP,Nagaland_Ben,APL_Raipur TPP,GBHHPL,RKM_POWER,HP,SHPPBPL,SHPPBPL,HP-GOVT,SKS Raigarh,SHPPBPL,GBHHPL,RKM_POWER,Manipur_Ben,SIMHAPURI,JPL_DHULE,KSEB,HP,JPL_DHULE,KAMENG,A_A_Energy_MH_Bio,ITCWIND,JP BINA,SHPPBPL,SEIL,SHPPBPL,IEPLBELA2022,SHPPBPL,JPL-2,RUVNL,JPL-2,JHAJJAR,NHCPL_HP,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,BRPL,TPDDL,BYPL,BRPL,BYPL,NDMC,BRPL,BAL224,JHPL-DL,BRPL,NDMC,BAL184,DIAPL,NDMC,BYPL,BRPL,TPDDL,BRPL,BYPL,BRPL,TPDDL,MES (Delhi),ITCLH,TPDDL,UHL,TPDDL,BAL234,BRPL,DTCP,BRPL,BYPL,TPDDL,TPDDL,MES (Delhi),MES (Delhi),
,,South-East-North,East-North,North East-East-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,South-West-North,West-North,South-West-North,North-North,West-North,North East-East-North,West-North,South-West-North,West-North,North-North,South-West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,27.240000,11.590000,211.510000,11.590000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1687.95

2,00:15-00:30,27.240000,11.590000,213.440000,11.590000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,167.080000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1689.88

3,00:30-00:45,27.240000,11.590000,213.440000,11.590000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,166.890000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1689.69

4,00:45-01:00,27.240000,11.590000,214.410000,11.590000,13.520000,193.160000,28.970000,21.360000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,21.360000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,166.890000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1690.66

5,01:00-01:15,0.000000,11.590000,226.000000,11.590000,13.520000,193.160000,0.000000,23.540000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,23.540000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,166.890000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1650.4

6,01:15-01:30,0.000000,11.590000,221.170000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1617.58

7,01:30-01:45,0.000000,11.590000,226.960000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1623.37

8,01:45-02:00,0.000000,11.590000,229.860000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,241.450000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,96.580000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1626.27

9,02:00-02:15,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1058.38

10,02:15-02:30,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1058.38

11,02:30-02:45,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1058.38

12,02:45-03:00,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.630000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,241.450000,1.930000,0,1058.38

13,03:00-03:15,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

14,03:15-03:30,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

15,03:30-03:45,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

16,03:45-04:00,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

17,04:00-04:15,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

18,04:15-04:30,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

19,04:30-04:45,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

