Time,Block,NR/2023/11368/F,NR/2023/10197/A,NR/2023/12021/C,NR/2023/11096/F,NR/2023/11341/F,NR/2023/10433/A,NR/2023/12019/C,NR/2023/11102/F,NR/2023/12025/C,NR/2023/11367/F,NR/2023/11221/F,NR/2023/11100/F,NR/2023/10181/A,NR/2023/11097/F,NR/2023/10182/A,NR/2023/11369/F,NR/2023/11099/F,NR/2023/11095/F,NR/2023/11343/F,NR/2023/11166/F,NR/2023/10486/A,NR/2023/11154/F,NR/2023/12018/C,NR/2023/11104/F,NR/2023/12012/D,NR/2023/12014/D,NR/2023/12015/D,Total
,,SHPPBPL,TPTCL,PXIL,SHPPBPL,IEXL,NVVNL,SJVNL,SHPPBPL,TPDDL,SHPPBPL,IEXL,SHPPBPL,NVVNL,SHPPBPL,NVVNL,SHPPBPL,SHPPBPL,APPCPL,IEXL,IEXL,TPTCL,HPXL,GBHHPL,SHPPBPL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,HIMACHAL PRADESH,NA,DELHI,HIMACHAL PRADESH,TELANGANA,NA,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,KARNATAKA,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,
,,SHPPBPL,JPL,BYPL,SHPPBPL,NAVABHARAT,SEIL,IPCL_WB,SHPPBPL,CHANJUII,SHPPBPL,KPRSUGAR,SHPPBPL,ILFS,SHPPBPL,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,Manipur_Ben,JSPL_DCPP,VISHWARAJSUGAR,APNRL,NIRANISUGAR,GBHHPL,SHPPBPL,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL224,BRPL,AMBASTL,MAX-HPTL,BRPL,TPDDL,NDMC,JHPL-DL,TPDDL,BAL184,BRPL,BMDRC,BRPL,MHIL,BRPL,BAL234,UHL,STT,BRPL,BRPL,TPDDL,BRPL,DIAPL,AISHER,BYPL,MES (Delhi),BRPL,
,,North-North,West-North,North-North,North-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,South-West-North,East-North,South-East-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.860000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.25

2,00:15-00:30,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.860000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.25

3,00:30-00:45,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.860000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.25

4,00:45-01:00,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.860000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.25

5,01:00-01:15,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.770000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.16

6,01:15-01:30,0.310000,49.910000,0.000000,0.530000,115.740000,13.230000,0.000000,0.600000,10.770000,0.310000,17.360000,0.530000,99.830000,0.360000,49.910000,0.610000,0.360000,2.890000,48.220000,14.470000,20.590000,9.640000,28.540000,0.450000,0,0,0,485.16

