Block,Time,RIHAND3,DADRT2,ANTA_CRF,DULHASTI,DADRI_RF,UNCHAHAR4,AURY_CRF,NAPP,KISHANGANGA,CHAMERA3,TEHRI,SEWA2,RIHAND2,NJPC,SINGRAULI,TANDA2,KOLDAM,RIHAND1,TANAKPUR,URI2,URI,UNCHAHAR2,KOTESHWR,BSIUL,DADRI_CRF,ANTA_GF,ANTA_RF,RAPPC,PARBATI3,SALAL,UNCHAHAR3,DHAULIGNGA,CHAMERA1,RAPPB,AURY_RF,CHAMERA2,JHAJJAR,AURY_GF,KHSTPP-I,DADRI_GF,ANTA_LF,RAMPUR,DADRI_LF,KHSTPP-II,BRBCL,AURY_LF,TALA,UNCHAHAR1,SINGRAULI_HYDRO,SASAN,FSTPP I & II,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,118.681900,659.102725,0.000000,47.444263,0.000000,0.000000,0.000000,37.821009,0.000000,18.575646,43.531992,0.000000,113.364562,109.060308,98.609175,0.000000,0.000000,88.292400,12.785507,30.983723,46.618387,40.681779,8.516378,1.055670,0.000000,0.000000,0.000000,48.714372,0.000000,55.758570,25.326579,26.242709,37.908150,0.000000,0.000000,37.917862,626.828151,0.000000,40.195115,0.000000,0.000000,0.000000,0.000000,137.408697,11.074458,0.000000,23.982903,19.179604,0.973030,332.536050,17.409054,100.29,0,0,0,0,0

2,00:15-00:30,118.681900,659.102725,0.000000,47.444263,0.000000,0.000000,0.000000,37.821009,0.000000,18.575646,43.531992,0.000000,113.364562,109.060308,98.609175,0.000000,0.000000,88.292400,12.785507,30.983723,46.618387,40.681779,8.516378,1.055670,0.000000,0.000000,0.000000,48.714372,0.000000,55.758570,21.772714,26.242709,37.529068,0.000000,0.000000,37.917862,626.828151,0.000000,40.195115,0.000000,0.000000,0.000000,0.000000,137.418003,11.074458,0.000000,23.982903,16.230926,0.973030,332.536050,17.409054,98.37,0,0,0,0,0

3,00:30-00:45,118.681900,659.102725,0.000000,47.444263,0.000000,0.000000,0.000000,37.821009,0.000000,18.575646,29.021328,0.000000,113.364562,109.060308,98.609175,0.000000,0.000000,88.292400,12.785507,30.983723,8.476070,40.681779,8.516378,1.055670,0.000000,0.000000,0.000000,48.714372,0.000000,55.758570,21.772714,26.242709,37.529068,0.000000,0.000000,37.917862,626.828151,0.000000,40.195115,0.000000,0.000000,0.000000,0.000000,137.418003,11.074458,0.000000,23.982903,16.230926,0.973030,332.536050,17.409054,96.45,0,0,0,0,0

4,00:45-01:00,118.681900,659.102725,0.000000,47.444263,0.000000,0.000000,0.000000,37.821009,0.000000,18.575646,29.021328,0.000000,113.364562,109.060308,98.609175,0.000000,0.000000,88.292400,12.785507,30.983723,8.476070,40.681779,8.516378,1.055670,0.000000,0.000000,0.000000,48.714372,0.000000,55.758570,21.772714,26.242709,26.958760,0.000000,0.000000,37.917862,626.828151,0.000000,40.195115,0.000000,0.000000,0.000000,0.000000,137.418003,11.074458,0.000000,23.982903,16.230926,0.973030,332.536050,17.409054,93.57,0,0,0,0,0

5,01:00-01:15,118.681900,659.102725,0.000000,47.444263,0.000000,0.000000,0.000000,37.821009,0.000000,18.575646,14.510664,0.000000,113.364562,109.060308,98.609175,0.000000,0.000000,88.292400,12.785507,30.983723,8.476070,40.681779,8.516378,6.258012,0.000000,0.000000,0.000000,48.714372,0.000000,55.758570,21.772714,26.242709,13.419485,0.000000,0.000000,37.917862,626.828151,0.000000,40.195115,0.000000,0.000000,0.000000,0.000000,137.418003,11.074458,0.000000,23.982903,16.230926,0.973030,332.536050,17.409054,89.73,0,0,0,0,0

