Block,Time,SINGRAULI,DADRI_CRF,CHAMERA3,RAMPUR,RIHAND2,SEWA2,SIMHST1,VALLURNTECL,ANTA_RF,AURY_GF,DULHASTI,FSTPP I & II,NAPP,NJPC,NLCEXP,RIHAND1,TANDA2,UNCHAHAR2,URI2,AURY_RF,DADRI_GF,KISHANGANGA,NLCIIST2,NNTPP,RIHAND3,RSTPSU1TO6,ANTA_CRF,ANTA_LF,AURY_CRF,DADRI_RF,BRBCL,DHAULIGNGA,KHSTPP-I,NTPL,RAPPB,SASAN,TelanganaSTPP,UNCHAHAR3,URI,AURY_LF,DADRI_LF,CHAMERA1,KKNP,KUDGI,NLCIIST1,NLCTS2EXP,RAPPC,SALAL,TEHRI,CHAMERA2,JHAJJAR,KGSU3AND4,KKNPPU2,PARBATI2,SINGRAULI_HYDRO,TALST2,TANAKPUR,UNCHAHAR4,ANTA_GF,BSIUL,DADRT2,KGSU1AND2,KHSTPP-II,KOLDAM,KOTESHWR,MAPS,PARBATI3,RAPPD,RSTPSU7,SIMHST2,TALA,TEHRIPSP,UNCHAHAR1
1,00:00-00:15,155.58,0,35.09,7.04,126.8,0,0,0,49.95,0,39.74,20.8,24.62,181.16,0,93.3,5.75,44.97,40.23,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.78,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.53,0,13.04,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,29.38,62.39,21.83

2,00:15-00:30,155.58,0,35.09,7.04,126.8,0,0,0,49.95,0,39.74,20.8,24.62,181.16,0,93.3,6.76,45.62,40.23,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,2.55,0,13.04,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,29.42,62.39,21.83

3,00:30-00:45,155.58,0,35.09,7.04,126.8,0,0,0,49.95,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,2.34,0,13.04,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,29.61,62.39,21.83

4,00:45-01:00,155.58,0,35.09,7.04,126.8,0,0,0,49.95,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,13.04,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,29.61,62.39,21.83

5,01:00-01:15,155.58,0,35.09,7.04,126.8,0,0,0,51.27,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,52.36,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,6.52,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,25.66,62.39,21.83

6,01:15-01:30,155.58,0,35.09,7.04,126.8,0,0,0,51.27,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,52.36,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,6.52,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,25.66,62.39,21.83

7,01:30-01:45,155.58,0,35.09,7.04,126.8,0,0,0,51.27,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,6.52,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,25.66,62.39,21.83

8,01:45-02:00,155.58,0,35.09,7.04,126.8,0,0,0,51.27,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,6.52,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,25.66,62.39,21.83

9,02:00-02:15,155.58,0,35.09,7.04,126.8,0,0,0,51.93,0,39.74,20.8,24.62,181.16,0,93.3,7.07,45.62,28.16,82.27,0,8.71,0,0,132.37,0,0,0,0,76.68,24.99,43.85,45.53,0,0,348.98,0,27.99,36.43,0,0,42.15,0,0,0,0,68.56,85.41,33.77,48.9,670.85,0,0,58.05,1.16,0,12.17,3.98,0,6.52,590.85,0,148.3,10.65,10.44,0,0,26.14,0,0,27.78,62.39,21.83

