Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/2024/22535/A/33112,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/33015,NR/2024/21983/A/33034,NR/2024/21954/A/33327,NR/2024/21974/A/33163,NR/2024/21940/A/33328,NR/2024/22709/C,NR/2024/22703/C,NR/2024/21956/A/33331,NR/2024/21970/A/33159,NR/2024/21814/A/33164,NR/2024/21968/A/33158,NR/2024/22534/A/33113,NR/2024/21961/A/33304,NR/2024/21971/A/33161,NR/2024/22498/A/33373,NR/2024/21933/A/33035,NR/2024/21911/A/33283,NR/2024/22042/A/33009,NR/2024/21860/A/33076,NR/2024/22010/A/33375,NR/2024/21943/A/33326,NR/2024/21966/A/33075,NR/2024/22623/A/33068,NR/2024/21918/A/33368,NR/2024/22014/A/33010,NR/2024/21938/A/33303,NR/2024/22279/A/33006,NR/2024/22705/C,GNA/NR/2024/08/21/5232,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,SR/2024/13958/C,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,GNA/NR/2024/08/21/1351,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22687/C,NR/2024/22704/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,Total
,,SECI_Trader,SJVNL,SECI_Trader,ITCLH,TPTCL,APPCPL,NVVNL,APPCPL,SJVNL,NVVNL,APPCPL,NVVNL,NVVNL,NVVNL,SJVNL,PTC,NVVNL,MANIKARAN,TPTCL,AEL,IEXL,TPDDL,MANIKARAN,APPCPL,INSTINCT,DIAPL,MANIKARAN,IEXL,PTC,IEXL,NVVNL,IEXL,INSTINCT,HPXL,PUNJAB,TPTCL,BAWANA_GAS,HPXL,MANIKARAN,TPDDL,NVVNL,DELHI,JITPL,DELHI,APL_Raigarh_TPP,APPCPL,TPTCL,DELHI,
,,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,Manipur_State,NA,UTTARAKHAND_STATE,NA,NA,KERALA_State,NA,NA,NA,NA,HIMACHAL_STATE,NA,MP_State,NA,NA,MSEB_State,NA,GOA_State,MSEB_State,NA,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,NA,PUNJAB_STATE,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,PUNJAB_STATE,MP_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,Arunachal_State,NA,MSEB_State,
,,SBSRPC11PL_BKN,TPSL_BKN2,SBSRPC11PL_BKN,ITCWIND,SIMHAPURI,Manipur_Ben,RKM_POWER,UTTARAKHAND,TPSL_BKN2,SOLAPUR_SOLAR,KSEB,TRN_ENERGY,JPNIGRIE_JNSTPP,JPL2,RSRPL_BKN,HP,RKM_POWER,BLAPOWER_MP,ACBIL,APL_Raigarh_TPP,A_A_Energy_MH_Bio,JPL2,GOA_Beneficiary,AEML,JPL2,GBHHPL,AEML,NHCPL_HP,HP,NSLSUGAR,Kameng,PUNJAB,JPL2,BYPL,BAWANA_GAS,SIMHAPURI,BAWANA_GAS,PUNJAB,BLAPOWER_MP,JHAJJAR,SORANG_HEP,CHANJUII,JITPL,SKS_Raigarh,APL_Raigarh_TPP,Arunachal_Ben,ACBIL,MSEB_Beneficiary,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,BYPL,ITCLH,BRPL,BRPL,NDMC,BYPL,NDMC,MES_Delhi,BYPL,NDMC,TPDDL,NDMC,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,BRPL,DIAPL,BYPL,MES_Delhi,BYPL,MES_Delhi,TPDDL,BRPL,BRPL,TANGEDCO,PUNJAB,BRPL,HARYANA,BRPL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,NDMC,BRPL,BRPL,BRPL,TPDDL,
,,North-North,North-North,North-North,South-West-North,South-East-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-East-West-North,North East-East-North,North-North,West-North,North-West-South,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,West-North,North East-East-North,West-North,West-North,
1,00:00-00:15,0,0,0,0.63,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,32,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1560.4000000000003

2,00:15-00:30,0,0,0,0.63,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,32,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1560.4000000000003

3,00:30-00:45,0,0,0,0.63,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,14.5536,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1542.9536000000003

4,00:45-01:00,0,0,0,0.63,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,14.5536,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1542.9536000000003

5,01:00-01:15,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,14.5536,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1542.9036000000003

6,01:15-01:30,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,32,48.28,14.5536,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1542.9036000000003

