Block,Time,SH-06,L_NR_2012_04,LT-36,L_NR_2020_02,L_NR_2012_01,L_NR_2023_04,L_NR_2019_11,L_NR_2012_02,LT-35,L_NR_2012_07,LT-05,LT-59,LT-31,SH-07,L_NR_2022_08,L_NR_2019_05,L_NR_2020_06,L_NR_2019_19,L_NR_2018_61,L_NR_2021_17,L_NR_2021_12,L_NR_2021_13,L_NR_2021_14,L_NR_2023_07,L_NR_2019_06,L_NR_2022_09,L_NR_2019_07,L_NR_2020_07,L_NR_2022_10,L_NR_2020_05,L_NR_2021_16,L_NR_2021_15,L_NR_2023_10
1,00:00-00:15,31.050000,272.870000,0.000000,7.370000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,57.070000,8.900000,0.000000,31.050000,15.88,0,20.4,0,31.28,0,0,0,0,0,0,62.55,0,20.4,62.55,61.2,0,0,0

2,00:15-00:30,31.050000,272.870000,0.000000,7.370000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,57.070000,8.900000,0.000000,31.050000,13.54,0,18.7,0,30.87,0,0,0,0,0,0,49.7,0,18.7,49.7,56.1,0,0,0

3,00:30-00:45,31.050000,272.870000,0.000000,7.370000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,57.070000,8.900000,0.000000,31.050000,13.89,0,18.94,0,29.77,0,0,0,0,0,0,49.93,0,18.96,49.93,56.83,0,0,0

4,00:45-01:00,31.050000,272.870000,0.000000,7.370000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,57.070000,8.900000,0.000000,31.050000,14.07,0,19.1,0,28.81,0,0,0,0,0,0,49.93,0,19.1,49.93,57.31,0,0,0

5,01:00-01:15,31.050000,272.870000,0.000000,7.280000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,58.210000,8.040000,0.000000,31.050000,14.29,0,19.22,0,28.65,0,0,0,0,0,0,50.08,0,19.22,50.08,57.67,0,0,0

6,01:15-01:30,31.050000,272.870000,0.000000,7.280000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,58.210000,8.040000,0.000000,31.050000,19.22,0,19.26,0,28.34,0,0,0,0,0,0,61.67,0,19.26,61.67,57.78,0,0,0

7,01:30-01:45,31.050000,272.870000,0.000000,7.280000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,58.210000,8.040000,0.000000,31.050000,19.66,0,26.24,0,28.47,0,0,0,0,0,0,61.61,0,26.24,61.61,78.71,0,0,0

8,01:45-02:00,31.050000,272.870000,0.000000,7.280000,101.630000,29.920000,9.110000,131.270000,0.000000,74.390000,58.210000,8.040000,0.000000,31.050000,19.89,0,26.01,0,35.13,0,0,0,0,0,0,61.58,0,26.02,61.58,78.04,0,0,0

9,02:00-02:15,31.050000,272.870000,0.000000,7.090000,101.630000,29.920000,8.880000,131.270000,0.000000,74.390000,58.210000,7.800000,0.000000,31.050000,20.18,0,25.91,0,34.61,0,0,0,0,0,0,61.54,0,25.9,61.54,77.72,0,0,0

10,02:15-02:30,31.050000,272.870000,0.000000,7.090000,101.630000,29.920000,8.880000,131.270000,0.000000,56.270000,58.210000,7.800000,0.000000,31.050000,20.66,0,25.75,0,33.68,0,0,0,0,0,0,61.54,0,25.76,61.54,77.25,0,0,0

11,02:30-02:45,25.550000,272.870000,0.000000,7.090000,101.630000,29.920000,8.100000,131.270000,0.000000,56.270000,58.210000,7.800000,0.000000,31.050000,20.85,0,25.52,0,33.07,0,0,0,0,0,0,61.43,0,25.52,61.43,76.56,0,0,0

12,02:45-03:00,25.550000,272.870000,0.000000,7.090000,101.630000,29.920000,8.100000,131.270000,0.000000,56.270000,58.210000,7.800000,0.000000,31.050000,14.22,0,20.94,0,32.07,0,0,0,0,0,0,50.44,0,20.95,50.44,62.83,0,0,0

13,03:00-03:15,25.550000,272.870000,0.000000,6.910000,101.630000,29.960000,8.100000,107.010000,0.000000,55.840000,58.210000,7.570000,0.000000,31.050000,14.07,0,21.25,0,31.69,0,0,0,0,0,0,51,0,21.25,51,63.75,0,0,0

14,03:15-03:30,25.550000,272.870000,0.000000,6.910000,101.630000,29.960000,8.100000,96.230000,0.000000,55.840000,58.210000,7.570000,0.000000,31.050000,14.04,0,21.06,0,31.07,0,0,0,0,0,0,50.2,0,21.07,50.2,63.19,0,0,0

15,03:30-03:45,25.550000,272.870000,0.000000,6.910000,101.630000,29.960000,8.100000,96.230000,0.000000,55.840000,58.210000,8.120000,0.000000,31.050000,14,0,20.8,0,31.07,0,0,0,0,0,0,49.91,0,20.79,49.91,62.39,0,0,0

16,03:45-04:00,25.550000,272.870000,0.000000,6.910000,101.630000,29.960000,8.100000,96.230000,0.000000,55.840000,58.210000,8.120000,0.000000,31.050000,13.96,0,20.37,0,30.09,0,0,0,0,0,0,49.28,0,20.36,49.28,61.1,0,0,0

17,04:00-04:15,25.550000,272.870000,0.000000,6.810000,101.630000,29.960000,7.950000,96.230000,0.000000,55.840000,58.210000,7.800000,0.000000,31.050000,13.96,0,20.62,0,28.07,0,0,0,0,0,0,48.94,0,20.62,48.94,61.86,0,0,0

18,04:15-04:30,25.550000,272.870000,0.000000,6.810000,101.630000,29.960000,7.950000,96.230000,0.000000,55.840000,58.210000,7.800000,0.000000,31.050000,13.96,0,20.68,0,32.01,0,0,0,0,0,0,48.58,0,20.67,48.58,62.03,0,0,0

19,04:30-04:45,25.550000,272.870000,0.000000,6.530000,101.630000,29.960000,7.950000,96.230000,0.000000,55.840000,56.980000,7.800000,0.000000,31.050000,13.96,0,20.67,0,31.96,0,0,0,0,0,0,48.37,0,20.66,48.37,62,0,0,0

20,04:45-05:00,25.550000,272.870000,0.000000,6.530000,101.630000,29.960000,7.950000,96.230000,0.000000,55.840000,56.980000,7.800000,0.000000,31.050000,13.96,0,20.8,0,31.27,0,0,0,0,0,0,48.37,0,20.79,48.37,62.39,0,0,0

21,05:00-05:15,25.550000,272.870000,0.000000,6.440000,101.630000,29.960000,7.950000,101.090000,0.000000,55.840000,56.980000,7.650000,0.000000,31.050000,13.96,0,17.67,0,30.48,0,0,0,0,0,0,54,0,17.66,54,52.99,0,0,0

22,05:15-05:30,25.550000,272.870000,0.000000,6.440000,101.630000,29.960000,7.950000,101.090000,0.000000,55.840000,56.980000,7.650000,0.000000,31.050000,13.94,0,17.67,0,29.72,0,0,0,0,0,0,54,0,17.66,54,52.99,0,0,0

23,05:30-05:45,13.160000,272.870000,0.000000,6.440000,101.630000,29.960000,7.640000,101.090000,0.000000,55.840000,56.980000,7.650000,0.000000,31.050000,13.96,0,17.67,0,27.68,0,0,0,0,0,0,54,0,17.66,54,52.99,0,0,0

24,05:45-06:00,13.160000,272.870000,0.000000,6.440000,101.630000,29.960000,7.640000,101.090000,0.000000,55.840000,56.980000,7.650000,0.000000,31.050000,13.98,0,17.67,0,26.67,0,0,0,0,0,0,54,0,17.66,54,52.99,0,0,0

25,06:00-06:15,13.160000,272.870000,0.000000,6.250000,101.630000,29.960000,7.490000,125.340000,0.000000,55.840000,56.980000,7.490000,0.000000,31.050000,14.02,3.55,17.67,0.40908,24.35,0,0,0,0,0,0,47.21,6.21,17.66,47.21,52.99,1,0,0

26,06:15-06:30,13.160000,272.870000,0.010000,6.250000,101.630000,30.930000,7.490000,131.270000,0.010000,55.840000,56.980000,7.490000,0.010000,31.050000,14.34,8.75,17.67,3.24342,22.7,2,0,0,0,1,0,47.55,9.53,17.66,47.55,52.99,3,0,0.58

