Block,Time,BRBCL,DULHASTI,FSTPP I & II,KGSU3AND4,KOTESHWR,NJPC,RAPPC,RIHAND2,RSTPSU7,SASAN,TALA,TANAKPUR,TelanganaSTPP,UNCHAHAR3,UNCHAHAR4,DADRI_CRF,NLCEXP,RAPPB,RIHAND3,SINGRAULI,DHAULIGNGA,JHAJJAR,KISHANGANGA,NLCTS2EXP,NNTPP,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TEHRI,URI2,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,DADRI_GF,DADRI_RF,CHAMERA1,KKNPPU2,KUDGI,SALAL,TALST2,DADRT2,KHSTPP-II,KKNP,KOLDAM,MAPS,NAPP,RSTPSU1TO6,TANDA2,UNCHAHAR1,UNCHAHAR2,VALLURNTECL,DADRI_LF,CHAMERA3,KGSU1AND2,NLCIIST1,NLCIIST2,PARBATI3,URI,ANTA_CRF,ANTA_RF,BSIUL,CHAMERA2,KHSTPP-I,NTPL,RAMPUR,SEWA2,SIMHST2,ANTA_GF,ANTA_LF
1,00:00-00:15,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,13.36,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,42.84,13.04,0,45.83,0,0,0,0,0,0

2,00:15-00:30,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,13.36,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,42.84,13.04,0,45.83,0,0,0,0,0,0

3,00:30-00:45,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,16.27,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,42.84,13.04,0,45.83,0,0,0,0,0,0

4,00:45-01:00,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,42.84,13.04,0,45.83,0,0,0,0,0,0

5,01:00-01:15,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,42.84,13.04,0,45.83,0,0,0,0,0,0

6,01:15-01:30,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,9.42,42.39,0,0,0,0,0,0,0,34.23,0,43.05,13.04,0,45.83,0,0,5.06,0,0,0

7,01:30-01:45,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,11.42,42.39,0,0,0,0,0,0,0,34.23,0,43.05,13.04,0,45.83,0,0,5.06,0,0,0

8,01:45-02:00,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,11.42,42.39,0,0,0,0,0,0,0,34.23,0,43.05,13.04,0,45.83,0,0,5.06,0,0,0

9,02:00-02:15,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,70.88,0,683.14,148.3,0,0,0,43.36,0,0,13.14,42.39,0,0,0,0,0,0,0,34.23,0,43.05,13.04,0,45.83,0,0,5.06,0,0,0

10,02:15-02:30,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,29.04,0,683.14,148.3,0,0,0,43.36,0,0,13.14,42.39,0,0,0,0,0,0,0,34.23,0,43.05,13.04,0,45.83,0,0,5.06,0,0,0

11,02:30-02:45,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,14.85,42.39,0,0,0,0,0,0,0,34.23,0,43.05,6.52,0,45.83,0,0,5.06,0,0,0

12,02:45-03:00,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,33.23,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,14.85,42.39,0,0,0,0,0,0,0,34.23,0,43.05,6.52,0,45.83,0,0,5.13,0,0,0

13,03:00-03:15,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,16.55,42.39,0,0,0,0,0,0,0,34.23,0,43.26,6.52,0,45.83,0,0,5.2,0,0,0

14,03:15-03:30,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,16.55,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

15,03:30-03:45,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,17.7,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

16,03:45-04:00,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,18.27,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

17,04:00-04:15,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,18.27,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

18,04:15-04:30,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,0,559.57,0,0,0,92,0,0.73,0,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,18.27,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

19,04:30-04:45,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,9.14,559.57,0,0,0,92,0,0.73,10.39,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,18.27,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

20,04:45-05:00,20,16.48,15.99,0,6.41,0,53.05,118.76,0,418.77,0,0,0,26.4,0,0,0,0,124.33,104.15,9.14,559.57,0,0,0,92,0,0.73,20.79,29.6,0,0,0,68.96,0,59.73,0,0,0,26.73,0,683.14,148.3,0,0,0,43.36,0,0,18.27,42.39,0,0,0,0,0,0,0,34.23,0,43.57,6.52,0,45.83,0,0,10.53,0,0,0

