Block,Time Block,BRBCL,DADRT2,FSTPP I & II,DULHASTI,CHAMERA3,DHAULIGNGA,CHAMERA2,JHAJJAR,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,KOTESHWR,KGSU1AND2,KKNP,KGSU3AND4,KHSTPP-II,KKNPPU2,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,URI,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,DADRI_RF,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR1,TALST2,TelanganaSTPP,SINGRAULI_HYDRO,TANAKPUR,TALA,TEHRI,UNCHAHAR2,TANDA2,CHAMERA1,BSIUL,MAPS,RAPPB,PARBATI2,NLCEXP,RAPPC,NLCIIST1,RAMPUR,NJPC,NLCIIST2,NLCTS2EXP,RAPPD,NNTPP,NAPP,NTPL,PARBATI3,RIHAND1,RIHAND2,SIMHST2,SASAN,SEWA2,RSTPSU1TO6,SINGRAULI,SIMHST1,RIHAND3,RSTPSU7,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.66,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,6.04,7.36,19.63,42.38,5.32,40.59,6.28,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.4,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

2,00:15-00:30,19.26,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,6.04,7.36,9.58,42.38,5.32,40.59,6.28,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

3,00:30-00:45,16.13,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,6.04,7.08,9.58,42.38,5.32,40.59,6.28,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

4,00:45-01:00,15.55,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,6.04,7.08,9.81,42.38,5.32,40.59,6.28,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

5,01:00-01:15,16.56,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,6.04,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

6,01:15-01:30,12.36,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

7,01:30-01:45,12.96,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

8,01:45-02:00,14.78,441.94,17.4,57.3,33.73,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,38.61,0,0,0,0,0

9,02:00-02:15,12.06,441.94,17.4,57.3,22.47,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,81.12,0,0,0,0,0

10,02:15-02:30,11.74,441.94,17.4,57.3,22.47,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,81.12,0,0,0,0,0

11,02:30-02:45,13.97,441.94,17.4,57.3,22.47,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,81.12,0,0,0,0,0

12,02:45-03:00,12.84,441.94,17.4,57.3,22.47,10.54,47,480.22,5.6,8.31,43.85,0,10.04,0,0,0,142.81,0,1.64,0,36.69,26.66,48.91,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0.94,0.49,7.08,9.81,42.38,5.32,40.59,12.56,0,0,21.71,0,66.51,0,6.26,159.85,0,0,20.86,0,24.69,0,22.17,93.63,119.97,0,398.68,0,0,107.96,0,65.96,0,81.12,0,0,0,0,0

