Column1,Block,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/5886,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/4863,NR/2025/25387/C,GNARE/NR/2024/12/20/3668,NR/2025/25070/A/55116,NR/2025/25267/A/55106,NR/2025/25266/A/55102,NR/2025/25265/A/55104,NR/2025/25388/C,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,WR/2025/26047/A/55114,NR/2024/24418/A/54822,GNA/NR/2025/02/16/1676,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,NDMC,APPCPL,PTC,NDMC,NDMC,APPCPL,PUNJAB,NDMC,BAWANA_GAS,NDMC,SJVNL,SECI_Trader,NVVNL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,SJVNL,APPCPL,MANIKARAN,APPCPL,ITCLH,PTC,TPTCL,DELHI,
,,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,
,,RKM_POWER,BYPL,BYPL,RKM_POWER,JPL2,BYPL,BAWANA_GAS,TRN_ENERGY,BAWANA_GAS,SKS_Raigarh,TPSL_BKN2,APSEPL_FTG,JIPL,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,BYPL,BRPL,BRPL,ITCWIND,BRPL,BYPL,CHANJUII,
,,DELHI_UT,KERALA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,KERALA_State,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,GOA_State,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,
,,NDMC,KSEB,HP,NDMC,NDMC,KSEB,PUNJAB,NDMC,HARYANA,NDMC,NDMC,TPDDL,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,AEML,AEML,GOA_Beneficiary,ITCLH,HP,TPC_MSEB,TPDDL,
,,West-North,North-West-South,North-North,West-North,West-North,North-West-South,North-North,West-North,North-North,West-North,North-North,North-North,East-North,North-North,North-North,North-North,North-North,North-West,North-West,North-West,South-West-North,North-North,North-West,North-North,
1,00:00-00:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

2,00:15-00:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

