Block,Time,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/06022042/L_NR_2012_07,NR/15072024/15072024/IEX_240714_01531_1,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/01072024/31072024/R2,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,WR/01102023/29112042/L_NR_2019_05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/15072024/15072024/IEX_240714_01529,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,42.61,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,30.270000,260.750000,96.040000,86.630000,144.060000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,46.5,24.010000,131.810000,14.880000,11.34,0,38.420000,3.600000,12.650000,0,7.260000,114.810000,15.5,0.000000,0,15.5,0.000000,0.000000,40,40,0.000000,0.000000

2,00:15-00:30,0,42.21,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,30.270000,260.750000,96.040000,86.630000,144.060000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,44.5,24.010000,131.810000,14.880000,10.66,0,38.420000,3.600000,12.650000,0,7.260000,114.810000,14.83,0.000000,0,14.84,0.000000,0.000000,31.67,31.67,0.000000,0.000000

3,00:30-00:45,0,43.01,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,29.770000,260.750000,96.040000,86.630000,144.060000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,41.5,24.010000,131.810000,14.880000,10,0,38.420000,3.600000,12.650000,0,7.260000,84.690000,13.83,0.000000,0,13.84,0.000000,0.000000,30,30,0.000000,0.000000

4,00:45-01:00,0,42.02,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,29.770000,260.750000,96.040000,86.630000,144.060000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,38,24.010000,131.810000,14.880000,9.66,0,38.420000,3.600000,12.650000,0,7.260000,65.870000,12.67,0.000000,0,12.66,0.000000,0.000000,28.33,28.33,0.000000,0.000000

5,01:00-01:15,0,41.62,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.950000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,34.5,24.010000,131.810000,14.880000,9.34,0,38.420000,3.510000,12.650000,0,7.260000,65.870000,11.5,0.000000,0,11.5,0.000000,0.000000,26.67,26.67,0.000000,0.000000

6,01:15-01:30,0,40.62,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.950000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,32,24.010000,131.810000,14.880000,9,0,38.420000,3.510000,12.650000,0,7.260000,65.870000,10.67,0.000000,0,10.66,0.000000,0.000000,25,25,0.000000,0.000000

7,01:30-01:45,0,40.22,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.950000,72.030000,30.780000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,30,24.010000,131.810000,14.880000,8.66,0,38.420000,3.510000,12.650000,0,7.260000,65.870000,10,0.000000,0,10,0.000000,0.000000,23.33,23.33,0.000000,0.000000

8,01:45-02:00,0,39.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.950000,72.030000,30.780000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,28,24.010000,131.810000,14.880000,8.66,0,38.420000,3.510000,12.650000,0,7.260000,65.870000,9.33,0.000000,0,9.34,0.000000,0.000000,21.67,21.67,0.000000,0.000000

9,02:00-02:15,0,42.02,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.720000,72.030000,30.780000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,27.5,24.010000,131.810000,14.880000,8,0,38.420000,3.370000,12.650000,0,6.880000,65.870000,9.17,0.000000,0,9.16,0.000000,0.000000,20,20,0.000000,0.000000

10,02:15-02:30,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.720000,72.030000,30.780000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,30.730000,192.080000,30.730000,100.050000,0,27.5,24.010000,131.810000,14.880000,7.34,0,38.420000,3.370000,12.650000,0,6.880000,65.870000,9.17,0.000000,0,9.16,0.000000,0.000000,20,20,0.000000,0.000000

11,02:30-02:45,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.720000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,30.730000,96.090000,0,28,24.010000,131.810000,14.880000,6.66,0,38.420000,3.370000,12.650000,0,6.880000,65.870000,9.33,0.000000,0,9.34,0.000000,0.000000,25.08,25.08,0.000000,0.000000

12,02:45-03:00,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.720000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,30.730000,96.090000,0,28.5,24.010000,131.810000,14.880000,6.66,0,38.420000,3.370000,12.650000,0,6.880000,65.870000,9.5,0.000000,0,9.5,0.000000,0.000000,24.57,24.57,0.000000,0.000000

13,03:00-03:15,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.570000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,96.090000,0,26.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.270000,12.650000,0,6.880000,65.870000,8.83,0.000000,0,8.84,0.000000,0.000000,33,33,0.000000,0.000000

14,03:15-03:30,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.570000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,96.040000,0,26.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.270000,12.650000,0,6.880000,65.870000,8.83,0.000000,0,8.84,0.000000,0.000000,31.33,31.33,0.000000,0.000000

15,03:30-03:45,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.570000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,27,24.010000,131.810000,14.880000,6.66,0,0.000000,3.270000,12.650000,0,6.880000,65.870000,9,0.000000,0,9,0.000000,0.000000,29.67,29.67,0.000000,0.000000

16,03:45-04:00,0,41.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.570000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,27.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.270000,12.650000,0,6.880000,65.870000,9.17,0.000000,0,9.16,0.000000,0.000000,28,28,0.000000,0.000000

17,04:00-04:15,0,41.42,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.180000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,26.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.190000,12.200000,0,6.490000,65.870000,8.83,0.000000,0,8.84,0.000000,0.000000,18.33,18.33,0.000000,0.000000

18,04:15-04:30,0,41.42,0,0,0,0,0,0,0,0,0,0.000000,15.540000,6.180000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,25,24.010000,131.810000,14.880000,6.66,0,0.000000,3.190000,12.200000,0,6.490000,65.870000,8.33,0.000000,0,8.34,0.000000,0.000000,17.67,17.67,0.000000,0.000000

19,04:30-04:45,0,36.82,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,23,24.010000,131.810000,14.880000,6.66,0,0.000000,3.190000,12.200000,0,7.110000,65.870000,7.67,0.000000,0,7.66,0.000000,0.000000,16.33,16.33,0.000000,0.000000

20,04:45-05:00,0,36.42,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,29.770000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,22,24.010000,131.810000,14.880000,6.66,0,0.000000,3.190000,12.200000,0,7.110000,65.870000,7.33,0.000000,0,7.34,0.000000,0.000000,15.67,15.67,0.000000,0.000000

21,05:00-05:15,0,36.01,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,20.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.040000,12.200000,0,6.880000,65.870000,6.83,0.000000,0,6.84,0.000000,0.000000,15,15,0.000000,0.000000

22,05:15-05:30,0,35.81,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,19,24.010000,131.810000,14.880000,6.66,0,0.000000,3.040000,12.200000,0,6.880000,65.870000,6.33,0.000000,0,6.34,0.000000,0.000000,15,15,0.000000,0.000000

23,05:30-05:45,0,41.02,0,0,0,0,0,0,0,0,0,0.000000,15.540000,7.340000,72.030000,31.280000,260.750000,96.040000,86.630000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,18.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.040000,12.200000,0,6.880000,65.870000,6.17,0.000000,0,6.16,0.000000,0.000000,15,15,0.000000,0.000000

24,05:45-06:00,1.35,40.62,0,0,0.2,0,0,0,0,0,0.27,0.000000,15.540000,7.340000,72.030000,31.280000,260.750000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,18.5,24.010000,131.810000,14.880000,6.66,0,0.000000,3.040000,12.200000,0,6.880000,65.870000,6.17,0.000000,1.102202,6.16,0.000000,0.000000,15,15,0.000000,0.000000

25,06:00-06:15,3.9,40.22,0,1,1,1,0,0.94,1,0,0.78,0.000000,15.540000,6.950000,72.030000,31.280000,260.750000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,0,18.5,24.010000,131.810000,14.880000,6.66,10.75,0.000000,2.960000,11.740000,6.25,6.490000,65.870000,6.17,0.000000,3.326114,6.16,0.000000,0.000000,15,15,0.000000,0.000000

26,06:15-06:30,8,39.82,1,4,2,1,0,3.31,2,0,1.6,0.190000,15.540000,6.950000,72.030000,31.280000,229.400000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,1,18.5,24.010000,131.810000,14.880000,6.66,13.82,0.000000,2.960000,11.740000,9.09,6.490000,65.870000,6.17,0.200000,7.60812,6.16,0.000000,0.000000,15,15,0.190000,0.000000

