Column1,Time,GNA/NR/2025/02/16/1676,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/02/01/7432,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/2594,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/6460,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/4863,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,47.56,74.53,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,163.42,70.13,23.07,75,0,26.87,15.85,271.81,18.66,0,0,0,0.92,8.65,16.01,22.5,0,0,0,7.5,0,0,0,0,7.5,0,18.67,0,0,0,0,0,6.67

2,00:15-00:30,47.56,74.53,1.2,8.65,23.07,0,0,27.25,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,271.81,19.34,0,0,0,0.92,8.65,15.41,22.5,0,0,0,7.5,0,0,0,0,7.5,0,19.33,0,0,0,0,0,6.67

3,00:30-00:45,47.56,74.53,1.2,8.65,23.07,0,0,27.25,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,271.81,19.34,0,0,0,0.92,8.65,14.41,22.5,0,0,0,7.5,0,0,0,0,7.5,0,19.33,0,0,0,0,0,6.67

4,00:45-01:00,47.56,74.53,1.2,8.65,23.07,0,0,27.75,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,271.81,19.66,0,0,0,0.92,8.65,12.81,22.5,0,0,0,7.5,0,0,0,0,7.5,0,19.67,0,0,0,0,0,6.67

5,01:00-01:15,47.56,50.86,1.2,8.65,23.07,0,0,27.75,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,230.71,20,0,0,0,0.92,8.65,11.81,22.5,0,0,0,7.5,0,0,0,0,7.5,0,20,0,0,0,0,0,6.67

6,01:15-01:30,47.56,50.86,1.2,8.65,23.07,0,0,27.75,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,192.26,20,0,0,0,0.92,8.65,10.8,22.5,0,0,0,7.5,0,0,0,0,7.5,0,20,0,0,0,0,0,6.67

7,01:30-01:45,47.56,50.86,1.2,8.65,23.07,0,0,27.25,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,192.26,20.34,0,0,0,0.92,8.65,10,22.5,0,0,0,7.5,0,0,0,0,7.5,0,20.33,0,0,0,0,0,6.67

8,01:45-02:00,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,192.26,20.66,0,0,0,0.92,8.65,9,22.5,0,0,0,7.5,0,0,0,0,7.5,0,20.67,0,0,0,0,0,6.67

9,02:00-02:15,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,192.26,20,0,0,0,0.92,8.65,8,22.5,0,0,0,7.5,0,0,0,0,7.5,0,20,0,0,0,0,0,6.67

10,02:15-02:30,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,134.58,70.13,23.07,75,0,26.87,15.85,192.26,19.34,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,19.33,0,0,0,0,0,6.67

11,02:30-02:45,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,145.16,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

12,02:45-03:00,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,145.16,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

13,03:00-03:15,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,145.16,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

14,03:15-03:30,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

15,03:30-03:45,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

16,03:45-04:00,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,192.26,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

17,04:00-04:15,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,161.5,70.13,23.07,75,0,26.87,15.85,230.71,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

18,04:15-04:30,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

19,04:30-04:45,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

20,04:45-05:00,47.56,50.86,1.2,8.65,23.07,0,0,26.74,23.07,0,100.15,1.38,0.62,26.87,151.89,70.13,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

21,05:00-05:15,47.56,63.04,1.16,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,200.31,70.13,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

22,05:15-05:30,47.56,86.71,1.16,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,229.15,70.13,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

23,05:30-05:45,47.56,86.71,1.16,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,260.13,65.98,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

24,05:45-06:00,47.56,86.71,1.16,8.65,23.07,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,260.13,65.98,23.07,75,0,26.87,15.85,271.81,15,0,0,0,0.92,8.65,7,22.5,0,0,0,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

25,06:00-06:15,0,86.71,1.16,8.65,43.26,0,0,26.74,23.07,0,100.15,1.29,0.62,26.87,260.13,65.98,23.07,75,0,26.87,0,271.81,15,0,0,0,0.92,8.65,7,22.5,0.81,0,0.05,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

26,06:15-06:30,0,86.71,1.16,8.65,43.26,0,0,26.74,23.07,0,100.15,1.29,0.62,24.99,260.13,113.11,23.07,75,0,24.99,0,271.81,15,0,0,0,0.92,8.65,7,22.5,1.31,0,0.85,7.5,0,0,0,0,7.5,0,15,0,0,0,0,0,6.67

