Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/16122023/22122023/HP-20,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/16122023/22122023/HP-16,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/20122023/29022024/IEX_LDC_231218_00502,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/20122023/20122023/SJVN20122023NR1304,NR/20122023/20122023/SJVN20122023NR1303,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/20122023/20122023/DD20231220NR21846,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,14.67,0,0,0,45.33,0,45.33,17.24,0,44.01,20.11,0,48.02,0,0,0,0,0,0,0,14.67,0,0,0,0.000000,1.010000,169.250000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

2,00:15-00:30,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,14.48,0,0,0,44.4,0,44.4,16.6,0,43.47,20.26,0,48.02,0,0,0,0,0,0,0,14.49,0,0,0,0.000000,1.010000,169.250000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

3,00:30-00:45,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,14.31,0,0,0,43.66,0,43.66,15.95,0,42.98,16.93,0,48.02,0,0,0,0,0,0,0,14.33,0,0,0,0.000000,1.010000,169.250000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

4,00:45-01:00,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,14.19,0,0,0,42.71,0,42.71,15.43,0,42.62,17.01,0,48.02,0,0,0,0,0,0,0,14.21,0,0,0,0.000000,1.010000,121.230000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

5,01:00-01:15,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,9.95,0,0,0,41.77,0,41.77,11.73,0,29.83,17.05,0,48.02,0,0,0,0,0,0,0,9.94,0,0,0,0.000000,1.010000,109.490000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

6,01:15-01:30,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,10.27,0,0,0,34.69,0,34.69,11.77,0,30.84,17.13,0,48.02,0,0,0,0,0,0,0,10.28,0,0,0,0.000000,1.010000,109.490000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

7,01:30-01:45,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,10.59,0,0,0,34.22,0,34.22,11.88,0,31.77,20.42,0,48.02,0,0,0,0,0,0,0,10.59,0,0,0,0.000000,1.010000,157.510000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

8,01:45-02:00,36.500000,25.920000,25.920000,8.160000,48.020000,23.050000,127.710000,5.760000,133.760000,1.660000,0.000000,148.550000,11.520000,14.410000,10.7,0,0,0,33.5,0,33.5,11.88,0,32.11,20.88,0,48.02,0,0,0,0,0,0,0,10.7,0,0,0,0.000000,1.010000,169.250000,1.140000,0.000000,0.000000,71.450000,96.040000,0.000000

