Block,Time,ANTA_RF,DADRI_RF,NAPP,URI2,CHAMERA1,AURY_RF,PARBATI3,KOLDAM,ANTA_CRF,RIHAND3,SALAL,URI,RAPPB,AURY_LF,SINGRAULI_HYDRO,TEHRI,RIHAND2,ANTA_GF,RAPPC,UNCHAHAR3,BSIUL,DHAULIGNGA,DADRI_CRF,SEWA2,UNCHAHAR2,DADRI_LF,RIHAND1,RAMPUR,CHAMERA3,AURY_GF,ANTA_LF,NJPC,KOTESHWR,DADRI_GF,TALA,KHSTPP-I,CHAMERA2,JHAJJAR,SASAN,FSTPP I & II,DULHASTI,BRBCL,KISHANGANGA,SINGRAULI,AURY_CRF,UNCHAHAR4,KHSTPP-II,TANAKPUR,UNCHAHAR1,TANDA2,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.045530,86.419581,47.154641,33.934961,39.349489,26.185985,18.410045,8.952967,0.000000,122.885103,75.152466,32.503582,0.000000,0.000000,1.087110,39.996511,117.218503,0.000000,65.631598,26.051323,12.589056,42.025433,0.000000,18.148236,21.036011,0.000000,91.134166,6.511447,33.622609,0.000000,0.000000,173.717757,26.707451,0.000000,0.000000,42.772443,46.816884,456.546937,404.238681,11.044084,57.122017,19.305970,5.367487,139.573017,0.000000,2.982777,142.672884,2.967718,21.436224,5.172163,664.527914,0,0,0,0,0

2,00:15-00:30,21.062846,45.876981,47.154641,33.934961,40.685542,26.185985,18.410045,8.952967,0.000000,122.885103,75.152466,32.503582,0.000000,0.000000,1.087110,39.996511,117.218503,0.000000,65.631598,26.051323,12.589056,42.025433,0.000000,18.148236,21.036011,0.000000,91.134166,6.511447,33.622609,0.000000,0.000000,173.717757,26.707451,0.000000,0.000000,42.772443,46.816884,456.546937,404.238681,11.044084,57.122017,19.305970,5.367487,139.573017,0.000000,2.982777,142.672884,2.967718,21.436224,5.172163,664.527914,0,0,0,0,0

3,00:30-00:45,9.653000,9.653000,47.154641,33.934961,40.685542,9.653000,18.410045,8.952967,0.000000,122.885103,75.152466,32.503582,0.000000,0.000000,1.087110,39.996511,117.218503,0.000000,65.631598,26.051323,12.589056,42.025433,0.000000,18.148236,21.036011,0.000000,91.134166,6.511447,33.622609,0.000000,0.000000,173.717757,26.707451,0.000000,0.000000,42.772443,46.816884,456.546937,404.238681,11.044084,57.122017,17.752723,5.367487,139.573017,0.000000,2.982777,142.672884,2.967718,21.436224,5.172163,664.527914,0,0,0,0,0

4,00:45-01:00,0.201845,0.000000,47.154641,33.934961,40.685542,0.015088,18.410045,8.952967,0.000000,122.885103,75.152466,32.503582,0.000000,0.000000,1.087110,39.996511,117.218503,0.000000,65.631598,26.051323,12.589056,42.025433,0.000000,18.148236,21.036011,0.000000,91.134166,6.511447,33.622609,0.000000,0.000000,173.717757,26.707451,0.000000,0.000000,42.772443,46.816884,456.546937,404.238681,11.044084,57.122017,19.158834,5.367487,139.573017,0.000000,2.982777,142.672884,2.967718,21.436224,5.172163,664.527914,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,47.154641,33.934961,40.685542,0.000000,18.410045,8.952967,0.000000,122.885103,75.152466,32.503582,0.000000,0.000000,1.087110,39.996511,117.218503,0.000000,65.631598,26.051323,12.589056,42.025433,0.000000,18.148236,21.036011,0.000000,91.134166,6.511447,33.622609,0.000000,0.000000,173.717757,26.707451,0.000000,0.000000,42.772443,46.816884,456.546937,404.238681,11.044084,57.122017,18.779549,5.367487,139.573017,0.000000,2.982777,142.672884,2.349444,21.436224,5.172163,664.527914,0,0,0,0,0

