Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/4503,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/9061,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/1868,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/3646,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/5474,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0,0,11,0,1.76,86.44,8.64,2.38,1.53,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,22.5,0,0,6.67,0,7.5,0,0,7.5,13.33,0,13.34

2,00:15-00:30,0,0,11,0,1.76,74.68,8.64,2.38,1.53,197.5,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,22.5,0,0,6.67,0,7.5,0,0,7.5,13.33,0,13.34

3,00:30-00:45,0,0,11,0,1.76,74.68,8.64,2.38,1.53,197.5,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,22.5,0,0,6.67,0,7.5,0,0,7.5,13.33,0,13.34

4,00:45-01:00,0,0,11,0,1.76,74.68,8.64,2.38,1.53,187.89,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,22.5,0,0,6.67,0,7.5,0,0,7.5,13.33,0,13.34

5,01:00-01:15,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,175.75,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,22.01,0,0,6.67,0,7.33,0,0,7.33,13.33,0,13.34

6,01:15-01:30,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,175.75,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,21.49,0,0,6.67,0,7.17,0,0,7.17,13.33,0,13.34

7,01:30-01:45,0,0,15.01,0,1.76,74.68,8.64,2.38,1.45,175.75,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,21,0,0,6.67,0,7,0,0,7,13.33,0,13.34

8,01:45-02:00,0,0,15.01,0,1.76,74.68,8.64,2.38,1.45,187.89,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,20.51,0,0,6.67,0,6.83,0,0,6.83,13.33,0,13.34

9,02:00-02:15,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,187.89,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.74,142.69,0,0,0,0,20.51,0,0,6.67,0,6.83,0,0,6.83,13.33,0,13.34

10,02:15-02:30,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,187.89,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,20.51,0,0,6.67,0,6.83,0,0,6.83,13.33,0,13.34

11,02:30-02:45,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,187.89,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,20.51,0,0,6.67,0,6.83,0,0,6.83,13.33,0,13.34

12,02:45-03:00,0,0,13.01,0,1.76,74.68,8.64,2.38,1.45,156.55,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,32,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

13,03:00-03:15,0,0,13.01,0,1.71,74.68,8.64,2.38,1.37,164.15,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

14,03:15-03:30,0,0,13.01,0,1.71,74.68,8.64,2.38,1.37,164.15,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

15,03:30-03:45,0,0,13.01,0,1.71,74.68,8.64,2.38,1.37,164.15,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

16,03:45-04:00,0,0,13.01,0,1.71,74.68,8.64,2.38,1.37,164.15,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

17,04:00-04:15,0,0,13.21,0,1.71,74.68,8.64,2.38,1.37,173.76,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

18,04:15-04:30,0,0,13.41,0,1.71,74.68,8.64,2.38,1.37,192.96,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

19,04:30-04:45,0,0,16.01,0,1.71,74.68,8.64,2.38,1.37,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

20,04:45-05:00,0,0,16.01,0,1.71,74.68,8.64,2.38,1.37,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.16,47.56,0,57.34,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

21,05:00-05:15,0,0,16.01,0,1.71,74.68,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,47.56,0,67.74,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

22,05:15-05:30,0,0,16.01,0,1.71,74.68,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,47.56,0,67.74,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

23,05:30-05:45,0,0,14.01,0,1.71,74.68,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,47.56,0,67.74,25.23,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

24,05:45-06:00,0,0,14.01,0,1.71,74.68,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,47.56,0,67.74,24.22,142.69,0,0,0,0,19.99,0,0,6.67,0,6.67,0,0,6.67,13.33,0,13.34

25,06:00-06:15,0,0,14.01,0,1.66,96.04,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,0,0,67.74,24.22,0,0,0.86,0,0,19.99,0,0,6.67,0,6.67,0,0.01,6.67,13.33,0,13.34

26,06:15-06:30,0,0,14.01,0,1.66,115.25,8.64,2.38,1.3,205.09,0,0,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0,0,1.09,0,0,67.74,24.22,0,0,1.4,0,0,19.99,0,0,6.67,0,6.67,2,3.8,6.67,13.33,0,13.34

27,06:30-06:45,0,0,14.21,0.32,1.66,133.62,8.64,2.38,1.3,205.09,0,0.05,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0.01,0,1.09,0,0,67.74,24.22,0,0,2.85,0.01,0,19.99,0,0,6.67,0,6.67,6,9.95,6.67,13.33,0,13.34

28,06:45-07:00,0,0.04,14.41,0.72,1.66,133.62,8.64,2.38,1.3,205.09,0,0.07,25.93,0,25.93,25.93,17.29,100.05,8.64,70.02,0.02,0,1.09,0,0,67.74,24.22,0,0,9.1,0.19,0,19.99,0,0,6.67,0.15,6.67,10,16.57,6.67,13.33,0,13.34

29,07:00-07:15,0,0.05,14.61,1.35,1.66,133.62,8.64,2.38,1.3,205.09,0,0.21,31.69,0,31.69,31.69,17.29,100.05,8.64,65.88,0.06,0,1.09,0,0,67.74,24.22,0,1,18.34,0.28,2,19.99,1,0,6.67,6.16,6.67,15,25.82,6.67,13.33,1,13.34

30,07:15-07:30,1,0.81,14.61,2.24,1.66,133.62,8.64,2.38,1.3,233.91,0,0.52,31.69,0,31.69,31.69,17.29,100.05,8.64,65.88,0.15,0,1.09,0,0,67.74,24.22,0,2,30.29,4.07,5,19.99,2,1,6.67,13.79,6.67,20,31.61,6.67,13.33,4,13.34

31,07:30-07:45,3,2.32,14.61,3.12,1.66,133.62,8.64,2.38,1.3,260.75,0,1.48,31.69,0,31.69,31.69,17.29,100.05,8.64,65.88,0.44,0,1.09,0,0,86.63,24.22,0,5,31.6,11.58,7,19.99,5,4,6.67,22.14,6.67,27,31.6,6.67,13.33,11,13.34

32,07:45-08:00,4,4.7,14.61,4.08,1.66,133.62,8.64,2.38,1.3,260.75,0,2.71,31.69,0,31.69,31.69,17.29,100.05,8.64,65.88,0.81,0,1.09,0,0,86.63,24.22,0,7,30.4,23.51,10,19.99,8,10,6.67,30.83,6.67,30.4,30.4,6.67,13.33,25,13.34

