Block,Time,CHAMERA3,SINGRAULI_HYDRO,RAPPB,KOLDAM,DADRI_GF,RAMPUR,RIHAND3,AURY_GF,AURY_LF,UNCHAHAR3,DHAULIGNGA,TEHRI,ANTA_RF,SALAL,CHAMERA2,ANTA_LF,RIHAND2,KOTESHWR,AURY_RF,URI,DADRI_LF,DADRI_CRF,SINGRAULI,DULHASTI,KHSTPP-II,NAPP,TANAKPUR,UNCHAHAR4,BRBCL,URI2,AURY_CRF,RIHAND1,TALA,TANDA2,KHSTPP-I,ANTA_CRF,UNCHAHAR2,JHAJJAR,DADRT2,BSIUL,DADRI_RF,ANTA_GF,PARBATI3,RAPPC,UNCHAHAR1,NJPC,CHAMERA1,SEWA2,KISHANGANGA,KUDGI,GANDHAR-NAPM,KHARGONE-I,KAWAS-ComGas,VSTPS III,NLCIIST2,MAPS,KAPS,VSTPS I,TALST2,KKNP,LARA-I,GANDHAR-ComGas,MOUDA,VSTPS IV,NNTPP,KSTPS I&II,KSTPS7,KGSU3AND4,GADARWARA-I,VALLURNTECL,TAPS-II,KGSU1AND2,KAWAS-RLNG,KAWAS-APM,GANDHAR-APM,RSTPSU7,NLCTS2EXP,KAWAS-zLIQ,GANDHAR-RLNG,RSTPSU1TO6,VSTPS V,NLCEXP,SOLAPUR,SASAN,SIPAT II,FSTPP I & II,NTPL,SIPAT I,SIMHST2,MOUDA_II,KAWAS-NAPM,VSTPS II,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,30.656970,0.843494,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,19.171907,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,49.097971,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,13.859484,34.469029,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,3.760014,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.284582,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022094,0.00,1.283457,0.00,1.712429,311.829255,0.904068,17.200659,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.06,0,0,0,0,0

2,00:15-00:30,30.656970,0.843494,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,19.171907,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,49.097971,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,14.502010,34.469029,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,3.760014,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.284601,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022094,0.00,1.283457,0.00,1.712429,315.092205,0.904068,17.201306,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.00,0,0,0,0,0

3,00:30-00:45,30.656970,0.823878,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,19.171907,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,49.097971,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,13.381660,33.621431,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,3.760014,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.284601,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022094,0.00,1.283457,0.00,1.712429,318.355155,0.904068,17.201306,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.00,0,0,0,0,0

4,00:45-01:00,30.656970,0.823878,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,19.171907,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,51.232666,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,12.547512,33.621431,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,3.760014,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.284601,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022094,0.00,1.283457,0.00,1.712429,321.618105,0.904068,17.201306,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.00,0,0,0,0,0

5,01:00-01:15,30.656970,0.823878,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,18.755125,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,51.232666,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,12.151782,33.621431,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,14.771484,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.294912,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022274,0.00,1.283457,0.00,1.712429,324.881055,0.904068,17.201306,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.00,0,0,0,0,0

6,01:15-01:30,30.656970,0.823878,0.000000,4.114565,0.000000,1.339112,121.109779,0.000000,0.000000,26.064928,9.585953,26.640394,5.294777,82.009777,42.186474,0.000000,115.594185,8.423597,18.683507,49.097971,0.000000,0.000000,99.009505,52.115693,142.618106,42.456523,1.238471,1.380209,12.347293,33.621431,0.000000,90.205630,0.000000,2.359089,31.102923,0.000000,42.100250,482.852791,665.370516,19.008642,22.763596,0.000000,14.771484,58.459490,20.210622,69.285085,40.748764,11.094892,2.466767,0.00,0.000000,3.424858,0.000000,1.894622,0.00,0.24,0.794037,2.295032,0.00,1.56,4.116755,0.000000,1.873758,2.594590,0.00,2.870752,1.297295,1.06,4.151343,0.00,2.700657,1.93,0.019312,0.000000,0.000000,0.00,0.00,0.000000,0.022274,0.00,1.283457,0.00,1.712429,328.144005,0.904068,17.201306,0.00,5.137286,0.00,3.395103,0.000000,1.878456,0.00,0,0,0,0,0

