Block,Time Block,NAPP,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,NLCEXP,NJPC,MAPS,KHSTPP-II,KHSTPP-I,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,JHAJJAR,CHAMERA2,CHAMERA3,BSIUL,BRBCL,CHAMERA1,NNTPP,NTPL,PARBATI3,RAPPB,PARBATI2,NLCIIST1,NLCIIST2,RAMPUR,NLCTS2EXP,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,UNCHAHAR1,UNCHAHAR3,TEHRIPSP,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,ANTA_GF,UNCHAHAR4,VALLURNTECL,URI2,RAPPC,RIHAND2,RIHAND1,RAPPD,RIHAND3,SIMHST2,RSTPSU1TO6,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,528.85,56.87,191.76,47.31,33.95,12.61,17.28,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,10.24,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

2,00:15-00:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,528.85,56.87,191.76,47.31,33.95,12.61,13.92,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,10.24,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

3,00:30-00:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,486.72,56.87,191.76,47.31,33.95,12.61,13.96,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,10.24,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

4,00:45-01:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,448.02,56.87,191.76,47.31,33.95,12.61,14.27,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,10.24,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

5,01:00-01:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,370.15,56.87,191.76,47.31,33.95,12.61,13.36,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,12.23,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

6,01:15-01:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,292.75,56.87,191.76,47.31,33.95,12.61,13.29,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,11.65,12.23,21.12,26.99,50.3,28.47,0,42.96,48.59,0,0,2.31,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

7,01:30-01:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,44.28,0,0,42.42,18.96,239.55,56.87,191.76,47.31,33.95,12.61,13.29,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,8.67,12.8,18.28,23.47,50.3,28.47,0,37.45,48.59,0,0,2.01,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

8,01:45-02:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,143.47,38.21,0,0,42.42,16.54,239.55,56.87,172.92,47.31,33.95,12.61,13.29,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,147.48,5.97,0,8.67,12.8,18.28,23.47,50.3,28.47,0,37.45,48.59,0,0,2.01,0,36.92,66,122.04,95.84,24.33,89.36,0,0,405.12,0,0,82.63,0,0,0,0,0,0

9,02:00-02:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.66,38.21,0,0,42.42,16.54,239.55,56.87,158.49,47.31,33.95,12.61,13.31,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,128.83,5.97,0,8.67,12.8,18.28,23.47,0,28.47,0,37.45,48.59,0,0,1.7,0,36.92,66,106.17,83.55,24.33,88.87,0,0,405.12,0,0,82.63,0,0,0,0,0,0

10,02:15-02:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,171.83,56.87,158.49,47.31,33.95,12.61,13.42,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,128.83,5.97,0,8.67,12.8,18.28,23.47,0,28.47,0,37.45,48.59,0,0,1.7,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,82.63,0,0,0,0,0,0

11,02:30-02:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,104.11,56.87,163.33,47.31,33.95,12.61,13.29,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,128.83,5.97,0,11.65,12.8,18.28,23.47,0,28.47,0,37.45,48.59,0,0,1.7,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,82.63,0,0,0,0,0,0

12,02:45-03:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,95.4,56.87,163.33,47.31,33.95,12.61,14.51,40.78,0,0,66.91,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.18,128.83,5.97,0,11.65,12.8,18.28,23.47,0,28.47,0,37.45,48.59,0,0,1.7,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,82.63,0,0,0,0,0,0

13,03:00-03:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,95.4,56.87,152.38,47.31,33.95,12.61,16.34,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,5.97,0,9.3,12.8,18.28,17.91,0,28.47,0,28.66,48.59,0,0,1.7,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

14,03:15-03:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,95.4,56.87,152.38,47.31,33.95,12.61,14.99,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,6.17,0,9.3,12.8,13.98,17.91,0,28.47,0,28.66,48.59,0,0,0.99,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

15,03:30-03:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,26.1,56.87,152.38,47.31,33.95,12.61,16.85,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,6.17,0,9.3,12.8,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

16,03:45-04:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,123.65,38.21,0,0,42.42,16.54,7.37,56.87,152.38,47.31,33.95,12.61,16.7,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,6.17,0,9.3,12.8,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

17,04:00-04:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,141.83,38.21,0,0,42.42,13.66,7.37,56.87,118.52,47.31,33.95,12.61,18.84,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,6.17,0,9.3,12.8,12.27,14.89,0,28.47,0,24.27,48.59,0,0,1.05,0,36.92,66,122.04,95.83,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

18,04:15-04:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,10.19,7.37,56.87,118.52,47.31,33.95,12.61,18.22,40.78,0,0,65.43,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.75,4.91,0,9.3,12.8,12.02,14.89,0,28.47,0,24.27,48.59,0,0,1.05,0,36.92,66,122.04,95.84,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

19,04:30-04:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,10.19,7.37,56.87,118.52,47.31,33.95,12.61,19.36,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.3,12.8,12.02,14.89,0,28.47,0,24.27,48.59,0,0,1.05,0,36.92,66,122.04,92.86,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

