Block,Time,DADRI_LF,DADRI_CRF,RIHAND3,UNCHAHAR3,AURY_CRF,CHAMERA1,RAPPB,RIHAND1,UNCHAHAR4,KOTESHWR,RAPPC,AURY_LF,NAPP,ANTA_RF,AURY_RF,CHAMERA3,RAMPUR,SINGRAULI_HYDRO,DADRI_RF,SINGRAULI,NJPC,CHAMERA2,TANAKPUR,ANTA_LF,DULHASTI,DHAULIGNGA,UNCHAHAR1,BSIUL,DADRT2,JHAJJAR,KISHANGANGA,TANDA2,UNCHAHAR2,PARBATI3,RIHAND2,AURY_GF,KOLDAM,TEHRI,SEWA2,SALAL,ANTA_CRF,URI,URI2,DADRI_GF,ANTA_GF,KHSTPP-I,SASAN,KHSTPP-II,FSTPP I & II,BRBCL,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,1.812053,10.017773,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,330.748200,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,1.812053,10.017773,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,330.748200,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,0.000000,0.000000,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,330.748200,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,0.000000,0.000000,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,330.748200,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,0.000000,0.000000,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,261.117000,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,126.284015,26.729659,0.000000,25.976306,0.000000,93.862802,2.988339,8.919085,67.377536,0.000000,49.782494,0.000000,0.000000,22.434239,0.834066,0.754018,0.000000,145.045948,21.553150,46.904184,0.000000,0.000000,38.152355,0.000000,21.882378,18.918797,665.767062,534.268398,5.377496,5.181808,21.711395,0.000000,120.287898,0.000000,0.000000,0.000000,18.182077,50.569659,0.000000,33.631870,33.998240,0.000000,0.000000,33.654413,261.117000,142.938927,13.829530,19.342000,0.000000,0,0,0,0,0

