Block,Time,TEHRI,UNCHAHAR4,DADRT2,DADRI_RF,JHAJJAR,AURY_GF,SINGRAULI_HYDRO,TANAKPUR,SALAL,KOLDAM,RAPPC,DADRI_LF,ANTA_GF,RAMPUR,CHAMERA3,AURY_LF,DHAULIGNGA,CHAMERA2,UNCHAHAR2,ANTA_LF,URI,RIHAND1,DADRI_GF,DULHASTI,UNCHAHAR3,TANDA2,AURY_CRF,ANTA_RF,PARBATI3,SEWA2,NJPC,DADRI_CRF,URI2,NAPP,RIHAND3,BSIUL,RAPPB,AURY_RF,ANTA_CRF,CHAMERA1,KOTESHWR,UNCHAHAR1,RIHAND2,KISHANGANGA,SINGRAULI,KHSTPP-II,FSTPP I & II,BRBCL,SASAN,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,354.719700,0.000000,113.433400,0.000000,0.570080,3.078563,2.234061,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.419500,0.000000,38.205907,88.439600,0.000000,15.841120,5.767800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.651700,113.553562,0.000000,118.600388,41.335900,4.806500,14.419524,402.517411,0.000000,13.458200,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,354.719700,0.000000,113.433400,0.000000,0.570080,3.078563,2.234061,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.419500,0.000000,38.205907,88.439600,0.000000,15.841120,5.767800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.651700,113.553562,0.000000,118.600388,41.335900,4.806500,14.419524,402.563601,0.000000,13.458200,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,354.719700,0.000000,113.433400,0.000000,0.570080,3.078563,2.234061,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.419500,0.000000,5.306376,62.365087,0.000000,0.000000,5.767800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.651700,92.522529,0.000000,118.600388,41.335900,4.806500,14.419524,402.563601,0.000000,13.458200,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,354.719700,0.000000,113.433400,0.000000,0.570080,3.078563,2.234061,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.419500,0.000000,5.306376,55.972269,0.000000,0.000000,5.767800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.651700,92.522529,0.000000,118.600388,41.335900,4.806500,14.419524,402.563601,0.000000,13.458200,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,354.719700,0.000000,113.433400,0.000000,0.570080,3.078563,2.234061,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.419500,0.000000,5.306376,55.972269,0.000000,0.000000,5.767800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,101.015776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.651700,92.522529,0.000000,110.549596,41.335900,4.806500,14.419524,402.563601,0.000000,13.458200,0,0,0,0,0

