Block,Time,LT-36,L_NR_2020_02,L_NR_2019_11,LT-35,L_NR_2012_01,L_NR_2012_02,L_NR_2012_04,SH-07,SH-06,L_NR_2012_07,L_NR_2023_04,LT-05,LT-59,LT-31,L_NR_2018_61,L_NR_2019_05,L_NR_2019_19,L_NR_2022_09,L_NR_2021_16,L_NR_2020_05,L_NR_2022_08,L_NR_2019_07,L_NR_2021_12,L_NR_2021_14,L_NR_2021_15,L_NR_2021_13,L_NR_2020_07,L_NR_2022_10,L_NR_2021_17,L_NR_2020_06,L_NR_2019_06
1,00:00-00:15,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,30.870000,115.790000,10.320000,0.000000,20.57,0,0,64.49,0,85.85,24.75,0,0,0,0,0,28.6,64.49,0,28.62,0

2,00:15-00:30,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,30.870000,115.790000,10.320000,0.000000,20.11,0,0,63.53,0,85.56,24.59,0,0,0,0,0,28.52,63.53,0,28.52,0

3,00:30-00:45,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,30.870000,115.790000,10.320000,0.000000,20.13,0,0,63.55,0,85.31,24.42,0,0,0,0,0,28.44,63.55,0,28.44,0

4,00:45-01:00,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,30.870000,115.790000,10.320000,0.000000,19.63,0,0,63.58,0,85.1,24.4,0,0,0,0,0,28.37,63.58,0,28.37,0

5,01:00-01:15,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,29.900000,115.790000,10.320000,0.000000,18.88,0,0,63.65,0,84.93,24.38,0,0,0,0,0,28.31,63.65,0,28.31,0

6,01:15-01:30,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,29.900000,115.790000,10.320000,0.000000,18.79,0,0,63.98,0,84.75,24.16,0,0,0,0,0,28.26,63.98,0,28.25,0

7,01:30-01:45,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,29.900000,115.790000,10.320000,0.000000,18.22,0,0,64.11,0,84.61,24.14,0,0,0,0,0,28.22,64.11,0,28.2,0

8,01:45-02:00,0.000000,0.000000,8.590000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,29.900000,115.790000,10.320000,0.000000,17.14,0,0,64.49,0,84.47,24.16,0,0,0,0,0,28.16,64.49,0,28.16,0

9,02:00-02:15,0.000000,0.000000,8.290000,0.000000,101.040000,261.020000,271.290000,0.000000,0.000000,73.970000,29.900000,115.790000,10.320000,0.000000,17.34,0,0,60.55,0,88.18,23.87,0,0,0,0,0,29.4,60.55,0,29.39,0

