Block,Time Block,MAPS,KOTESHWR,KUDGI,KKNP,KISHANGANGA,KOLDAM,KKNPPU2,KHSTPP-I,KHSTPP-II,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,CHAMERA3,CHAMERA2,DHAULIGNGA,DULHASTI,DADRT2,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,RAPPB,RIHAND2,SASAN,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,SALAL,PARBATI3,RIHAND3,SIMHST1,SEWA2,SIMHST2,SINGRAULI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TALA,URI,CHAMERA1,BSIUL,BRBCL,NAPP,NLCIIST1,NLCEXP,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,8.53,0,0,0,0,0,32.73,107.15,9.62,346.08,0,0,0,0,0,0,350.84,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09,335.3,0,88.39,0,0,0,0,51.94,0,0,1.35,0,119.45,0,0,0,110.27,0,0,11.54,0,0,4.14,14.27,0,0,5.53,0,23.47,0,0.53,0,0,14.41,42.69,0,0,0,0,0,0,0,0

2,00:15-00:30,0,8.53,0,0,0,0,0,28.87,94.73,9.62,346.08,0,0,0,0,0,0,350.84,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09,335.3,0,88.39,0,0,0,0,51.94,0,0,1.35,0,119.45,0,0,0,110.27,0,0,11.54,0,0,4.14,14.27,0,0,5.53,0,22.48,0,0.53,0,0,14.41,42.69,0,0,0,0,0,0,0,0

3,00:30-00:45,0,8.53,0,0,0,0,0,28.87,94.73,9.62,346.08,0,0,0,0,0,0,350.84,0,0,0,0,0,0,0,0,0,0,0,0,0,114.09,335.3,0,88.39,0,0,0,0,51.94,0,0,1.35,0,119.45,0,0,0,110.27,0,0,11.54,0,0,4.14,14.27,0,0,5.53,0,22.48,0,0.53,0,0,14.41,42.69,0,0,0,0,0,0,0,0

4,00:45-01:00,0,8.53,0,0,0,0,0,28.87,94.73,9.62,346.08,0,0,0,0,0,0,350.84,0,0,0,0,0,0,0,0,0,0,0,0,0,91.56,335.3,0,60.85,0,0,0,0,51.94,0,0,1.35,0,87.6,0,0,0,110.27,0,0,11.54,0,0,4.14,14.27,0,0,5.53,0,22.48,0,0.53,0,0,14.41,42.69,0,0,0,0,0,0,0,0

5,01:00-01:15,0,8.53,0,0,0,0,0,28.87,94.73,9.62,346.08,0,0,0,0,0,0,350.84,0,0,0,0,0,0,0,0,0,0,0,0,0,91.56,335.3,0,60.85,0,0,0,0,51.94,0,0,1.35,0,87.6,0,0,0,110.27,0,0,11.54,0,0,4.14,14.27,0,0,5.53,0,22.48,0,0.53,0,0,13.83,42.69,0,0,0,0,0,0,0,0

