Time,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/SKS-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/jitpl,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21956/A/30543,NR/2024/21966/A/30308,NR/2024/21814/A/30522,NR/2024/21971/A/30518,NR/2024/21909/A/30486,NR/2024/22248/C,NR/2024/21961/A/30521,NR/2024/21968/A/30516,NR/2024/21918/A/30552,NR/2024/22081/A/30600,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22080/A/30176,NR/2024/21983/A/30275,NR/2024/21932/A/30300,NR/2024/21938/A/30520,NR/2024/21970/A/30517,NR/2024/21658/A/30250,NR/2024/21974/A/30519,NR/2024/21860/A/30601,NR/2024/22042/A/30248,NR/2024/22010/A/30563,NR/2024/21954/A/30538,NR/2024/21940/A/30540,NR/2024/22247/C,NR/01102023/23072042/L_NR_2012_04,NR/2024/21943/A/30537,NR/2024/22014/A/30249,NR/2024/22246/C,NR/2024/22245/C,Total
,,DELHI,BAWANA_GAS,TPTCL,MEJA,DELHI,INSTINCT,DELHI,AEL,APPCPL,APPCPL,INSTINCT,NVVNL,NVVNL,AEL,IEXL,PTC,NVVNL,MANIKARAN,TPDDL,PUNJAB,DELHI,DIAPL,TPTCL,DTCP,PTC,NVVNL,ITCLH,NVVNL,TPDDL,IEXL,MANIKARAN,APPCPL,APPCPL,NVVNL,TPTCL,APPCPL,IEXL,NVVNL,NVVNL,Total

,,HIMACHAL PRADESH,DELHI,NA,UTTAR PRADESH,NA,NA,NA,NA,ARUNACHAL PRADESH,KERALA,NA,NA,NA,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,DELHI,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NA,NA,MAHARASHTRA,GOA,MANIPUR,UTTARAKHAND,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,
,,CHANJUII,BAWANA_GAS,SIMHAPURI,MEJA,SKS Raigarh,JPL-2,JITPL,APL_Raigarh TPP,Arunachal_Ben,KSEB,JPL-2,JPNIGRIE_JNSTPP,RKM_POWER,APL_Raigarh TPP,RKM_POWER,HP,JPL-2,AEML,JHAJJAR,BAWANA_GAS,MSEB_Beneficiary,GBHHPL,SIMHAPURI,SHPPBPL,HP,TRN_ENERGY,ITCWIND,RKM_POWER,JPL-2,A_A_Energy_MH_Bio,GOA_Beneficiary,Manipur_Ben,UTTARAKHAND,SORANG_HEP,MPL,AEML,NHCPL_HP,KAMENG,SOLAPUR_SOLAR,
,,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,HARYANA,BRPL,DELHI,NDMC,BRPL,NDMC,BRPL,BRPL,BYPL,BRPL,TPDDL,NDMC,BRPL,TPDDL,BRPL,NDMC,BYPL,TPDDL,PUNJAB,TPDDL,DIAPL,BRPL,DTCP,BYPL,NDMC,ITCLH,NDMC,TPDDL,MES (Delhi),BRPL,BRPL,BYPL,TPDDL,TPDDL,BRPL,MES (Delhi),TPDDL,MES (Delhi),
,,North-North,North-North,South-West-North,North-North,West-North,West-North,East-North,West-North,North East-East-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,East-North,West-North,North-North,North East-East-North,West-North,
1,00:00-00:15,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.870000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.32

2,00:15-00:30,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.870000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.32

3,00:30-00:45,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.870000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.32

4,00:45-01:00,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.870000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.32

5,01:00-01:15,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.08

6,01:15-01:30,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.08

7,01:30-01:45,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.08

8,01:45-02:00,12.230000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1467.08

9,02:00-02:15,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1471.68

10,02:15-02:30,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1471.68

11,02:30-02:45,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1471.68

12,02:45-03:00,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,38.530000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1471.68

13,03:00-03:15,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1433.15

14,03:15-03:30,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1433.15

15,03:30-03:45,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1433.15

16,03:45-04:00,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.630000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1433.15

17,04:00-04:15,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1432.58

18,04:15-04:30,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,8.670000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1432.58

19,04:30-04:45,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1431.62

20,04:45-05:00,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,67.420000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1431.62

21,05:00-05:15,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1387.83

