Time,Block,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17165/A,NR/2023/17836/C,NR/2023/17839/C,WR/2023/17681/A,WR/2023/19090/A,NR/2023/17835/C,WR/2023/17681/A/II,Total
,,MANIKARAN,APPCPL,APPCPL,MANIKARAN,IEXL,ITCLH,NVVNL,SJVNL,TPDDL,MANIKARAN,TPTCL,NVVNL,MANIKARAN,Total

,,DELHI,DELHI,DELHI,DELHI,KARNATAKA,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,DELHI,DELHI,NA,DELHI,
,,BRPL,BYPL,BRPL,BRPL,NSLSUGAR,ITCWIND,SKS Raigarh,SORANG_HEP,CHANJUII,BYPL,BYPL,SOLAPUR_SOLAR,BYPL,
,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,MAHARASHTRA,MAHARASHTRA,DELHI,MAHARASHTRA,
,,HP,HP,HP,HP,MES (Delhi),ITCLH,NDMC,NDMC,TPDDL,AEML,TPC MSEB,MES (Delhi),AEML,
,,North-North,North-North,North-North,North-North,South-East-North,South-West-North,West-North,North-North,North-North,North-East-West,North-West,West-North,North-West,
1,00:00-00:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.580000,62.820000,0.000000,5.540000,0.000000,0.000000,0,100.000000,338.24

2,00:15-00:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.580000,62.820000,0.000000,5.540000,0.000000,0.000000,0,100.000000,338.24

3,00:30-00:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.580000,62.820000,0.000000,5.540000,0.000000,0.000000,0,100.000000,338.24

4,00:45-01:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.580000,62.820000,0.000000,5.540000,0.000000,0.000000,0,100.000000,338.24

5,01:00-01:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.440000,0.000000,0.000000,0,100.000000,338.09

6,01:15-01:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.440000,0.000000,0.000000,0,100.000000,338.09

7,01:30-01:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.440000,0.000000,0.000000,0,100.000000,338.09

8,01:45-02:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.440000,0.000000,0.000000,0,100.000000,338.09

9,02:00-02:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.350000,0.000000,0.000000,0,100.000000,338

10,02:15-02:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.350000,0.000000,0.000000,0,100.000000,338

11,02:30-02:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.350000,0.000000,0.000000,0,100.000000,338

12,02:45-03:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.350000,0.000000,0.000000,0,100.000000,338

13,03:00-03:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.260000,0.000000,0.000000,0,100.000000,337.91

14,03:15-03:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.260000,0.000000,0.000000,0,100.000000,337.91

15,03:30-03:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.260000,0.000000,0.000000,0,100.000000,337.91

16,03:45-04:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.260000,0.000000,0.000000,0,100.000000,337.91

17,04:00-04:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.170000,0.000000,0.000000,0,100.000000,337.82

18,04:15-04:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.170000,0.000000,0.000000,0,100.000000,337.82

19,04:30-04:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.170000,0.000000,0.000000,0,100.000000,337.82

20,04:45-05:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.170000,0.000000,0.000000,0,100.000000,337.82

21,05:00-05:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.070000,0.000000,0.000000,0,100.000000,337.72

22,05:15-05:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.070000,0.000000,0.000000,0,100.000000,337.72

23,05:30-05:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.070000,0.000000,0.000000,0,100.000000,337.72

24,05:45-06:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.530000,62.820000,0.000000,5.070000,0.000000,0.000000,0,100.000000,337.72

25,06:00-06:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.580000,62.820000,0.000000,4.990000,100.000000,0.000000,0,0.000000,397.45

26,06:15-06:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.580000,62.820000,0.000000,4.990000,100.000000,0.000000,0,0.000000,397.45

27,06:30-06:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.580000,62.820000,0.000000,4.990000,100.000000,0.000000,0,0.000000,397.45

28,06:45-07:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.580000,62.820000,0.000000,4.990000,100.000000,0.000000,0.35,0.000000,397.8

29,07:00-07:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.680000,62.820000,0.000000,4.990000,100.000000,0.000000,0.64,0.000000,398.19

30,07:15-07:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.680000,62.820000,0.000000,4.990000,100.000000,0.000000,1.01,0.000000,398.56

31,07:30-07:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.680000,62.820000,0.000000,4.990000,100.000000,0.000000,1.39,0.000000,398.94

32,07:45:08:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.680000,62.820000,0.000000,4.990000,100.000000,0.000000,1.83,0.000000,399.38

33,08:00-08:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,0.000000,4.890000,100.000000,0.000000,2.26,0.000000,400

34,08:15-08:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,0.000000,4.890000,100.000000,0.000000,2.73,0.000000,400.47

35,08:30-08:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,0.000000,4.890000,100.000000,0.000000,3.17,0.000000,400.91

36,08:45:09:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,0.000000,4.890000,100.000000,0.000000,3.64,0.000000,401.38

37,09:00:09:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.890000,100.000000,0.000000,4.16,0.000000,424.13

38,09:15-09:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.890000,100.000000,0.000000,4.59,0.000000,424.56

39,09:30-09:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.890000,100.000000,0.000000,5,0.000000,424.97

40,09:45-10:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.890000,100.000000,0.000000,5.35,0.000000,425.32

41,10:00-10:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,5.68,0.000000,425.55

42,10:15-10:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,5.95,0.000000,425.82

43,10:30-10:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,6.18,0.000000,426.05

44,10:45-11:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,6.57,0.000000,426.44

45,11:00-11:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,6.72,0.000000,426.59

46,11:15-11:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,6.87,0.000000,426.74

47,11:30-11:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.04,0.000000,426.91

48,11:45-12:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.08,0.000000,426.95

49,12:00-12:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.07,0.000000,426.94

50,12:15-12:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.07,0.000000,426.94

51,12:30-12:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.06,0.000000,426.93

52,12:45-13:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,22.230000,4.790000,100.000000,0.000000,7.04,0.000000,426.91

53,13:00-13:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,7.07,0.000000,427.83

54,13:15-13:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,6.96,0.000000,427.72

55,13:30-13:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,6.66,0.000000,427.42

56,13:45-14:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,6.43,0.000000,427.19

57,14:00-14:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,6.11,0.000000,426.87

58,14:15-14:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,5.7,0.000000,426.46

59,14:30-14:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,5.33,0.000000,426.09

60,14:45-15:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,23.200000,4.710000,100.000000,0.000000,4.89,0.000000,425.65

61,15:00-15:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,24.160000,4.790000,100.000000,0.000000,4.57,0.000000,426.37

62,15:15-15:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,24.160000,4.790000,100.000000,0.000000,3.91,0.000000,425.71

63,15:30-15:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,24.160000,4.790000,100.000000,0.000000,3.52,0.000000,425.32

64,15:45-16:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.970000,62.820000,24.160000,4.790000,100.000000,0.000000,2.76,0.000000,424.56

65,16:00-16:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.870000,62.820000,24.160000,4.890000,100.000000,0.000000,2.01,0.000000,423.81

66,16:15-16:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.870000,62.820000,24.160000,4.890000,100.000000,0.000000,1.75,0.000000,423.55

67,16:30-16:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.870000,62.820000,24.160000,4.890000,100.000000,0.000000,1.62,0.000000,423.42

68,16:45-17:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.870000,62.820000,24.160000,4.890000,100.000000,0.000000,1,0.000000,422.8

69,17:00-17:15,201.890000,0.000000,0.000000,20.400000,6.770000,0.770000,62.820000,0.000000,5.070000,100.000000,0.000000,0.7,0.000000,398.42

70,17:15-17:30,201.890000,0.000000,0.000000,20.400000,6.770000,0.770000,62.820000,0.000000,5.070000,100.000000,0.000000,0.34,0.000000,398.06

71,17:30-17:45,201.890000,0.000000,0.000000,20.400000,6.770000,0.770000,62.820000,0.000000,5.070000,100.000000,0.000000,0.14,0.000000,397.86

72,17:45-18:00,201.890000,0.000000,0.000000,20.400000,6.770000,0.770000,62.820000,0.000000,5.070000,100.000000,0.000000,0,0.000000,397.72

73,18:00-18:15,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,295.97

74,18:15-18:30,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,295.97

75,18:30-18:45,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,295.97

76,18:45-19:00,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,295.97

