Column1,Time,GNA/NR/2025/08/01/5126,GNA/NR/2025/06/07/5932,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6187,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/3698,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2952,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532,GNARE/WR/2025/08/25/1832,L_NR_2019_19,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59
1,00:00-00:15,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,106.96,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,10.5,31.5,10.5,34.33,34.34,9.73,41.61,0,0,0,0

2,00:15-00:30,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,98.46,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,10.83,32.51,10.83,34.67,34.66,10,40.41,0,0,0,0

3,00:30-00:45,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,89.98,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,11.17,33.49,11.17,35.33,35.34,10.14,39.21,0,0,0,0

4,00:45-01:00,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,81.49,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,11.67,34.99,11.67,35.67,35.66,10.16,39.21,0,0,0,0

5,01:00-01:15,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,73,270.59,0,4,76.28,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,12,36,12,35.67,35.66,10,38.61,0,0,0,0

6,01:15-01:30,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,70.17,270.59,0,4,76.28,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,12.33,37.01,12.33,35.33,35.34,9.83,38.01,0,0,0,0

7,01:30-01:45,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,70.17,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,12.67,37.99,12.67,34.67,34.66,9.63,44.02,0,0,0,0

8,01:45-02:00,20.44,-0,0,14.58,0,28.93,100.23,0,0,14.58,0,0,70.17,270.59,0,4,86.78,15.25,33.67,19.24,20.76,81.78,0,12.65,260.34,2.77,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,13,39,13,33.67,33.66,9.38,42.02,0,0,0,0

