Block,Time,URI,AURY_GF,CHAMERA2,DADRI_CRF,SEWA2,RAPPC,PARBATI3,TANDA2,CHAMERA1,ANTA_LF,AURY_LF,KISHANGANGA,UNCHAHAR2,KOTESHWR,NAPP,KOLDAM,SALAL,DADRI_GF,ANTA_CRF,UNCHAHAR4,AURY_CRF,URI2,AURY_RF,RAMPUR,DADRT2,ANTA_GF,UNCHAHAR3,DADRI_RF,NJPC,TEHRI,JHAJJAR,SINGRAULI,CHAMERA3,TANAKPUR,DADRI_LF,DULHASTI,UNCHAHAR1,RAPPB,ANTA_RF,RIHAND3,BSIUL,RIHAND2,RIHAND1,DHAULIGNGA,SINGRAULI_HYDRO,KHSTPP-I,BRBCL,TALA,KHSTPP-II,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.118576,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,6.689634,0.000000,0.000000,0.000000,0.000000,4.517518,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.617743,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,35.406803,14.392500,0.000000,121.349154,4.797500,401.809815,0,0,0,0,0

2,00:15-00:30,2.118576,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,4.517518,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,29.148555,14.392500,0.000000,92.180219,4.797500,401.809815,0,0,0,0,0

3,00:30-00:45,2.118576,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,14.392500,0.000000,91.152500,4.797500,401.809815,0,0,0,0,0

4,00:45-01:00,2.542291,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,14.392500,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

5,01:00-01:15,23.304336,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,13.979915,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

6,01:15-01:30,23.304336,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,13.231505,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

7,01:30-01:45,2.542291,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,14.392500,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

8,01:45-02:00,2.118576,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,14.392500,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

9,02:00-02:15,2.118576,0.000000,0.000000,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,8.514603,20.494920,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,4.517518,0.000000,0.000000,337.744000,0.000000,12.473500,0.000000,0.000000,0.000000,337.744000,112.621312,0.000000,0.000000,0.000000,0.000000,7.580050,0.000000,0.000000,118.657167,0.000000,56.668070,88.274000,0.000000,0.679144,14.392500,14.392500,0.000000,46.056000,4.797500,401.809815,0,0,0,0,0

