,,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,GOA,NA,KERALA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MP,GOA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,NA,NA,MAHARASHTRA,KERALA,NA,KARNATAKA,NA,MEGHALAYA,
,,Meghalaya_Ben,SHPPBPL,ITCWIND,BYPL,GOA_Beneficiary,JPNIGRIE_JNSTPP,KSEB,SHPPBPL,KAMENG,LAPL-UP,SOLAPUR_SOLAR,JPL-2,HP,B_S_ISPAT_MH,UTTARAKHAND,HP,TS1PL_BKN,SHPPBPL,JPL-2,SHPPBPL,Meghalaya_Ben,SKS Raigarh,HP,TS1PL_BKN,ITCWIND,JP BINA,GOA_Beneficiary,TANGEDCO,SHPPBPL,GBHHPL,SKS Raigarh,SHPPBPL,TPC MSEB,TANGEDCO,SHPPBPL,LMEL MSEB,SHPPBPL,HP,KAMENG,SHPPBPL,GBHHPL,Meghalaya_Ben,IPCL_WB,KWHEP,TS1PL_BKN,B_S_ISPAT_MH,KSEB,TS1PL_BKN,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BMDRC,ITCLH,AMNSIL,BRPL,TPDDL,BRPL,BAL234,BRPL,BYPL,MES (Delhi),TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,BAL184,BRPL,UHL,BYPL,NDMC,BRPL,BRPL,ITCLH,BRPL,BRPL,BYPL,MHIL,DIAPL,NDMC,BAL224,BYPL,BRPL,MAX-HPTL,BYPL,AISHER,BYPL,TPDDL,JHPL-DL,DIAPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,BYPL,MES (Delhi),BRPL,BYPL,
,,North East-East-North,North-North,South-East-North,North-East-West,West-East-North,West-North,South-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,South-East-North,North-North,South-West-North,West-North,North East-East-North,

3,00:30-00:45,62.990000,0.930000,0.870000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.65

4,00:45-01:00,62.990000,0.930000,0.870000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.65

5,01:00-01:15,62.990000,0.930000,0.680000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.46

6,01:15-01:30,62.990000,0.930000,0.680000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.46

7,01:30-01:45,62.990000,0.930000,0.680000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.46

8,01:45-02:00,62.990000,0.930000,0.680000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.46

