,,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,GOA,NA,KERALA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MP,GOA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,NA,NA,MAHARASHTRA,KERALA,NA,KARNATAKA,NA,MEGHALAYA,
,,Meghalaya_Ben,SHPPBPL,ITCWIND,BYPL,GOA_Beneficiary,JPNIGRIE_JNSTPP,KSEB,SHPPBPL,KAMENG,LAPL-UP,SOLAPUR_SOLAR,JPL-2,HP,B_S_ISPAT_MH,UTTARAKHAND,HP,TS1PL_BKN,SHPPBPL,JPL-2,SHPPBPL,Meghalaya_Ben,SKS Raigarh,HP,TS1PL_BKN,ITCWIND,JP BINA,GOA_Beneficiary,TANGEDCO,SHPPBPL,GBHHPL,SKS Raigarh,SHPPBPL,TPC MSEB,TANGEDCO,SHPPBPL,LMEL MSEB,SHPPBPL,HP,KAMENG,SHPPBPL,GBHHPL,Meghalaya_Ben,IPCL_WB,KWHEP,TS1PL_BKN,B_S_ISPAT_MH,KSEB,TS1PL_BKN,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BMDRC,ITCLH,AMNSIL,BRPL,TPDDL,BRPL,BAL234,BRPL,BYPL,MES (Delhi),TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,BAL184,BRPL,UHL,BYPL,NDMC,BRPL,BRPL,ITCLH,BRPL,BRPL,BYPL,MHIL,DIAPL,NDMC,BAL224,BYPL,BRPL,MAX-HPTL,BYPL,AISHER,BYPL,TPDDL,JHPL-DL,DIAPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,BYPL,MES (Delhi),BRPL,BYPL,
,,North East-East-North,North-North,South-East-North,North-East-West,West-East-North,West-North,South-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,South-East-North,North-North,South-West-North,West-North,North East-East-North,
9,02:00-02:15,62.990000,0.930000,0.580000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.36

10,02:15-02:30,62.990000,0.930000,0.580000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.36

11,02:30-02:45,62.990000,0.930000,0.580000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.36

12,02:45-03:00,62.990000,0.930000,0.580000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.36

13,03:00-03:15,62.990000,0.930000,0.170000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.360000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

14,03:15-03:30,62.990000,0.930000,0.170000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.360000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

15,03:30-03:45,62.990000,0.930000,0.170000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.360000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

16,03:45-04:00,62.990000,0.930000,0.170000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.360000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

17,04:00-04:15,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

18,04:15-04:30,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

19,04:30-04:45,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

20,04:45-05:00,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,98.470000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1908.52

21,05:00-05:15,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1810.05

22,05:15-05:30,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1810.05

23,05:30-05:45,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.760000,48.270000,0,4.830000,84.940000,0.000000,1810.05

24,05:45-06:00,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,64.870000,0,0.530000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0.7,6.760000,48.270000,0.3,4.830000,84.940000,0.000000,1811.05

25,06:00-06:15,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,2.8,6.760000,7.720000,1.2,4.830000,84.940000,0.000000,1464.94

26,06:15-06:30,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0.1,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,5.6,6.760000,7.720000,2.4,4.830000,84.940000,0.000000,1469.04

27,06:30-06:45,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0.51,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,9.8,6.760000,7.720000,4.2,4.830000,84.940000,0.000000,1475.45

28,06:45-07:00,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0.89,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,0.970000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,14.7,6.760000,7.720000,6.3,4.830000,84.940000,0.000000,1482.83

29,07:00-07:15,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.31,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,20.3,6.760000,7.720000,8.7,4.830000,84.940000,0.000000,1491.25

30,07:15-07:30,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.77,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,26.6,6.760000,7.720000,11.4,4.830000,84.940000,0.000000,1500.71

31,07:30-07:45,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,2.32,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,32.2,6.760000,7.720000,13.8,4.830000,84.940000,0.000000,1509.26

