Block,Time,BSIUL,FSTPP I & II,JHAJJAR,KOTESHWR,SASAN,ANTA_LF,AURY_GF,CHAMERA1,KGSU1AND2,MAPS,NLCEXP,TANAKPUR,TelanganaSTPP,UNCHAHAR3,URI,BRBCL,KOLDAM,KUDGI,NLCTS2EXP,RAMPUR,RSTPSU7,TALST2,NJPC,NTPL,SIMHST1,SINGRAULI_HYDRO,TALA,TEHRI,UNCHAHAR1,AURY_LF,CHAMERA2,CHAMERA3,DADRT2,DULHASTI,KISHANGANGA,NLCIIST1,NNTPP,RAPPC,SINGRAULI,TANDA2,ANTA_RF,DADRI_RF,KHSTPP-II,NAPP,RIHAND2,SALAL,SIMHST2,UNCHAHAR2,UNCHAHAR4,VALLURNTECL,AURY_RF,DADRI_LF,DHAULIGNGA,KGSU3AND4,KKNP,PARBATI2,PARBATI3,RAPPB,RSTPSU1TO6,SEWA2,URI2,ANTA_CRF,ANTA_GF,DADRI_CRF,KHSTPP-I,KKNPPU2,NLCIIST2,RAPPD,RIHAND1,RIHAND3,AURY_CRF,DADRI_GF
1,00:00-00:15,19.56,20.8,670.67,10.43,418.77,0,0,28.13,0,0,0,0,0,27.68,52.36,20,7.19,0,0,5.42,0,0,138.33,0,0,0.98,0,31.29,21.94,0,48.81,35.03,548.92,59.5,8.63,0,0,69.23,150.34,5.7,51.17,100.46,148.3,25.9,124.58,79.38,0,44.5,2.3,0,80.77,0,10.95,0,0,30.06,38.36,0,0,0,35.34,0,0,0,45.53,0,0,22.02,97.23,130.79,0,0

2,00:15-00:30,19.56,20.8,670.67,10.43,418.77,0,0,28.13,0,0,0,0,0,27.68,52.36,20,7.19,0,0,5.42,0,0,138.33,0,0,0.98,0,31.29,21.94,0,48.81,35.03,548.92,59.5,8.63,0,0,69.23,150.34,5.7,51.17,100.46,148.3,25.9,124.58,79.38,0,44.5,2.3,0,80.77,0,10.95,0,0,30.06,38.36,0,0,0,35.34,0,0,0,45.53,0,0,22.02,97.23,130.79,0,0

3,00:30-00:45,13.04,20.8,670.67,10.43,418.77,0,0,28.13,0,0,0,6.27,0,27.68,52.36,20,7.19,0,0,5.42,0,0,138.33,0,0,0.98,0,31.29,21.94,0,48.81,35.03,548.92,59.5,8.63,0,0,69.23,150.34,5.7,51.17,100.46,148.3,25.9,124.58,79.38,0,44.5,2.3,0,80.77,0,10.95,0,0,30.06,38.36,0,0,0,35.34,0,0,0,45.53,0,0,22.02,97.23,130.79,0,0

4,00:45-01:00,13.04,20.8,670.67,10.43,418.77,0,0,28.13,0,0,0,6.27,0,27.68,52.36,20,7.19,0,0,5.42,0,0,138.33,0,0,0.98,0,31.29,21.94,0,48.81,35.03,548.92,59.5,8.63,0,0,69.23,150.34,5.7,51.17,100.46,148.3,25.9,124.58,79.38,0,44.5,2.3,0,80.77,0,10.95,0,0,30.06,38.36,0,0,0,35.34,0,0,0,45.53,0,0,22.02,97.23,130.79,0,0

5,01:00-01:15,13.04,20.8,670.67,10.43,418.77,0,0,28.13,0,0,0,6.27,0,27.68,52.36,20,7.19,0,0,5.42,0,0,138.33,0,0,0.98,0,31.29,21.94,0,48.81,35.03,548.92,59.5,8.63,0,0,69.23,150.34,5.7,51.17,100.46,148.3,25.9,124.58,79.38,0,45,2.3,0,80.77,0,10.95,0,0,30.06,38.36,0,0,0,35.34,0,0,0,45.53,0,0,22.02,97.23,130.79,0,0

