Block,Time,UNCHAHAR1,KISHANGANGA,URI,ANTA_RF,SINGRAULI,NJPC,ANTA_CRF,KOTESHWR,AURY_CRF,UNCHAHAR3,DADRI_LF,DADRT2,CHAMERA3,JHAJJAR,AURY_LF,DULHASTI,RAPPB,CHAMERA2,AURY_RF,RIHAND2,RAMPUR,DHAULIGNGA,ANTA_LF,TEHRI,SINGRAULI_HYDRO,SALAL,RAPPC,TANDA2,AURY_GF,CHAMERA1,DADRI_CRF,RIHAND3,NAPP,URI2,RIHAND1,UNCHAHAR4,DADRI_GF,ANTA_GF,UNCHAHAR2,KOLDAM,BSIUL,SEWA2,TANAKPUR,DADRI_RF,SASAN,PARBATI3,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.690724,5.287146,39.312115,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,660.040194,0.000000,649.444679,0.000000,18.983470,0.000000,15.558745,0.000000,59.700043,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.342784,49.035040,26.143691,93.223877,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,0.000000,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,18.324829,0,0,0,0,0

2,00:15-00:30,10.690724,5.287146,39.312115,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,660.040194,0.000000,649.444679,0.000000,18.983470,0.000000,15.558745,0.000000,59.851752,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.670288,49.035040,26.143691,93.406640,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,0.000000,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,17.785498,0,0,0,0,0

3,00:30-00:45,10.690724,5.287146,32.937178,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,590.651154,0.000000,649.444679,0.000000,18.983470,0.000000,15.558745,0.000000,59.851752,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.670288,49.035040,27.681555,93.406640,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,0.000000,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,17.357604,0,0,0,0,0

4,00:45-01:00,10.690724,5.287146,32.937178,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,519.086416,0.000000,649.444679,0.000000,18.983470,0.000000,15.558745,0.000000,59.851752,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.670288,49.035040,27.681555,93.406640,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,0.000000,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,16.684550,0,0,0,0,0

5,01:00-01:15,10.690724,5.287146,32.937178,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,470.966416,0.000000,649.444679,0.000000,18.983470,0.000000,15.558745,0.000000,59.851752,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.670288,49.035040,27.681555,93.406640,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,5.671038,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,15.622631,0,0,0,0,0

6,01:15-01:30,10.690724,5.287146,32.937178,0.000000,139.153705,0.000000,0.000000,9.985206,0.000000,25.973059,0.000000,461.640760,0.000000,629.628642,0.000000,18.983470,0.000000,15.558745,0.000000,59.851752,0.000000,0.000000,0.000000,0.000000,0.729511,64.302756,40.391620,5.156625,0.000000,0.000000,0.000000,125.670288,49.035040,27.681555,93.406640,0.086616,0.000000,0.000000,41.954962,0.000000,12.551236,18.618700,5.671038,0.000000,332.388900,0.000000,142.244260,20.017920,0.000000,44.654475,14.782473,0,0,0,0,0

