Block,Time,DADRT2,SALAL,RAPPC,DADRI_GF,AURY_LF,AURY_GF,RIHAND3,SEWA2,DADRI_RF,CHAMERA1,RIHAND2,KOLDAM,ANTA_CRF,UNCHAHAR4,AURY_RF,RIHAND1,KOTESHWR,UNCHAHAR2,JHAJJAR,AURY_CRF,DADRI_CRF,TEHRI,TANDA2,CHAMERA3,NAPP,CHAMERA2,NJPC,BSIUL,UNCHAHAR1,KISHANGANGA,DULHASTI,URI,UNCHAHAR3,TANAKPUR,ANTA_RF,SINGRAULI_HYDRO,ANTA_GF,RAPPB,PARBATI3,SINGRAULI,DHAULIGNGA,URI2,DADRI_LF,ANTA_LF,RAMPUR,TALA,BRBCL,KHSTPP-I,FSTPP I & II,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,457.113882,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,2.976597,0.000000,93.493990,10.549796,38.567609,187.429281,0.000000,0.000000,49.508269,5.161459,33.552946,48.448411,46.719885,173.357832,6.281487,19.781982,8.034549,57.003666,34.031462,24.401966,0.000000,0.000000,1.105720,0.000000,0.000000,4.115306,143.512530,41.938361,36.499938,0.000000,0.000000,5.414963,9.430900,14.449500,31.856011,13.166192,142.857390,336.167618,0,0,0,0,0

2,00:15-00:30,457.113882,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,2.976597,0.000000,93.493990,10.549796,38.035612,187.429281,0.000000,0.000000,49.508269,5.161459,33.552946,48.448411,46.719885,173.357832,6.281487,18.179590,8.034549,57.003666,34.031462,24.019500,0.000000,0.000000,1.105720,0.000000,0.000000,4.115306,143.512530,41.938361,36.499938,0.000000,0.000000,5.414963,9.430900,14.449500,31.865868,13.166192,142.857390,336.167618,0,0,0,0,0

3,00:30-00:45,428.298045,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,2.976597,0.000000,93.493990,10.549796,38.035612,176.747633,0.000000,0.000000,49.508269,5.161459,33.552946,48.448411,46.719885,173.357832,6.281487,18.179590,8.034549,57.003666,34.031462,24.019500,0.000000,0.000000,1.105720,0.000000,0.000000,4.115306,143.512530,41.938361,36.499938,0.000000,0.000000,5.414963,9.345937,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

4,00:45-01:00,377.863287,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,2.976597,0.000000,93.493990,10.549796,38.035612,176.747633,0.000000,0.000000,49.508269,5.161459,33.552946,48.448411,46.719885,173.357832,6.281487,18.179590,8.034549,57.003666,34.031462,24.019500,0.000000,0.000000,1.105720,0.000000,0.000000,4.115306,143.512530,41.938361,36.499938,0.000000,0.000000,5.414963,9.345937,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

5,01:00-01:15,322.705500,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,37.399834,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,17.800917,8.034549,57.003666,34.031462,23.391140,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.345937,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

6,01:15-01:30,274.540500,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,37.399834,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,17.800917,8.034549,57.003666,34.031462,23.391140,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.345937,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

7,01:30-01:45,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,37.399834,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,17.800917,8.034549,57.003666,39.880620,23.391140,0.000000,0.000000,1.105720,0.000000,0.000000,18.812827,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.402579,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

8,01:45-02:00,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,28.724450,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,15.662584,8.034549,57.003666,39.880620,19.445655,0.000000,0.000000,1.105720,0.000000,0.000000,18.812827,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.402579,14.449500,30.990324,13.166192,142.857390,336.167618,0,0,0,0,0

9,02:00-02:15,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,39.880620,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,12.946752,25.576771,10.487640,115.756486,336.167618,0,0,0,0,0

10,02:15-02:30,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,39.880620,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,14.353170,25.576771,10.487640,115.756486,336.167618,0,0,0,0,0

11,02:30-02:45,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,34.031462,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,14.044914,25.576771,10.487640,115.756486,336.167618,0,0,0,0,0

12,02:45-03:00,230.036040,80.593531,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,49.508269,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,34.031462,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,13.332072,25.576771,9.204119,115.756486,336.167618,0,0,0,0,0

13,03:00-03:15,230.036040,73.877404,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,48.587185,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,34.031462,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,14.449500,25.576771,8.188050,115.756486,336.167618,0,0,0,0,0

14,03:15-03:30,230.036040,73.877404,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,48.587185,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,34.031462,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,14.391702,25.576771,8.188050,115.756486,336.167618,0,0,0,0,0

15,03:30-03:45,230.036040,73.877404,65.495617,0.000000,0.000000,0.000000,125.787810,0.000000,0.000000,40.601245,119.815254,9.859446,0.000000,1.647243,0.000000,93.493990,10.549796,23.793510,115.451505,0.000000,0.000000,48.587185,2.844635,33.552946,48.448411,46.719885,173.357832,6.281487,12.041250,8.034549,57.003666,34.031462,14.651793,0.000000,0.000000,1.105720,0.000000,0.000000,16.167273,143.512530,0.000000,36.499938,0.000000,0.000000,5.414963,9.487542,14.430234,25.576771,8.188050,115.756486,336.167618,0,0,0,0,0

