Block,Time,CHAMERA3,UNCHAHAR3,SEWA2,NAPP,KOLDAM,UNCHAHAR1,JHAJJAR,DADRI_CRF,DHAULIGNGA,TANDA2,PARBATI3,RIHAND2,DADRT2,UNCHAHAR2,ANTA_RF,CHAMERA1,DADRI_LF,ANTA_GF,RIHAND3,SINGRAULI,KOTESHWR,AURY_CRF,AURY_GF,BSIUL,KISHANGANGA,TEHRI,RIHAND1,SALAL,RAPPB,TANAKPUR,RAMPUR,RAPPC,DULHASTI,NJPC,DADRI_RF,ANTA_CRF,TALA,BRBCL,KHSTPP-I,KHSTPP-II,SASAN,FSTPP I & II,SINGRAULI_HYDRO,CHAMERA2,UNCHAHAR4,URI2,ANTA_LF,AURY_RF,URI,DADRI_GF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,662.531507,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,19.247984,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,662.531507,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,19.247984,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,662.531507,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,18.429408,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,662.531507,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,17.024102,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,602.821568,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,16.599940,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,602.821568,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,9.985206,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,16.606092,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,555.554254,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,17.591469,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,649.444679,0.000000,0.000000,5.156625,0.000000,59.851752,507.434254,43.218136,0.000000,0.000000,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,17.015027,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

9,02:00-02:15,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,621.255762,0.000000,0.000000,5.156625,0.000000,59.851752,464.992414,43.218136,0.000000,13.521104,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,15.984571,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

10,02:15-02:30,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,621.255762,0.000000,0.000000,5.156625,0.000000,59.851752,407.248414,43.218136,0.000000,13.521104,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,17.465309,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

11,02:30-02:45,0.000000,26.599755,18.093714,47.897631,0.000000,21.779112,621.255762,0.000000,0.000000,5.156625,0.000000,59.851752,370.677214,43.218136,0.000000,13.521104,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,17.595200,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

12,02:45-03:00,0.000000,23.621434,18.093714,47.897631,0.000000,19.184289,569.374062,0.000000,0.000000,5.156625,0.000000,59.851752,366.474798,43.218136,0.000000,13.521104,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,0.000000,93.406640,25.721102,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,16.929810,44.654475,116.002884,403.024248,20.017920,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

13,03:00-03:15,11.162605,23.621434,18.093714,47.897631,0.000000,19.184289,503.015394,0.000000,0.000000,5.156625,0.000000,59.851752,366.089838,38.403706,0.000000,13.521104,0.000000,0.000000,125.670288,144.349365,19.970412,0.000000,0.000000,12.551236,5.287146,13.036500,93.406640,38.581654,0.000000,0.000000,0.000000,66.242257,18.983470,0.000000,0.000000,0.000000,0.000000,19.247984,44.654475,116.002884,403.024248,16.763661,0.729511,0.000000,2.973816,36.465835,0.000000,0.000000,33.999667,0.000000,0.000000,0,0,0,0,0

