Time,Block,NR/2023/12519/D,NR/2023/12517/D,NR/2023/12518/D,NR/2023/10613/A,NR/2023/12539/C,NR/2023/11952/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10611/A,NR/2023/12535/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11643/A,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/10223/A,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11642/A,NR/2023/12531/C,NR/2023/12536/C,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11959/F,NR/2023/12520/C,NR/2023/11960/F,NR/2023/11941/F,NR/2023/11962/F,NR/2023/10229/A,NR/2023/12516/D,Total
,,NVVNL,TS1PL_BKN,TS1PL_BKN,APPCPL,IEXL,KEIPL,SHPPBPL,IEXL,APPCPL,HPXL,BYPL,IEXL,MANIKARAN,SHPPBPL,SHPPBPL,NVVNL,TPTCL,SHPPBPL,APPCPL,APPCPL,STATKRAFT,NVVNL,SHPPBPL,MANIKARAN,TPDDL,HPXL,TPTCL,APPCPL,SHPPBPL,HPXL,SHPPBPL,GBHHPL,SHPPBPL,NVVNL,SHPPBPL,NVVNL,NVVNL,Total

,,NA,NA,NA,NAGALAND,NA,MEGHALAYA,HIMACHAL PRADESH,TELANGANA,ARUNACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,
,,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,Nagaland_Ben,ACBIL,Meghalaya_Ben,SHPPBPL,NAVABHARAT,Arunachal_Ben,Teesta_III,Meghalaya_Ben,JSPL_DCPP,HP,SHPPBPL,SHPPBPL,SEIL,JPL,SHPPBPL,HP,Manipur_Ben,HP,ILFS,SHPPBPL,HP,CHANJUII,JSWEL MSEB,APNRL,HP,SHPPBPL,B_S_ISPAT_MH,SHPPBPL,GBHHPL,SHPPBPL,SKS Raigarh,SHPPBPL,JPNIGRIE_JNSTPP,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BYPL,JHPL-DL,BRPL,BYPL,BRPL,BYPL,BRPL,BRPL,BAL184,UHL,TPDDL,BRPL,AISHER,BRPL,STT,BYPL,BRPL,BAL224,BRPL,TPDDL,BYPL,TPDDL,BYPL,BAL234,NDMC,BMDRC,DIAPL,MAX-HPTL,NDMC,MHIL,BRPL,TPDDL,
,,West-North,North-North,North-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,North East-East-North,East-North,North East-East-North,West-North,North-North,North-North,North-North,South-West-North,West-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North-North,West-North,East-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,North East-East-North,
1,00:00-00:15,0,0,0,12.620000,77.060000,36.350000,0.770000,115.600000,9.920000,367.980000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.850000,77.060000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1510.33

2,00:15-00:30,0,0,0,12.620000,38.530000,36.350000,0.770000,115.600000,9.920000,389.170000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.850000,77.060000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1492.99

3,00:30-00:45,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,386.280000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.850000,48.160000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1422.67

4,00:45-01:00,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,347.750000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.850000,48.160000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1384.14

5,01:00-01:15,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,318.850000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.760000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1306.99

6,01:15-01:30,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,288.030000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.760000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1276.17

