Block,Time Block,DULHASTI,FSTPP I & II,KGSU1AND2,KGSU3AND4,JHAJJAR,UNCHAHAR1,TANDA2,SINGRAULI_HYDRO,SIMHST1,TALST2,SIMHST2,TANAKPUR,UNCHAHAR3,TelanganaSTPP,SINGRAULI,SEWA2,TALA,UNCHAHAR2,TEHRI,KUDGI,KOTESHWR,MAPS,KKNP,KHSTPP-II,KKNPPU2,KOLDAM,KISHANGANGA,CHAMERA1,CHAMERA2,BSIUL,CHAMERA3,BRBCL,KHSTPP-I,RIHAND1,RIHAND2,RAPPC,SALAL,RSTPSU1TO6,RAPPB,RSTPSU7,RIHAND3,SASAN,DHAULIGNGA,DADRT2,RAMPUR,URI,URI2,UNCHAHAR4,NNTPP,PARBATI3,NTPL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,VALLURNTECL,ANTA_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,NJPC,NLCIIST2,NLCIIST1,NLCEXP,NLCTS2EXP,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10,40.98,45.12,0,8.57,0,0,95.55,0,0,0,13.58,19.33,0,18.71,14.5,43,44.45,114.77,49.66,61.77,0,0,0,120.14,331.59,26.56,330.09,0,10.14,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.49,0,0,0,0,39.22,0,0,0,0,0

2,00:15-00:30,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10,40.98,45.12,0,8.57,0,0,95.55,0,0,0,0,19.33,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,331.59,26.56,330.09,0,10.14,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.49,0,0,0,0,39.22,0,0,0,0,0

3,00:30-00:45,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10,40.98,45.12,0,8.57,0,0,95.55,0,0,0,0,19.33,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,331.59,26.56,330.09,0,10.14,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

4,00:45-01:00,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,19.33,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,331.59,26.56,330.09,0,10.14,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

5,01:00-01:15,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10.09,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,21.9,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,342.46,26.56,301.94,0,10.67,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

6,01:15-01:30,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10.09,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,21.9,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,351.16,26.56,293.7,0,10.67,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

7,01:30-01:45,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10.21,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,21.9,0,18.71,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,359.86,26.56,240.58,0,10.67,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

8,01:45-02:00,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,10.09,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,21.9,0,9.35,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,368.56,26.56,208.58,0,10.67,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

9,02:00-02:15,47.77,20.1,0,0,458.17,19.87,0,0,0,0,0,12.56,0,0,119.59,0,9.8,40.98,30.08,0,8.57,0,0,95.55,0,0,0,0,9.65,0,9.35,14.5,43.41,44.45,114.77,49.66,61.77,0,0,0,120.14,378.34,26.56,210.63,0,9.6,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.37,0,0,0,0,39.22,0,0,0,0,0

