Block,Time,KHSTPP-II,KISHANGANGA,KKNP,RAPPC,RIHAND1,SEWA2,VALLURNTECL,DULHASTI,KHSTPP-I,NJPC,NLCIIST2,NNTPP,PARBATI3,RAMPUR,RAPPB,RSTPSU1TO6,UNCHAHAR3,ANTA_GF,AURY_RF,BRBCL,BSIUL,KGSU1AND2,SIMHST2,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,DADRI_LF,DADRT2,JHAJJAR,KGSU3AND4,NLCTS2EXP,URI2,AURY_LF,DADRI_RF,FSTPP I & II,MAPS,NLCIIST1,NTPL,RIHAND2,RIHAND3,RSTPSU7,TALST2,TANDA2,UNCHAHAR4,URI,ANTA_CRF,DADRI_CRF,DADRI_GF,CHAMERA1,CHAMERA3,KOTESHWR,SASAN,TelanganaSTPP,UNCHAHAR2,ANTA_LF,CHAMERA2,DHAULIGNGA,KOLDAM,NAPP,NLCEXP,SINGRAULI,TALA,ANTA_RF,KKNPPU2,KUDGI,SALAL,SIMHST1,AURY_CRF,AURY_GF
1,00:00-00:15,148.3,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,10.89,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,14.3,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,38.64,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

2,00:15-00:30,148.3,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,10.89,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,14.3,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,38.64,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

3,00:30-00:45,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,10.89,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,28.98,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

4,00:45-01:00,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,10.89,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,35.33,0,0,0,42.15,32.08,28.98,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

5,01:00-01:15,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,35.14,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,9.74,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

6,01:15-01:30,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,35.14,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.41,9.74,53.16,18.05,0,685.78,413.81,0,0,36.05,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

7,01:30-01:45,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,35.14,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,685.78,413.81,0,0,20.68,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.16,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

8,01:45-02:00,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,35.14,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,685.78,413.81,0,0,20.68,0,79.48,11.12,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.11,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

9,02:00-02:15,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

10,02:15-02:30,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

11,02:30-02:45,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

12,02:45-03:00,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.17,167.1,0,0,30.92,3.54,0,0,27.05,0,60.89,20.01,13.04,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,83.67,0,0,0

13,03:00-03:15,138.46,2.88,0,60.53,43.21,17.37,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,28.98,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.94,0,0,77.85,0,0,0

14,03:15-03:30,138.46,2.88,0,60.53,43.21,14.8,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,19.32,405,0,35.11,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.7,0,0,77.85,0,0,0

15,03:30-03:45,138.46,2.88,0,60.53,43.21,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,36.05,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,19.32,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.7,0,0,77.85,0,0,0

16,03:45-04:00,138.46,2.88,0,60.53,43.21,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,9.74,53.16,18.05,0,686.07,413.81,0,0,36.05,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,37.53,0,0,0,42.15,32.08,19.32,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.7,0,0,77.85,0,0,0

17,04:00-04:15,138.46,2.88,0,60.53,65.84,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,11.78,53.16,18.05,0,686.07,413.81,0,0,36.05,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,19.32,405,0,35.76,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.7,0,0,77.85,0,0,0

18,04:15-04:30,138.46,2.88,0,60.53,65.84,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,11.78,53.16,18.05,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,19.32,405,0,35.11,0,44.22,40.4,5.35,44.86,0,101.27,10.35,31.7,0,0,77.85,0,0,0

19,04:30-04:45,138.46,2.88,0,60.53,68.93,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,11.78,53.16,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,19.32,405,0,41.92,0,44.22,40.4,5.35,44.86,0,101.27,10.05,31.7,0,0,77.85,0,0,0

20,04:45-05:00,138.46,2.88,0,60.53,68.93,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,61.49,20.01,19.56,0,0,0.39,11.78,53.16,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,39.75,0,0,0,42.15,32.08,19.32,405,0,43.06,0,44.22,40.4,5.35,44.86,0,101.27,10.05,31.58,0,0,77.85,0,0,0

21,05:00-05:15,138.46,2.88,0,60.53,72.01,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,53.16,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,39.75,0,0,0,42.15,32.08,19.32,405,0,43.71,0,44.22,40.4,5.35,44.86,0,101.27,9.76,31.58,0,0,77.85,0,0,0

22,05:15-05:30,138.46,2.88,0,60.53,72.01,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,53.16,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,19.32,405,0,43.71,0,44.22,40.4,5.35,44.86,0,101.27,9.76,31.58,0,0,77.85,0,0,0

23,05:30-05:45,138.46,2.88,0,60.53,75.1,0,0,36.36,32.78,167.1,0,0,7.03,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,30.16,5.35,44.86,0,101.27,9.47,31.58,0,0,77.85,0,0,0

24,05:45-06:00,138.46,2.88,0,60.53,75.1,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,20.68,0,79.48,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,30.16,5.35,44.86,0,101.27,9.47,31.23,0,0,77.85,0,0,0

25,06:00-06:15,138.46,2.88,0,60.53,78.18,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.06,0,44.22,30.16,5.35,44.86,0,101.27,9.17,31.23,0,0,77.85,0,0,0

26,06:15-06:30,138.46,2.88,0,60.53,78.18,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.06,0,44.22,30.16,5.35,44.86,0,101.27,9.17,31.23,0,0,77.85,0,0,0

27,06:30-06:45,138.46,2.88,0,60.53,82.31,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,36.05,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.06,0,44.22,30.16,5.35,44.86,0,101.27,8.88,31.23,0,0,77.85,0,0,0

28,06:45-07:00,138.46,2.88,0,60.53,82.31,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,36.05,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.06,0,44.22,30.16,5.35,44.86,0,101.27,8.88,31.23,0,0,77.85,0,0,0

29,07:00-07:15,138.46,2.88,0,60.53,86.42,0,0,36.36,32.78,167.1,0,0,36.54,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,36.05,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.06,0,44.22,30.16,5.35,44.86,0,101.27,8.88,31.1,0,0,77.85,0,0,0

30,07:15-07:30,138.46,2.88,0,60.53,86.42,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,34.01,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,30.16,5.35,44.86,0,101.27,8.88,30.99,0,0,77.85,0,0,0

31,07:30-07:45,138.46,2.88,0,60.53,90.54,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,20.11,5.35,44.86,0,101.27,8.88,30.99,0,0,77.85,0,0,0

32,07:45-08:00,138.46,2.88,0,60.53,90.54,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,13.04,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,10.05,5.35,44.86,0,101.27,8.88,30.87,0,0,77.85,0,0,0

33,08:00-08:15,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,8.88,30.87,0,0,77.85,0,0,0

34,08:15-08:30,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,20.68,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,34.23,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,8.88,30.87,0,0,77.85,0,0,0

35,08:30-08:45,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,8.88,30.87,0,0,77.85,0,0,0

36,08:45-09:00,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,9.17,30.75,0,0,77.85,0,0,0

37,09:00-09:15,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,38.64,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,9.47,30.75,0,0,65.07,0,0,0

38,09:15-09:30,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,30.92,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,38.64,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,9.76,30.75,0,0,65.07,0,0,0

39,09:30-09:45,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,38.64,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,10.05,30.64,0,0,65.07,0,0,0

40,09:45-10:00,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,11.78,17.72,20.96,0,686.07,413.81,0,0,25.85,0,76.64,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,38.64,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,10.05,30.51,0,0,65.07,0,0,0

41,10:00-10:15,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,25.85,0,73.8,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,10.05,30.4,0,0,65.07,0,0,0

42,10:15-10:30,138.46,2.88,0,60.53,94.65,0,0,36.36,32.78,167.1,0,0,21.08,3.54,0,0,27.05,0,62.1,20.01,6.52,0,0,0.39,12.94,17.72,20.96,0,686.07,413.81,0,0,25.85,0,73.8,9.03,0,0,0,121.71,127.6,0,0,2.89,1.62,46.37,0,0,0,42.15,32.08,9.66,405,0,43.71,0,44.22,0,5.35,44.86,0,101.27,10.05,30.4,0,0,65.07,0,0,0

