Block,Time,NR/23012024/23012024/DD20240123NR22320,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01012024/31012024/52,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01012024/31012024/HP-27,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01012024/31032024/ ChanjuII,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_02,WR/01102023/31032046/L_NR_2020_05,NR/23012024/23012024/DD20240123NR22321,NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01012024/31012024/HP-28,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/23012024/23012024/HPX-TAMCTG-220124-05871,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,WR/01102023/01102023/L_NR_2020_06,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/23012024/23012024/DD20240123NR22324,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HP-26,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/06012024/31012024/NVVN/OA/16855,WR/01102023/24112044/L_NR_2020_07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/31052040/LT-31,NR/23012024/23012024/HPX-TAMCTG-220124-05870,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/23012024/23012024/IEX_240122_06163,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0.000000,56.350000,22.080000,0.000000,32.95,12.4,0,0,57.240000,52.870000,30.760000,1.370000,0,0,0,169.390000,34.01,0.000000,0.000000,6.730000,11.530000,1.380000,0,0,0,24.500000,0.000000,0,32.95,0,0.000000,0,0,11.32,48.060000,65.930000,0,0,0.000000,18.260000,152.330000,8.36,0,0,0.950000,230.690000,48.060000,11.34,5.770000,0.000000,0.000000,8.170000,0.000000,0.690000,0.000000,23.070000

2,00:15-00:30,0.000000,56.350000,22.080000,0.000000,31.62,11.59,0,0,57.240000,52.870000,30.760000,1.370000,0,0,0,169.390000,33.12,0.000000,0.000000,6.730000,11.530000,1.380000,0,0,0,24.500000,0.000000,0,31.62,0,0.000000,0,0,11.05,48.060000,65.930000,0,0,0.000000,18.260000,152.330000,8.22,0,0,0.950000,192.240000,48.060000,11.04,5.770000,0.000000,0.000000,8.170000,0.000000,0.690000,0.000000,23.070000

3,00:30-00:45,0.000000,56.350000,22.080000,0.000000,19.89,10.7,0,0,57.240000,52.870000,22.080000,1.370000,0,0,0,169.390000,31.55,0.000000,0.000000,6.730000,11.530000,1.380000,0,0,0,24.500000,0.000000,0,19.89,0,0.000000,0,0,10.5,48.060000,65.930000,0,0,0.000000,18.260000,152.330000,8.08,0,0,0.950000,148.680000,48.060000,10.52,5.770000,0.000000,0.000000,8.170000,0.000000,0.690000,0.000000,23.070000

4,00:45-01:00,0.000000,56.350000,22.080000,0.000000,18.89,9.6,0,0,57.240000,52.870000,22.080000,1.370000,0,0,0,169.390000,29.75,0.000000,0.000000,6.730000,11.530000,1.380000,0,0,0,24.500000,0.000000,0,18.89,0,0.000000,0,0,9.92,48.060000,65.930000,0,0,0.000000,18.260000,152.330000,7.96,0,0,0.950000,148.680000,48.060000,9.91,5.770000,0.000000,0.000000,8.170000,0.000000,0.690000,0.000000,23.070000

5,01:00-01:15,0.000000,56.350000,22.080000,0.000000,17.52,8.88,0,0,57.240000,52.870000,22.080000,1.370000,0,0,0,169.390000,28.94,0.000000,0.000000,6.730000,11.530000,1.380000,0,0,0,24.500000,0.000000,0,17.52,0,0.000000,0,0,9.65,48.060000,70.070000,0,0,0.000000,18.260000,152.330000,7.56,0,0,0.950000,148.680000,48.060000,9.65,5.770000,0.000000,0.000000,8.170000,0.000000,0.690000,0.000000,23.070000

