Block,Time,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/1000011034-ACBL-BRPL,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/IEPL01,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/01102023/05012040/L_NR_2020_02,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.950000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.270000,13.190000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,41.67,53.5,8.730000,17.83,0,15.34,0,0,0,0,0,41.67,0,0,0,24.21,0,0,0,17.84

2,00:15-00:30,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.950000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.790000,13.190000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,40,52.5,8.730000,17.5,0,15,0,0,0,0,0,40,0,0,0,23.81,0,0,0,17.5

3,00:30-00:45,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.950000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.790000,14.110000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,38.33,53,8.730000,17.67,0,15,0,0,0,0,0,38.33,0,0,0,23.41,0,0,0,17.66

4,00:45-01:00,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.950000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.790000,14.110000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,37.67,51,8.730000,17,0,14.66,0,0,0,0,0,37.67,0,0,0,18,0,0,0,17

5,01:00-01:15,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.630000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.790000,14.020000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,36.67,49,8.550000,16.33,0,14,0,0,0,0,0,36.67,0,0,0,17.8,0,0,0,16.34

6,01:15-01:30,48.300000,24.150000,262.270000,24.690000,24.150000,24.150000,0,0,115.490000,87.130000,100.640000,9.630000,30.910000,24.150000,0.000000,30.910000,16.110000,24.150000,0.000000,0.000000,48.300000,30.790000,14.020000,67.620000,10.370000,38.640000,38.640000,273.140000,0.000000,0.000000,35,46,8.550000,15.33,0,13.34,0,0,0,0,0,35,0,0,0,17.6,0,0,0,15.34

