Block,Time Block,BRBCL,DADRI_CRF,AURY_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,RAPPD,RAMPUR,RAPPC,RIHAND1,RAPPB,TANDA2,RIHAND2,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SEWA2,SINGRAULI,SALAL,RIHAND3,VALLURNTECL,ANTA_CRF,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_LF,ANTA_RF,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,MAPS,KHSTPP-I,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,BSIUL,CHAMERA3,JHAJJAR,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,CHAMERA2,DULHASTI,DADRT2,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.44,0,0,0,0,0,0,0,0,28.9,2.87,66.54,93.66,0,5.32,120.01,334.79,0,0,0.94,6.04,0,0,0,0,18.21,144.76,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,34.09,0,0,0,35.48,18.09,10.05,142.86,0,0,0,2.31,8.31,0,43.86,0,0,0,72.29,24.7,18.84,22.47,432.2,0,0,20.04,0,47.02,57.32,663.35,27.07,0,0,0,0,0

2,00:15-00:30,18.98,0,0,0,0,0,0,0,0,28.9,2.87,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,6.04,0,0,0,0,18.21,144.82,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,34.09,0,0,0,35.48,18.09,10.05,142.86,0,0,0,2.31,8.31,0,43.86,0,0,0,72.29,24.7,18.84,22.47,432.2,0,0,20.04,0,47.02,57.32,663.35,27.07,0,0,0,0,0

3,00:30-00:45,14.74,0,0,0,0,0,0,0,0,28.9,2.87,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,6.04,0,0,0,0,18.21,144.82,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,34.09,0,0,0,18.92,18.09,10.05,142.86,0,0,0,2.31,8.31,0,43.86,0,0,0,72.29,24.7,18.84,22.47,432.2,0,0,20.04,0,47.02,57.32,663.35,27.07,0,0,0,0,0

4,00:45-01:00,12.72,0,0,0,0,0,0,0,0,28.9,2.87,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,6.04,0,0,0,0,18.21,144.82,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,34.09,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,72.29,24.7,18.84,22.47,432.2,0,0,20.04,0,47.02,57.32,663.35,27.07,0,0,0,0,0

5,01:00-01:15,10.98,0,0,0,0,0,0,0,0,28.9,2.87,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0.49,0,0,0,0,18.21,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,34.09,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,72.29,24.7,18.84,22.47,432.2,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

6,01:15-01:30,11.48,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,18.21,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,34.09,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

7,01:30-01:45,10.99,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,18.21,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,34.09,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

8,01:45-02:00,11.04,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,18.21,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,22.26,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

9,02:00-02:15,10.89,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,18.21,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,50.44,22.26,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

10,02:15-02:30,11.01,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,11.37,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,659.28,27.07,0,0,0,0,0

11,02:30-02:45,11.05,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,11.37,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,598.91,27.07,0,0,0,0,0

12,02:45-03:00,11.14,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,11.14,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,416.16,0,0,20.04,0,47.02,57.32,550.75,27.07,0,0,0,0,0

13,03:00-03:15,12.37,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,377.63,0,0,20.04,0,31.34,57.32,502.58,27.07,0,0,0,0,0

14,03:15-03:30,11.9,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,377.63,0,0,20.04,0,31.34,57.32,454.42,27.07,0,0,0,0,0

15,03:30-03:45,13.9,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,18.84,22.47,377.63,0,0,20.04,0,31.34,57.32,400.47,27.07,0,0,0,0,0

