Block,Time Block,KKNPPU2,KGSU3AND4,KHSTPP-II,KOLDAM,KKNP,KHSTPP-I,KISHANGANGA,KGSU1AND2,TALST2,TALA,RAPPB,SALAL,SIMHST2,RAMPUR,RIHAND3,SEWA2,SINGRAULI_HYDRO,RIHAND2,SASAN,RAPPC,RIHAND1,SINGRAULI,RSTPSU1TO6,SIMHST1,RSTPSU7,NTPL,PARBATI3,ANTA_RF,AURY_LF,ANTA_CRF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_LF,AURY_CRF,AURY_RF,ANTA_GF,DADRI_LF,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,JHAJJAR,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,BSIUL,BRBCL,CHAMERA3,CHAMERA1,CHAMERA2,KUDGI,MAPS,KOTESHWR,NLCTS2EXP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NNTPP,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,15.33,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

2,00:15-00:30,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,15.44,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

3,00:30-00:45,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,15.17,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

4,00:45-01:00,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,14.24,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

5,01:00-01:15,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,14.01,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

6,01:15-01:30,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,15.19,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

7,01:30-01:45,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,14.37,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

8,01:45-02:00,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,13.98,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

9,02:00-02:15,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0.53,0,13.11,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

10,02:15-02:30,0,0,122.86,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0.53,0,14.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

11,02:30-02:45,0,0,105.88,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0,0,15.7,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

12,02:45-03:00,0,0,105.88,0,0,25.17,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0,0,15.63,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

13,03:00-03:15,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0.53,0,16.46,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

14,03:15-03:30,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,13.02,8.79,0,0,0,4.14,22.04,6.29,0,34.24,0.53,0,18.1,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

15,03:30-03:45,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,16.92,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

16,03:45-04:00,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,26.04,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,16.1,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

17,04:00-04:15,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,15.84,263.51,229.78,39.06,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,16.77,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

18,04:15-04:30,0,0,105.88,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,39.06,8.79,0,0,0,4.14,22.04,0,0,34.24,0.53,0,17.96,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

19,04:30-04:45,0,0,125.56,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,263.51,229.78,39.06,8.79,0,0,0,4.14,21.51,0,0,34.24,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

20,04:45-05:00,0,0,125.56,0,0,24.62,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,330.8,229.78,39.06,8.79,0,0,0,4.14,21.51,0,0,34.24,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

21,05:00-05:15,0,0,125.56,0,0,29.01,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,359.63,229.78,39.06,8.79,0,0,0,4.14,20.94,0,0,31.59,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

22,05:15-05:30,0,0,125.56,0,0,29.01,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,359.63,229.78,39.06,8.79,0,0,0,4.14,20.94,0,0,31.59,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

23,05:30-05:45,0,0,142.55,0,0,34.81,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,359.63,266.71,39.06,8.79,0,0,0,4.14,20.97,0,0,31.59,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,0,0,0,42.09,0,0,0,0,0

24,05:45-06:00,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,15.84,398.08,337.63,39.06,10.98,0,0,0,4.14,22.1,0,0,35.68,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,20.03,0,0,42.09,0,0,0,0,0

25,06:00-06:15,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,19.99,15.84,470.37,415.67,39.06,10.98,0,0,0,4.14,25.38,0,0,40.75,0.53,0,19.22,0,0,0,0,0,17.06,0,0,0,40.05,0,0,42.09,0,0,0,0,0

26,06:15-06:30,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,19.99,15.84,599.24,417.79,50.08,12.63,0,0,0,4.14,25.38,0,0,40.75,0.53,0,19.22,0,13.5,0,0,0,17.06,0,0,0,55.8,0,0,42.09,0,0,0,0,0

27,06:30-06:45,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,19.99,31.68,656.35,417.79,52.08,12.63,0,0,0,4.14,25.38,0,0,40.75,0.53,2.11,19.22,9.3,26.96,5.12,0,0,25.59,0,0,0,80.1,0,0,42.09,0,0,0,0,0

28,06:45-07:00,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.59,0.61,114.15,395.77,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,52.08,12.63,0,0,0,4.14,25.38,0,0,40.75,0.53,12.53,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

29,07:00-07:15,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.59,0.61,114.15,397.33,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,52.08,10.18,0,0,0,4.14,25.38,0,0,40.75,0.53,12.53,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

30,07:15-07:30,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.87,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,52.08,10.18,0,0,0,4.14,25.38,0,0,40.75,3.18,12.53,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

31,07:30-07:45,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.87,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,52.08,10.18,0,0,0,4.14,25.38,0,0,40.75,25.46,12.53,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

32,07:45-08:00,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.87,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,52.08,10.59,0,0,0,4.14,25.38,0,0,40.75,25.46,6.27,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

33,08:00-08:15,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,7.87,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,31.68,656.35,417.79,51.6,10.59,0,0,0,4.14,25.38,0,0,40.75,25.46,6.27,19.22,18.63,40.51,37.98,0,0,37.53,0,0,0,109.23,0,0,42.09,0,0,0,0,0

34,08:15-08:30,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,15.84,656.35,417.79,51.6,10.59,0,0,0,4.14,25.38,0,0,40.75,3.18,1.06,19.22,1.84,26.96,2.56,0,0,25.59,0,0,0,109.23,0,0,42.09,0,0,0,0,0

35,08:30-08:45,0,0,142.55,0,0,34.83,0,0,0,0,0,1.35,0,0,59.75,0,0.61,114.15,397.4,25.13,88.43,134.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,19.99,0,656.35,417.79,51.6,11.02,0,0,0,4.14,25.38,0,0,40.75,1.07,0,19.22,0,13.5,0,0,0,25.59,0,0,0,80.19,0,0,42.09,0,0,0,0,0

