Column1,Time,GNA/NR/2025/02/01/2143,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/9969,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625
1,00:00-00:15,22.12,271.95,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,13.97,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

2,00:15-00:30,22.12,271.95,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,13.69,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

3,00:30-00:45,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,12.99,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

4,00:45-01:00,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,12.33,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

5,01:00-01:15,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,14.26,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

6,01:15-01:30,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,13.8,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

7,01:30-01:45,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,13.21,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

8,01:45-02:00,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,25.23,0.92,0,26.99,0,0,12.61,0,5,0,15,6,5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

9,02:00-02:15,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,12.01,0,5,0,15,6,5,12,12,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

10,02:15-02:30,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,11.83,0,5,0,15,6,5,12,12,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

11,02:30-02:45,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,12.15,0,5,0,15,6,5,12.34,12.33,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

12,02:45-03:00,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,11.04,0,5,0,15,6,5,12.66,12.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

13,03:00-03:15,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,10.44,0,5.17,0,15.49,6,5.17,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

14,03:15-03:30,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,10.02,0,5.17,0,15.49,6,5.17,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

15,03:30-03:45,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,9.7,0,5.33,0,16.01,6,5.33,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

16,03:45-04:00,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,9.2,0,5.33,0,16.01,6,5.33,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

17,04:00-04:15,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,76.94,1.38,0,0.92,0,26.99,0,0,8.86,0,5.5,0,16.5,6,5.5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

18,04:15-04:30,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,72.14,1.38,0,0.92,0,26.99,0,0,8.92,0,5.5,0,16.5,6,5.5,11.66,11.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

19,04:30-04:45,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,67.33,1.38,0,0.92,0,26.99,0,0,9,0,5.67,0,16.99,6,5.67,12,12,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

20,04:45-05:00,22.12,230.83,0.63,132.73,22.12,75,0,59.47,23.08,1.25,67.33,1.38,0,0.92,0,26.99,0,0,9.1,0,5.83,0,17.51,6,5.83,12.34,12.33,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

21,05:00-05:15,22.12,230.83,0.63,168.01,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,9.7,0,6,0,18,6,6,12.66,12.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

22,05:15-05:30,22.12,230.83,0.63,168.01,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,10.48,0,6,0,18,6,6,13,13,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

23,05:30-05:45,22.12,230.83,0.63,168.01,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,11.1,0,6.17,0,18.49,6,6.17,13.34,13.33,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

24,05:45-06:00,22.12,230.83,0.63,168.01,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,11.25,0,6.33,0,19.01,6,6.33,13.66,13.67,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

25,06:00-06:15,22.12,230.83,0.63,167.06,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,11.31,0,6.5,0,19.5,6,6.5,13.34,13.33,0,70.16,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

26,06:15-06:30,22.12,271.95,0.63,205.53,22.12,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,0,11.33,0,6.67,1.01,19.99,6,6.67,13.66,13.67,0,0,0,0,26.99,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

27,06:30-06:45,23.08,271.95,0.63,260.26,23.08,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,2.93,11.51,0,6.83,1.39,20.51,6,6.83,14.66,14.67,0,0,0,0,25.57,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

28,06:45-07:00,23.08,271.95,0.63,260.26,23.08,75,0,59.47,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,7.66,11.65,1,7.17,3.22,21.49,6,7.17,15.34,15.33,0,0,0,0,25.57,0,0,0,0,0,0,0,0,0,0,8.66,8.66,0

29,07:00-07:15,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,16.11,11.85,3,9.67,7.53,28.99,6,9.67,19,19,0,0,0,0,32,2,0,0,0,2.44,0,10,0,1,5,8.66,8.66,0

30,07:15-07:30,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,28.6,11.99,7,9.33,17.54,28.01,6,9.33,18.34,18.33,0,0,0,0,32,3,0.16,0.1,1,9.38,1,10,0.82,4,5,8.66,8.66,0

31,07:30-07:45,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,25.85,12.37,11,9,25.85,27,5,9,17.66,17.67,0.15,0,0.12,0.15,32,5,1.05,0.19,3,17,2,10,5.23,7,5,8.66,8.66,0

32,07:45-08:00,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,24.85,12.37,18,8.67,24.85,25.99,5,8.67,16.66,16.67,0.62,0,0.48,0.62,32,7,3.21,2.14,7,25.31,3,13,16.03,18,7,8.66,8.66,0

33,08:00-08:15,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,23.56,12.13,23.57,8.33,23.57,25.01,5,8.33,16.34,16.33,1.39,0,1.08,1.39,32,12,7.06,6.73,13,36.05,7,17,35.32,32,8,8.66,8.66,0

34,08:15-08:30,31.74,271.95,0.63,260.26,31.74,75,0,86.75,31.74,1.25,100.2,1.38,0,0.92,0,32,0,23.56,12.41,23.57,8,23.57,24,5,8,16.66,16.67,2.47,0,1.91,2.47,32,18,11.96,13.36,21,48.72,11,23,59.77,49,12,8.66,8.66,0

35,08:30-08:45,28.85,271.95,0.63,260.26,28.85,75,0,86.75,28.85,1.25,100.2,1.38,0,0.92,0,32,0,24,12.49,24,7.67,24,22.99,5,7.67,16.66,16.67,3.88,0,2.99,3.88,32,23,17.15,22.57,25,62.03,13,30,85.73,60,15,8.66,8.66,0

36,08:45-09:00,28.85,271.95,0.63,260.26,28.85,75,0,86.75,28.85,1.25,100.2,1.38,0,0.92,0,32,0,24.34,12.65,24.33,7.33,24.33,22.01,5,7.33,16.34,16.33,6.01,0,4.64,6.01,32,33,21.97,33,33,74.77,20,38,109.82,77,19,8.66,8.66,0

37,09:00-09:15,28.85,271.95,0.63,260.26,28.85,75,0,86.75,28.85,1.25,100.2,1.38,0,0.92,0,32,0,24.34,12.51,24.33,7,24.33,21,5,7,15.66,15.67,7.61,0,5.88,7.61,24.45,45,26.52,44.21,43,86.37,25,49,132.57,102,24,8.66,8.66,0

38,09:15-09:30,28.85,271.95,0.63,260.26,28.85,75,0,86.75,28.85,1.25,100.2,1.38,0,0.92,0,32,0,24.34,12.41,24.33,6.67,24.33,19.99,5,6.67,15,15,9.08,0,7.01,9.08,24.45,52,30.79,52.86,51,97.1,28,56,153.94,119,28,8.66,8.66,0

39,09:30-09:45,23.08,271.95,0.63,260.26,23.08,75,0,86.75,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,24.66,12.41,24.67,6.33,24.67,19.01,6.1,6.33,14,14,10.34,0,7.99,10.34,26.99,58,34.77,61.11,54,107.11,30,60,173.84,126,30,8.66,8.66,0

40,09:45-10:00,23.08,271.95,0.63,260.26,23.08,75,0,86.75,23.08,1.25,100.2,1.38,0,0.92,0,26.99,0,24.66,12.41,24.67,6,24.67,18,6.1,6,13.34,13.33,11.57,2.24,8.94,11.57,26.99,65,38.39,68.97,60,116.12,33,67,191.95,140,33,8.66,8.66,0

41,10:00-10:15,23.08,271.95,0.63,260.26,23.08,75,0,86.75,23.08,1.3,100.2,1.38,0,0.96,0,26.99,0,24.66,12.61,24.67,5,24.67,15,6.1,5,12.66,12.67,12.62,70.16,9.75,12.62,26.99,70,41.66,77.9,69,124.13,37,79,208.27,161,39,8.66,8.66,0

42,10:15-10:30,23.08,271.95,0.63,245.18,23.08,75,0,76.26,23.08,1.3,100.2,1.38,0,0.96,0,26.99,0,24.66,12.81,24.67,5,24.67,15,6.1,5,12,12,12.89,70.16,9.96,12.89,26.99,75,44.61,84.32,73,131.09,39,83,223.04,172,42,8.66,8.66,0

43,10:30-10:45,23.08,271.95,0.63,260.26,23.08,75,0,76.26,23.08,1.3,100.2,1.38,0,0.96,0,26.99,0,24.66,13.41,24.67,5,24.67,15,6.1,5,11.66,11.67,13.57,70.16,10.49,13.57,26.99,84,47.32,89.91,78,137.04,41,87,236.61,182,43,8.66,8.66,0

44,10:45-11:00,23.08,271.95,0.63,260.26,23.08,75,0,76.26,23.08,1.3,100.2,1.38,0,0.96,0,26.99,0,24.66,14.41,24.67,5,24.67,15,6.1,5,11.66,11.67,14.33,70.16,11.08,14.33,26.99,87,48.33,94.76,81,142.34,43,93,241.67,189,47,8.66,8.66,0

45,11:00-11:15,22.12,271.95,0.63,212.17,22.12,75,0,64.08,23.08,1.3,78.87,1.38,0,0.96,0,26.99,0,24.66,15.01,24.67,5,24.67,15,6.1,5,11.66,11.67,14.95,70.16,11.55,14.95,26.99,91,47.16,98.72,84,147.12,44,93,235.77,196,47,8.66,8.66,0

46,11:15-11:30,22.12,271.95,0.63,195.47,22.12,75,0,64.08,23.08,1.3,83.68,1.38,0,0.96,0,26.99,0,25.66,15.21,25.67,5,25.67,15,6.1,5,11.66,11.67,15.43,70.16,11.92,15.43,26.99,92,47.14,100,84,151.56,45,93,235.69,196,47,8.66,8.66,0

47,11:30-11:45,22.12,271.95,0.63,195.47,22.12,75,0,64.08,23.08,1.3,81.75,1.38,0,0.96,0,26.99,0,26,15.61,26,5,26,15,6.1,5,11.66,11.67,15.78,70.16,12.2,15.78,26.99,95,47.22,100,84,155.37,46,93,236.11,196,47,8.66,8.66,0

48,11:45-12:00,22.12,271.95,0.63,195.47,22.12,75,0,64.08,23.08,1.3,81.75,1.38,0,0.96,0,26.99,0,26.16,17.41,26.17,5,26.17,15,6.1,5,11.66,11.67,15.97,70.16,12.34,15.97,26.99,95,47.17,100,84,158.46,47,93,235.86,196,47,8.66,8.66,0

49,12:00-12:15,22.12,230.83,0.63,164.47,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,18.61,26.67,5,26.67,15,6.1,5,11.66,11.67,15.97,70.16,12.34,15.97,26.99,95,47.1,100,84,160.1,47,93,235.52,196,47,8.66,8.66,0

50,12:15-12:30,22.12,192.36,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,18.81,26.67,5,26.67,15,6.1,5,11.66,11.67,15.97,70.16,12.34,15.97,26.99,95,47.18,100,84,161.3,47,93,235.92,196,47,8.66,8.66,0

51,12:30-12:45,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,18.21,26.67,5,26.67,15,6.1,5,11.66,11.67,17.23,70.16,13.31,17.23,26.99,91,47.12,100,84,161.41,47,93,235.57,196,47,8.66,8.66,0

52,12:45-13:00,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,17.61,26.67,5,26.67,15,6.1,5,11.66,11.67,17.23,70.16,13.31,17.23,26.99,91,47.15,100,84,160.63,47,93,235.74,196,47,8.66,8.66,0

53,13:00-13:15,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,18.01,26.67,5,26.67,15,6.1,5,11.66,11.67,17.23,70.16,13.31,17.23,26.99,91,47.17,100,84,158.73,47,93,235.84,196,47,8.66,8.66,0

54,13:15-13:30,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,19.01,26.67,5,26.67,15,6.1,5,11.66,11.67,17.23,70.16,13.31,17.23,26.99,91,47.12,100,84,155.92,46,93,235.58,196,47,8.66,8.66,0

55,13:30-13:45,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,19.81,26.67,5,26.67,15,6.1,5,11.66,11.67,17.23,70.16,13.31,17.23,26.99,91,47.08,100,84,151.07,46,93,235.42,196,47,8.66,8.66,0

56,13:45-14:00,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,0.96,0,26.99,0,26.66,21.21,26.67,5,26.67,15,6.1,5,11.66,11.67,16.52,70.16,12.77,16.52,26.99,91,47.14,100,84,146.5,45,93,235.67,196,47,8.66,8.66,0

57,14:00-14:15,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.47,0,0.96,0,26.99,0,26.66,21.41,26.67,5,26.67,15,6.1,5,11.66,11.67,15.63,70.16,12.08,15.63,26.99,88,45,100,84,141.36,44,93,225,196,47,8.66,8.66,0

58,14:15-14:30,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.47,0,0.96,0,26.99,0,26.66,21.61,26.67,5,26.67,15,6.1,5,11.66,11.67,15.1,70.16,11.66,15.1,26.99,87,45,100,82,135.73,43,93,225,193,47,8.66,8.66,0

59,14:30-14:45,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.47,0,0.96,0,26.99,0,26.66,23.41,26.67,5,26.67,15,6.1,5,11.66,11.67,14.64,70.16,11.32,14.64,26.99,83,45,100,79,129.67,40,92,225,186,46,8.66,8.66,0

60,14:45-15:00,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.47,0,0.96,0,26.99,0,26.66,24.01,26.67,5,26.67,15,6.1,5,11.66,11.67,14.05,70.16,10.86,14.05,26.99,82,45,100,76,122.83,39,87,225,179,43,8.66,8.66,0

61,15:00-15:15,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,1,0,26.99,0,26.84,25.01,26.83,5,26.83,15,6.1,5,11.66,11.67,13.29,70.16,10.27,13.29,26.99,80,44.67,100,73,114.96,38,83,223.33,172,42,8.66,8.66,0

62,15:15-15:30,22.12,149.57,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,1,0,26.99,0,26.84,26.01,26.83,5,26.83,15,6.1,5,11.66,11.67,12.47,70.16,9.64,12.47,26.99,78,42.18,96.98,67,106.16,36,77,210.91,158,38,8.66,8.66,0

63,15:30-15:45,22.12,192.36,0.63,133.69,22.12,75,0,59.47,23.08,1.35,52.9,1.38,0,1,0,26.99,0,26.84,26.01,26.83,5,26.83,15,6.1,5,11.66,11.67,11.53,70.16,8.91,11.53,26.99,71,39.54,90.2,61,96.44,34,70,197.72,144,35,8.66,8.66,0

