Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,SIMHST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.053008,41.778542,657.89409,8.443451,1.00939,51.987209,125.295291,26.273875,1.82184,3.34799,139.136434,1.391564,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,35.723911,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,348.975

2,00:15-00:30,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.053008,41.778542,657.89409,8.443451,1.00939,51.987209,125.295291,26.273875,1.21456,3.34799,139.136434,1.391564,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,35.723911,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,348.975

3,00:30-00:45,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,97.893164,93.324175,1.456306,55.053008,41.778542,657.89409,8.443451,1.00939,51.987209,125.295291,26.273875,1.21456,3.34799,139.136434,1.113252,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,35.723911,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,348.975

4,00:45-01:00,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,97.893164,93.324175,1.456306,55.053008,41.778542,657.89409,8.443451,1.00939,51.987209,125.295291,26.273875,1.21456,3.34799,139.136434,1.113252,119.5917,1.44175,42.14808,6.5538,37.536,2.3058,84.9422,0,0,86.178824,0,0,0,35.723911,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,348.975

5,01:00-01:15,41.864567,688.249014,30.573593,9.57165,34.438056,43.050737,20.755001,0.814833,26.717787,16.588865,89.173935,93.324175,1.456306,55.053008,41.778542,657.89409,8.443451,1.00939,51.987209,125.295291,26.273875,0.60728,3.34799,139.136434,1.012414,119.5917,1.44175,42.14808,13.1076,37.536,1.9215,84.9422,0,0,86.178824,0,0,0,36.840283,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,348.975

