Block,Time,DADRI_RF,ANTA_RF,AURY_GF,UNCHAHAR4,DADRI_GF,NAPP,DHAULIGNGA,CHAMERA3,SINGRAULI_HYDRO,ANTA_LF,CHAMERA2,SEWA2,UNCHAHAR1,RIHAND3,NJPC,KOLDAM,URI2,TANAKPUR,KOTESHWR,DADRI_LF,RIHAND1,RIHAND2,RAMPUR,RAPPC,TEHRI,KISHANGANGA,AURY_CRF,PARBATI3,ANTA_GF,DADRI_CRF,DADRT2,DULHASTI,BSIUL,JHAJJAR,AURY_RF,ANTA_CRF,CHAMERA1,TANDA2,AURY_LF,RAPPB,SINGRAULI,URI,SALAL,UNCHAHAR2,UNCHAHAR3,TALA,FSTPP I & II,BRBCL,SASAN,KHSTPP-I,KUDGI,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.950972,32.521440,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,10.416153,11.158919,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,62.017225,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,6.411370,14.621097,24.369302,25.542978,19.919382,14.799191,19.357951,337.772902,43.001147,56.14,142.780373,0,0,0,0,0

2,00:15-00:30,37.950972,32.521440,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,30.873476,11.158919,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,62.017225,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,6.411370,14.621097,24.369302,25.542978,19.919382,14.799191,18.763317,337.772902,43.476132,54.20,142.780373,0,0,0,0,0

3,00:30-00:45,37.950972,32.521440,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,30.873476,11.158919,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,62.017225,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,47.550991,14.621097,24.369302,25.542978,19.919382,14.799191,17.786219,337.772902,43.476132,51.30,142.780373,0,0,0,0,0

4,00:45-01:00,37.950972,32.521440,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,30.873476,11.158919,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,62.017225,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,47.550991,14.621097,24.369302,25.542978,19.919382,14.799191,17.651231,337.772902,43.476132,49.36,142.780373,0,0,0,0,0

5,01:00-01:15,23.432472,13.163440,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,30.873476,12.683971,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,30.076525,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,8.548493,24.743396,24.369302,25.542978,19.919382,14.799191,16.607345,337.772902,43.476132,48.40,142.780373,0,0,0,0,0

6,01:15-01:30,23.432472,9.679000,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,10.416153,12.683971,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,19.025720,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,8.548493,38.802143,24.369302,25.542978,19.919382,14.799191,16.178975,337.772902,43.476132,46.46,142.780373,0,0,0,0,0

7,01:30-01:45,23.432472,9.679000,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,5.208076,12.683971,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,19.025720,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,8.548493,76.828243,24.369302,25.542978,19.919382,14.799191,16.515336,337.772902,43.476132,44.52,142.780373,0,0,0,0,0

8,01:45-02:00,23.432472,9.679000,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,5.208076,12.683971,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,19.025720,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,10.685616,76.828243,24.369302,25.542978,19.919382,14.799191,15.881356,337.772902,43.476132,44.52,142.780373,0,0,0,0,0

9,02:00-02:15,23.432472,9.679000,0.000000,0.000000,0.000000,38.764395,8.822312,0.000000,0.759153,0.000000,0.000000,0.000000,19.343482,119.695958,38.497255,0.000000,5.208076,11.406895,0.000000,0.000000,89.046800,56.709261,0.000000,24.933782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,661.207878,47.849643,0.000000,632.183982,19.025720,0.000000,0.000000,0.000000,0.000000,0.000000,99.814688,10.685616,76.828243,24.369302,25.542978,19.919382,14.799191,18.196328,337.772902,43.476132,42.59,142.780373,0,0,0,0,0

