Column1,Block,NR/2024/24071/A/45388,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2024/24097/A/45379,NR/2024/24088/A/45381,NR/2024/24269/C,NR/2024/24270/C,WR/2024/25054/A/45582,NR/2024/24060/A/45601,NR/2024/24271/C,NR/2024/24052/A/45389,NR/2024/24051/A/45390,NR/2024/24146/A/45375,NR/2024/23952/A/45372,Total
,,IEXL,PTC,NDMC,NDMC,APPCPL,MANIKARAN,NDMC,DELHI,KSEB,NDMC,PTC,NDMC,BAWANA_GAS,PUNJAB,IEXL,IEXL,SJVNL,SJVNL,APPCPL,NVVNL,SJVNL,IEXL,IEXL,IEXL,ITCLH,
,,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,NA,KARNATAKA_STATE,DELHI_UT,NA,NA,TELANGANA_State,TELANGANA_State,MP_State,ANDHRA_PRADESH_STATE,
,,TESPL_BKN2,BRPL,RKM_POWER,JPL2,BYPL,BRPL,RKM_POWER,CHANJUII,BYPL,TRN_ENERGY,BYPL,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,NSLSUGARALAND,NSLSTUNGBHDRA,TPSL_BKN2,RENUKASUGARSATHANI,BRPL,JITPL,RSRPL_BKN,NSLKSLWPRTY,NSLKSLWPRTY,NSPLN_MP,ITCWIND,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,HP,NDMC,NDMC,AEML,AEML,NDMC,TPDDL,KSEB,NDMC,HP,NDMC,HARYANA,PUNJAB,MES_Delhi,MES_Delhi,NDMC,NDMC,GOA_Beneficiary,NDMC,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,ITCLH,
,,North-North,North-North,West-North,West-North,North-West,North-West,West-North,North-North,North-West-South,West-North,North-North,West-North,North-North,North-North,South-West-North,South-West-North,North-North,South-West-North,North-West,East-North,North-North,South-West-North,South-West-North,West-North,South-West-North,
1,00:00-00:15,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,334.03999999999996

2,00:15-00:30,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,334.03999999999996

3,00:30-00:45,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,334.03999999999996

4,00:45-01:00,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,334.03999999999996

5,01:00-01:15,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

6,01:15-01:30,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

7,01:30-01:45,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

8,01:45-02:00,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

9,02:00-02:15,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

10,02:15-02:30,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

11,02:30-02:45,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

12,02:45-03:00,0,95.13,25.97,25.97,0,0,25.97,1.92,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.38,333.98999999999995

13,03:00-03:15,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.34,333.86999999999995

14,03:15-03:30,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.34,333.86999999999995

15,03:30-03:45,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.34,333.86999999999995

16,03:45-04:00,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.34,333.86999999999995

17,04:00-04:15,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,333.96

18,04:15-04:30,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,333.96

19,04:30-04:45,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,333.96

20,04:45-05:00,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,0,17.31,0,2.89,0,5.77,0.43,333.96

21,05:00-05:15,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,4.81,0,0,0,17.31,0,2.89,0,5.77,0.43,337.81

22,05:15-05:30,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,4.81,0,0,0,17.31,0,2.89,0,5.77,0.43,337.81

23,05:30-05:45,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,347.44

24,05:45-06:00,0,95.13,25.97,25.97,0,0,25.97,1.84,75,8.66,31.71,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,347.44

25,06:00-06:15,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,220.6

26,06:15-06:30,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,220.6

27,06:30-06:45,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,220.6

28,06:45-07:00,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.43,220.6

29,07:00-07:15,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.53,220.7

30,07:15-07:30,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.53,220.7

31,07:30-07:45,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.53,220.7

32,07:45-08:00,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.53,220.7

33,08:00-08:15,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.82,220.98999999999998

34,08:15-08:30,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,14.43,4.81,0,0,0,17.31,0,2.89,2.89,5.77,0.82,220.98999999999998

