Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/8036,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/1906,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/WR/2025/03/01/6406,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0,82.5,0,0,27.5,0,0,0,0,0,0,0,0,0,0,23.04,1.23,85.71,29.77,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,32.94,0,0,42,28.67,27.5,76.67,7,76.66

2,00:15-00:30,0,81,0,0,27,0,0,0,0,0,0,0,0,0,0,23.04,1.23,85.71,29.77,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,32.94,0,0,42,28.67,27,76.67,7,76.66

3,00:30-00:45,0,81,0,0,27,0,0,0,0,0,0,0,0,0,0,23.04,1.23,85.71,30.28,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,32.94,0,0,42,28.67,27,76.67,7,76.66

4,00:45-01:00,0,80.51,0,0,26.83,0,0,0,0,0,0,0,0,0,0,23.04,1.23,85.71,30.79,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,32.94,0,0,42,28.67,26.83,76.67,7,76.66

5,01:00-01:15,0,79.99,0,0,26.67,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,31.29,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,32.94,0,0,42,28.67,26.67,76.67,7,76.66

6,01:15-01:30,0,80.51,0,0,26.83,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,31.29,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,29,26.83,77,7,77

7,01:30-01:45,0,81.49,0,0,27.17,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,31.29,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,28.67,27.17,77.33,7,77.34

8,01:45-02:00,0,81.49,0,0,27.17,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,31.29,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,1.35,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,28.67,27.17,78.33,7,78.34

9,02:00-02:15,0,79.5,0,0,26.5,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,30.79,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,31.67,26.5,79.33,7,79.34

10,02:15-02:30,0,81,0,0,27,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,30.28,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,31.67,27,80,7,80

11,02:30-02:45,0,82.5,0,0,27.5,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,29.77,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,28.67,27.5,80.67,7,80.66

12,02:45-03:00,0,83.51,0,0,27.83,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,29.77,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,28.67,27.83,81.67,7,81.66

13,03:00-03:15,0,84,0,0,28,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,29.77,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,23.67,28,81.33,7,81.34

14,03:15-03:30,0,84,0,0,28,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,29.77,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,23.67,28,79.67,7,79.66

15,03:30-03:45,0,94.99,0,0,31.67,0,0,0,0,0,0,0,0,0,0,23.04,1.15,85.71,29.77,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,1.31,0,0,259.78,133.56,1.25,0,23.04,100.01,0,35.01,0,0,42,23.67,31.67,79.67,7,79.66

