Block,Time,DHAULIGNGA,RAMPUR,CHAMERA3,KISHANGANGA,NJPC,NAPP,CHAMERA2,JHAJJAR,PARBATI3,KOTESHWR,DULHASTI,DADRT2,KOLDAM,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,RIHAND1,URI2,UNCHAHAR2,RAPPC,UNCHAHAR1,SINGRAULI_HYDRO,RAPPB,BSIUL,CHAMERA1,TANAKPUR,SALAL,URI,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SOLAPUR,GADARWARA-I,KSTPS I&II,SIPAT II,KHARGONE-I,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,SASAN,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas
1,00:00-00:15,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.563608,53.905351,689.353782,1.063965,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,5.8926,48.804,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.18,3.78,0.42,0.88,0.22,2,2.18,0.91,0,1.85,7.82,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

2,00:15-00:30,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.563608,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,5.8926,48.804,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.42,3.78,0.42,0.88,0.22,2,2.18,0.91,0,1.85,7.82,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

3,00:30-00:45,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.563608,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,5.8926,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.22,2,2.18,0.91,0,1.85,7.82,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

4,00:45-01:00,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.563608,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,5.8926,83.664,52.992,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.22,2,2.18,0.91,0,1.85,7.82,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

5,01:00-01:15,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.5372,83.664,52.992,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.2,2,2.18,0.91,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

6,01:15-01:30,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.5372,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.2,2,2.18,0.91,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

7,01:30-01:45,0,0.395741,21.118518,2.551476,20.475526,45.56718,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.6653,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.19,2,2.18,0.91,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

8,01:45-02:00,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,17.425726,53.905351,689.353782,0,126.520838,33.4902,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.6653,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.57,3.78,0.42,0.88,0.19,2,2.18,0.95,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

9,02:00-02:15,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,8.712864,53.905351,689.353782,0,126.520838,22.468108,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.6653,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,3.01,3.78,0.42,0.88,0.2,2,2.18,0.95,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021961

10,02:15-02:30,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,8.712864,53.905351,689.353782,0,126.520838,0,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.6653,83.664,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.54,3.78,0.42,0.88,0.2,2,2.18,0.99,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021961

11,02:30-02:45,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,8.712864,53.905351,689.353782,0,126.520838,0,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.5372,61.586,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.03,3.78,0.42,0.88,0.2,2,2.18,0.99,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021961

12,02:45-03:00,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,8.712864,53.905351,689.353782,0,126.520838,0,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.5372,61.586,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.03,3.78,0.42,0.88,0.2,2,2.18,1.04,0,1.85,7,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.021961

13,03:00-03:15,0,0,21.118518,2.551476,0,45.56718,43.635161,661.459879,0,8.712864,35.813791,689.353782,0,126.520838,0,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,0,42.14808,1.5372,61.586,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.03,3.78,0.42,0.88,0.2,2,2.18,1.04,0,1.85,7.61,1.94,0,9.33,0.25,1.73,0.81,0,20.73185,15.386,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.794499,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.14583,276.75,0,0,0.00254,0,0.017939,0,0,0.001846,0.022146

