Column1,Block,GNA/NR/2025/02/01/2594,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/6460,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/16/1676,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/25070/A/54542,GNA/NR/2025/02/01/5886,WR/2025/26047/A/54511,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/9969,NR/2025/25267/A/54476,NR/2025/24992/A/54260,NR/2025/25340/C,NR/2025/25265/A/54468,NR/2024/24418/A/54257,NR/2025/25341/C,NR/2025/24882/A/54261,NR/2025/25266/A/54461,GNA/NR/2025/02/01/2143,NR/30092023/26122029/SH-06,Total
,,NDMC,MANIKARAN,APPCPL,APPCPL,PTC,APPCPL,NDMC,PTC,DELHI,BAWANA_GAS,NVVNL,NDMC,APPCPL,TPTCL,NDMC,OIDLWM3_AEROCITY,IEXL,SJVNL,OIDLWM2_AEROCITY,ITCLH,SJVNL,IEXL,ABLWM1_AEROCITY,NDMC,PUNJAB,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,NA,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,TELANGANA_State,NA,NA,DELHI_UT,
,,RKM_POWER,BRPL,BYPL,BYPL,BYPL,BYPL,SKS_Raigarh,BRPL,CHANJUII,BAWANA_GAS,JIPL,TRN_ENERGY,BRPL,BYPL,JPL2,TCSPL_BKN2,NSLSUGARALAND,RSRPL_BKN,TCSPL_BKN2,ITCWIND,TPSL_BKN2,NSLKSLWPRTY,TCSPL_BKN2,RKM_POWER,BAWANA_GAS,
,,DELHI_UT,MSEB_State,KERALA_State,MSEB_State,HIMACHAL_STATE,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,AEML,KSEB,AEML,HP,KSEB,NDMC,HP,TPDDL,HARYANA,NDMC,NDMC,GOA_Beneficiary,TPC_MSEB,NDMC,OIDLWM3_AEROCITY,MES_Delhi,NDMC,OIDLWM2_AEROCITY,ITCLH,NDMC,MES_Delhi,ABLWM1_AEROCITY,NDMC,PUNJAB,
,,West-North,North-West,North-West-South,North-West,North-North,North-West-South,West-North,North-North,North-North,North-North,East-North,West-North,North-West,North-West,West-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,North-North,
1,00:00-00:15,23.07,0,75,0,7.93,0,8.65,23.78,1.65,32,1.42,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,32,270.28

2,00:15-00:30,23.07,0,75,0,7.93,0,8.65,23.78,1.65,32,1.99,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,32,270.85

3,00:30-00:45,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,2.55,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,261.39

4,00:45-01:00,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,3.1,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,261.94

5,01:00-01:15,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,3.1,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,261.94

6,01:15-01:30,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,3.65,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,262.49

7,01:30-01:45,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,4.21,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,263.05

8,01:45-02:00,23.07,0,75,0,7.93,0,8.65,23.78,1.65,26.99,4.77,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,263.61

9,02:00-02:15,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,5.33,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,264.09

10,02:15-02:30,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,5.87,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,264.63

11,02:30-02:45,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,6.43,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,265.19

12,02:45-03:00,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,265.76

13,03:00-03:15,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.56,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.32

14,03:15-03:30,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

15,03:30-03:45,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

16,03:45-04:00,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

17,04:00-04:15,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

18,04:15-04:30,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

19,04:30-04:45,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

20,04:45-05:00,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

21,05:00-05:15,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

22,05:15-05:30,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

23,05:30-05:45,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

24,05:45-06:00,23.07,0,75,0,7.93,0,8.65,23.78,1.57,26.99,7.8,8.65,0,0,23.07,0,6.73,0,0,0.38,0,2.88,0,23.07,26.99,266.56

25,06:00-06:15,23.07,0,75,0,0,0,8.65,0,1.47,32,7.8,8.65,0,0,23.07,0,9.61,0,0,0.43,0,4.81,0,23.07,25.87,243.5

26,06:15-06:30,23.07,0,75,0,0,0,8.65,0,1.47,32,7.8,8.65,0,0,23.07,0,9.61,0,0,0.43,0,4.81,0,23.07,12.6,230.23

27,06:30-06:45,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.43,0,4.81,0,36.53,32,305.35

28,06:45-07:00,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.43,0,4.81,0,36.53,31,304.35

29,07:00-07:15,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.48,0,4.81,0,36.53,31,304.40000000000003

30,07:15-07:30,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.48,0,4.81,0,36.53,31,304.40000000000003

31,07:30-07:45,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.48,0,4.81,0,36.53,31,304.40000000000003

32,07:45-08:00,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.48,0,4.81,0,36.53,31,304.40000000000003

33,08:00-08:15,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.87,0,4.81,0,36.53,31,304.7900000000001

34,08:15-08:30,36.53,0,75,0,0,0,13.46,0,1.47,31,7.8,13.46,0,0,43.25,0,9.61,0,0,0.87,0,4.81,0,36.53,31,304.7900000000001

35,08:30-08:45,36.53,0,75,0,0,0,13.46,0,1.19,0,7.8,13.46,0,0,43.25,0,9.61,0,0,0.87,0,4.81,0,36.53,31.61,274.12

36,08:45-09:00,36.53,0,75,0,0,0,13.46,0,1.19,0,7.8,13.46,0,0,43.25,0,9.61,0,0,0.87,0,4.81,0,36.53,31.61,274.12

37,09:00-09:15,36.53,0,75,0,0,0,13.46,0,1.19,12.6,7.8,13.46,0,0,43.25,0,9.61,30.18,0,0.87,8.84,4.81,0,36.53,32,326.13

38,09:15-09:30,36.53,0,75,0,0,0,13.46,0,1.19,12.6,7.8,13.46,0,0,43.25,0.02,9.61,36.24,0.04,0.87,5,4.81,0.06,36.53,32,328.47

39,09:30-09:45,23.07,0,75,0,0,0,8.65,0,1.19,23.41,7.8,8.65,0,0,23.07,0.06,9.61,38.45,0.09,0.87,3.46,4.81,0.12,23.07,32,283.38

40,09:45-10:00,23.07,0,75,0,0,0,8.65,0,1.19,23.41,7.8,8.65,0,0,23.07,0.12,9.61,38.45,0.22,0.87,3.46,4.81,0.32,23.07,32,283.77

41,10:00-10:15,23.07,0,75,0,0,0,8.65,0,1.29,23.41,7.8,8.65,0,0,23.07,0.24,5.77,38.45,0.29,0.87,3.08,3.84,0.48,23.07,32,279.03000000000003

42,10:15-10:30,23.07,0,75,0,0,0,8.65,0,1.29,25.87,7.8,8.65,0,0,23.07,0.37,5.77,38.45,0.77,0.87,4.9,3.84,1.01,23.07,32,284.45000000000005

43,10:30-10:45,23.07,0,75,0,0,0,8.65,0,1.29,25.87,7.8,8.65,0,0,23.07,0.37,5.77,38.45,0.77,0.87,5.09,3.84,1.06,23.07,32,284.69000000000005

44,10:45-11:00,23.07,0,75,0,0,0,8.65,0,1.29,25.87,7.8,8.65,0,0,23.07,0.36,5.77,38.45,0.77,0.87,5,3.84,1.06,23.07,32,284.59000000000003

45,11:00-11:15,23.07,0,75,0,0,0,8.65,0,1.19,25.87,7.8,8.65,0,0,23.07,0.35,5.77,38.45,0.77,0.87,4.9,3.84,1.06,23.07,32,284.38

46,11:15-11:30,23.07,0,75,0,0,0,8.65,0,1.19,25.87,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,4.71,3.84,1.06,23.07,32,284.32000000000005

47,11:30-11:45,23.07,0,75,0,0,0,8.65,0,1.19,25.87,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,5.29,3.84,1.06,23.07,32,284.9

48,11:45-12:00,23.07,0,75,0,0,0,8.65,0,1.19,25.87,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,4.9,3.84,1.06,23.07,32,284.51

49,12:00-12:15,23.07,0,75,0,0,0,8.65,0,1.29,25.87,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,8.46,3.84,1.06,23.07,32,288.1700000000001

50,12:15-12:30,23.07,0,75,0,0,0,8.65,0,1.29,25.87,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,12.11,3.84,1.06,23.07,32,291.82000000000005

51,12:30-12:45,23.07,0,75,0,0,0,8.65,0,1.29,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,1.06,23.07,26.99,290.24000000000007

52,12:45-13:00,23.07,0,75,0,0,0,8.65,0,1.29,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,1.06,23.07,26.99,290.24000000000007

53,13:00-13:15,23.07,0,75,0,0,0,8.65,0,1.19,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,1.06,23.07,26.99,290.14000000000004

54,13:15-13:30,23.07,0,75,0,0,0,8.65,0,1.19,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.67,0.87,14.42,3.84,1.06,23.07,26.99,290.04

55,13:30-13:45,23.07,0,75,0,0,0,8.65,0,1.19,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.67,0.87,14.42,3.84,1.06,23.07,26.99,290.04

56,13:45-14:00,23.07,0,75,0,0,0,8.65,0,1.19,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,1.06,23.07,26.99,290.14000000000004

57,14:00-14:15,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,1.06,23.07,26.99,290.4200000000001

58,14:15-14:30,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,3.84,0.96,23.07,26.99,290.32000000000005

