Column1,Block,NR/2024/21983/A/34821,NR/2024/21970/A/34960,NR/2024/22042/A/34628,NR/2024/21933/A/34823,NR/2024/21911/A/34884,NR/2024/21918/A/34955,NR/2024/22010/A/34953,NR/2024/21954/A/34930,NR/2024/21658/A/34654,NR/2024/21940/A/34931,NR/2024/22014/A/34629,NR/2024/21961/A/34891,NR/2024/22623/A/34671,NR/2024/22279/A/34625,NR/2024/21860/A/34871,NR/2024/21938/A/34896,NR/2024/21956/A/34932,NR/2024/21966/A/34658,NR/2024/21814/A/34963,NR/2024/21968/A/34959,NR/2024/21943/A/34929,NR/2024/22498/A/34940,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/SKS-Raigarh,NR/2024/21974/A/34962,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21971/A/34961,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2024/22890/C,NR/2024/22892/C,NR/2024/22871/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/22889/C,NR/2024/22611/A/34685,NR/2024/22610/A/34686,Total
,,TPTCL,NVVNL,IEXL,TPTCL,AEL,MANIKARAN,MANIKARAN,APPCPL,ITCLH,APPCPL,IEXL,PTC,DIAPL,IEXL,TPDDL,PTC,APPCPL,INSTINCT,NVVNL,NVVNL,APPCPL,MANIKARAN,DELHI,APPCPL,APL_Raigarh_TPP,MANIKARAN,DELHI,NVVNL,INSTINCT,NVVNL,JITPL,TPTCL,DELHI,PUNJAB,NVVNL,NVVNL,TPDDL,TPTCL,BAWANA_GAS,NVVNL,SJVNL,SJVNL,
,,NA,NA,MSEB_State,NA,NA,MSEB_State,GOA_State,Manipur_State,ANDHRA_PRADESH_STATE,UTTARAKHAND_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,NA,HIMACHAL_STATE,KERALA_State,NA,NA,NA,MSEB_State,MP_State,MSEB_State,Arunachal_State,NA,MP_State,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,
,,SIMHAPURI,TRN_ENERGY,A_A_Energy_MH_Bio,ACBIL,APL_Raigarh_TPP,AEML,GOA_Beneficiary,Manipur_Ben,ITCWIND,UTTARAKHAND,NHCPL_HP,HP,GBHHPL,NSLSUGAR,JPL2,HP,KSEB,JPL2,JPNIGRIE_JNSTPP,JPL2,AEML,BLAPOWER_MP,MSEB_Beneficiary,Arunachal_Ben,APL_Raigarh_TPP,BLAPOWER_MP,SKS_Raigarh,RKM_POWER,JPL2,RKM_POWER,JITPL,ACBIL,CHANJUII,BAWANA_GAS,SORANG_HEP,Kameng,JHAJJAR,SIMHAPURI,BAWANA_GAS,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,NDMC,MES_Delhi,BRPL,BRPL,BYPL,BRPL,BRPL,ITCLH,BYPL,MES_Delhi,BRPL,DIAPL,MES_Delhi,TPDDL,BYPL,BYPL,BRPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,NDMC,NDMC,BRPL,TPDDL,PUNJAB,TPDDL,TPDDL,TPDDL,BRPL,HARYANA,MES_Delhi,NDMC,NDMC,
,,South-East-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,North-North,North-North,North-North,North-North,South-East-West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,North-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,24.0835,28.1,164.96,242.22,40.69,24.0835,0,0,0,1490.387

2,00:15-00:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,24.0835,28.1,164.96,242.22,40.69,24.0835,0,0,0,1490.387

