Block,Time,CHAMERA1,DADRI_CRF,UNCHAHAR4,SINGRAULI_HYDRO,TANDA2,CHAMERA2,CHAMERA3,KOLDAM,SEWA2,RAMPUR,RAPPB,BSIUL,DADRI_GF,RIHAND3,TEHRI,KISHANGANGA,UNCHAHAR1,NAPP,UNCHAHAR2,DADRT2,ANTA_CRF,RAPPC,KOTESHWR,DADRI_LF,ANTA_LF,DHAULIGNGA,SINGRAULI,DULHASTI,DADRI_RF,JHAJJAR,UNCHAHAR3,ANTA_GF,TANAKPUR,RIHAND1,NJPC,PARBATI3,AURY_CRF,AURY_LF,ANTA_RF,SALAL,URI2,URI,AURY_RF,AURY_GF,KUDGI,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,RIHAND2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
8,01:45-02:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.570003,37.759781,40.948837,447.652997,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,465.612000,25.492837,0.000000,12.126971,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,82.503162,30.812872,50.123808,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,31.076317,12.553090,114.108750,25.560360,0,0,0,0,0

9,02:00-02:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.570003,37.759781,34.411818,432.196997,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,407.652000,21.915642,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,82.503162,30.812872,50.123808,0.000000,0.000000,49.77,94.996440,330.915375,13.618765,31.076317,13.785718,114.108750,25.560360,0,0,0,0,0

10,02:15-02:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.570003,37.759781,34.411818,401.284997,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,21.915642,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,82.503162,30.812872,45.324720,0.000000,0.000000,49.48,94.996440,330.915375,13.618765,31.076317,12.011065,114.108750,25.560360,0,0,0,0,0

11,02:30-02:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,34.411818,369.012000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,14.094423,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,82.503162,30.812872,45.324720,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,12.521369,114.108750,25.560360,0,0,0,0,0

12,02:45-03:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,34.411818,340.998000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,14.094423,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,82.503162,30.812872,45.324720,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,14.219733,114.108750,25.560360,0,0,0,0,0

13,03:00-03:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,34.411818,340.998000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,14.094423,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,14.490000,114.108750,25.560360,0,0,0,0,0

14,03:15-03:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,34.411818,314.916000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,14.094423,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,14.490000,114.108750,25.560360,0,0,0,0,0

15,03:30-03:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,21.713458,234.675192,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,14.019361,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,50.123808,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,14.490000,114.108750,25.560360,0,0,0,0,0

16,03:45-04:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,7.592760,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.270802,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,50.123808,0.000000,0.000000,49.81,94.996440,330.915375,13.618765,27.046937,14.009106,114.108750,25.560360,0,0,0,0,0

17,04:00-04:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,7.592760,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.889525,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,31.317063,45.324720,0.000000,0.000000,49.81,77.443544,330.915375,6.045808,17.377471,14.489637,114.108750,25.560360,0,0,0,0,0

