Block,Time,SEWA2,DHAULIGNGA,TANAKPUR,KOLDAM,NJPC,UNCHAHAR3,SINGRAULI,ANTA_LF,AURY_GF,TEHRI,DADRI_GF,DADRI_CRF,JHAJJAR,UNCHAHAR1,URI2,CHAMERA3,RIHAND2,RAPPB,SINGRAULI_HYDRO,ANTA_CRF,RAPPC,ANTA_GF,NAPP,UNCHAHAR2,DADRI_RF,AURY_RF,RIHAND1,DADRI_LF,KISHANGANGA,URI,DADRT2,DULHASTI,AURY_LF,CHAMERA2,UNCHAHAR4,BSIUL,RAMPUR,SALAL,CHAMERA1,KOTESHWR,ANTA_RF,RIHAND3,TANDA2,PARBATI3,AURY_CRF,FSTPP I & II,VSTPS II,KGSU1AND2,MOUDA_II,NLCIIST1,KSTPS7,RSTPSU7,GANDHAR-ComGas,TAPS-II,KAWAS-NAPM,VALLURNTECL,BRBCL,NNTPP,KAWAS-APM,GADARWARA-I,RSTPSU1TO6,GANDHAR-NAPM,SIPAT I,KGSU3AND4,KAWAS-ComGas,VSTPS III,KAWAS-RLNG,NLCEXP,TALA,MOUDA,GANDHAR-RLNG,KKNP,SIPAT II,VSTPS IV,KUDGI,KHSTPP-I,MAPS,LARA-I,SIMHST2,NTPL,KAPS,SASAN,KAWAS-zLIQ,GANDHAR-APM,TALST2,KHSTPP-II,VSTPS I,NLCTS2EXP,SOLAPUR,KHARGONE-I,KSTPS I&II,VSTPS V,NLCIIST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,16.603563,0.000000,5.695198,1.028322,39.579192,14.067888,102.668400,0.000000,0.000000,32.573141,0.000000,0.000000,122.907099,3.082555,34.599557,20.411048,116.646885,0.000000,1.039333,0.000000,57.737237,0.000000,44.040680,28.928505,0.000000,0.000000,91.160264,0.000000,2.466002,48.549228,0.000000,34.614029,0.000000,28.030217,0.000000,19.002743,0.764969,34.815263,40.736119,16.841964,0.000000,122.281677,0.000000,0.000000,0.000000,14.135449,1.864989,1.93,3.370763,0.78,1.287995,1.88,0.000000,1.316072,0.000000,0.00,14.497506,0.19,0.000000,0.000000,7.68,0.000000,5.100457,2.11,0.000000,1.881042,0.000000,1.67,0.000000,1.860319,0.000000,1.57,1.795171,2.575988,0.00,29.981893,0.24,4.087237,0.00,3.65,1.066428,337.284338,0.000000,0.000000,0.00,127.041992,2.237146,0.00,1.700152,1.700152,2.598688,1.274256,0.41,0,0,0,0,0

2,00:15-00:30,16.603563,0.000000,5.695198,0.000000,19.789596,14.033644,102.668400,0.000000,0.000000,32.573141,0.000000,0.000000,122.907099,3.082555,34.599557,20.411048,116.646885,0.000000,1.039333,0.000000,57.737237,0.000000,44.040680,28.928505,0.000000,0.000000,91.160264,0.000000,2.466002,48.549228,0.000000,34.614029,0.000000,28.030217,0.000000,19.002743,0.382485,34.815263,40.736119,16.841964,0.000000,122.281677,0.000000,0.000000,0.000000,14.135449,1.864989,1.93,3.370763,0.78,1.287995,1.88,0.000000,1.316072,0.000000,0.00,14.497506,0.19,0.000000,0.000000,7.68,0.000000,5.100457,2.11,0.000000,1.881042,0.000000,1.67,0.000000,1.860319,0.000000,1.57,1.795171,2.575988,0.00,29.981893,0.24,4.087237,0.00,3.65,1.066428,337.284338,0.000000,0.000000,0.00,142.573852,2.237146,0.00,1.700152,1.700152,2.598688,1.274256,0.41,0,0,0,0,0

3,00:30-00:45,16.603563,0.000000,5.695198,0.000000,19.789596,13.053155,102.668400,0.000000,0.000000,32.573141,0.000000,0.000000,122.907099,3.082555,34.599557,20.411048,116.646885,0.000000,1.039333,0.000000,57.737237,0.000000,44.040680,28.928505,0.000000,0.000000,91.160264,0.000000,2.466002,48.549228,0.000000,34.614029,0.000000,28.030217,0.000000,19.002743,0.382485,34.815263,40.736119,16.841964,0.000000,122.281677,0.000000,0.000000,0.000000,14.135449,1.864989,1.93,3.370763,0.78,1.287995,1.88,0.000000,1.316072,0.000000,0.00,13.217983,0.19,0.000000,0.000000,7.68,0.000000,5.100457,2.11,0.000000,1.881042,0.000000,1.67,0.000000,1.860319,0.000000,1.57,1.795171,2.575988,0.00,29.981893,0.24,4.087237,0.00,3.65,1.066428,337.284338,0.000000,0.000000,0.00,142.573852,2.237146,0.00,1.700152,1.700152,2.598688,1.274256,0.41,0,0,0,0,0

4,00:45-01:00,16.603563,0.000000,5.695198,0.000000,19.789596,13.053155,102.668400,0.000000,0.000000,32.573141,0.000000,0.000000,122.907099,3.082555,34.599557,20.411048,116.646885,0.000000,1.039333,0.000000,57.737237,0.000000,44.040680,28.928505,0.000000,0.000000,91.160264,0.000000,2.466002,51.216768,0.000000,34.614029,0.000000,28.030217,0.000000,19.002743,0.382485,34.815263,40.736119,16.841964,0.000000,122.281677,0.000000,0.000000,0.000000,14.135449,1.864989,1.93,3.370763,0.78,1.287995,1.88,0.000000,1.316072,0.000000,0.00,12.092719,0.19,0.000000,0.000000,7.68,0.000000,5.100457,2.11,0.000000,1.881042,0.000000,1.67,0.000000,1.860319,0.000000,1.57,1.795171,2.575988,0.00,29.981893,0.24,4.087237,0.00,3.65,1.066428,337.284338,0.000000,0.000000,0.00,142.573852,2.237146,0.00,1.700152,1.700152,2.598688,1.274256,0.41,0,0,0,0,0

5,01:00-01:15,16.603563,0.000000,5.695198,0.000000,19.789596,13.112250,102.668400,0.000000,0.000000,32.573141,0.000000,0.000000,122.907099,3.082555,34.599557,20.411048,116.646885,0.000000,1.039333,0.000000,57.737237,0.000000,44.040680,28.928505,0.000000,0.000000,91.160264,0.000000,2.466002,51.216768,0.000000,34.614029,0.000000,28.030217,0.000000,19.002743,0.382485,34.815263,40.736119,8.420983,0.000000,122.281677,0.000000,0.000000,0.000000,14.135449,1.864989,1.93,3.370763,0.78,1.287995,1.88,0.000000,1.316072,0.000000,0.00,9.685476,0.19,0.000000,0.000000,7.68,0.000000,5.100457,2.11,0.000000,1.881042,0.000000,1.67,0.000000,1.860319,0.000000,1.57,1.795171,2.575988,0.00,29.981893,0.24,4.087237,0.00,3.65,1.080100,337.284338,0.000000,0.000000,0.00,142.573852,2.237146,0.00,1.700152,1.700152,2.626792,1.274256,0.41,0,0,0,0,0

