Block,Time Block,TALA,SIMHST2,SIMHST1,SINGRAULI,SALAL,SASAN,TALST2,SEWA2,SINGRAULI_HYDRO,TANAKPUR,RSTPSU7,RIHAND3,RAPPB,RAPPC,RIHAND1,RSTPSU1TO6,RIHAND2,KGSU3AND4,NLCTS2EXP,NNTPP,NLCIIST2,JHAJJAR,KGSU1AND2,NJPC,NLCEXP,NLCIIST1,NAPP,DHAULIGNGA,FSTPP I & II,DULHASTI,MAPS,KUDGI,KOTESHWR,BRBCL,CHAMERA1,BSIUL,CHAMERA2,DADRT2,CHAMERA3,KISHANGANGA,KKNPPU2,KOLDAM,KKNP,DADRI_LF,DADRI_GF,DADRI_CRF,AURY_RF,DADRI_RF,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,TEHRI,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,URI2,ANTA_LF,AURY_GF,ANTA_GF,URI,AURY_CRF,NTPL,KHSTPP-I,KHSTPP-II,RAMPUR,PARBATI3,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,100.17,1.35,324.09,0,0,0.6,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,15.05,0,0,0,17.07,19.24,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,28.98,123.72,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,100.17,1.35,324.61,0,0,0.6,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,15.05,0,0,0,17.07,18.57,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,28.98,123.72,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,91.81,1.35,324.61,0,0,0,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,17.15,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,90.96,1.35,324.61,0,0,0,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,13.7,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,90.96,1.35,324.61,0,0,0,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,13.54,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,90.96,1.35,324.61,0,0,0,0,0,58.36,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,13.2,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,90.96,1.35,324.61,0,0,0,0,0,59.68,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,12.86,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,90.96,1.35,324.61,0,0,0,0,0,59.79,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,12.62,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,90.96,1.35,324.61,0,0,0,0,0,59.79,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,12.71,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,90.96,1.35,324.61,0,0,0,0,0,59.79,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,11.89,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,90.96,1.35,324.61,0,0,0,0,0,59.79,0,51.02,88.49,0,114.22,0,0,0,0,229.93,0,0,0,0,42.12,0,11.55,0,0,0,17.07,13.49,0,0,0,265.6,0,0,0,0,0,0,0,0,0,0,5.77,0,14.38,0,23.23,0,0,0,0,0,4.15,0,0,0,1.07,0,0,22.93,95.7,0,0,0,0,0,0,0,0

