Block,Time,L_NR_2012_07,LT-31,L_NR_2023_04,L_NR_2019_11,L_NR_2012_01,L_NR_2012_04,LT-36,SH-07,LT-05,L_NR_2012_02,SH-06,L_NR_2020_02,LT-59,LT-35,L_NR_2022_10,L_NR_2021_16,L_NR_2019_19,L_NR_2021_13,L_NR_2022_08,L_NR_2020_07,L_NR_2019_07,L_NR_2022_09,L_NR_2020_05,L_NR_2018_61,L_NR_2019_06,L_NR_2019_05,L_NR_2021_15,L_NR_2020_06,L_NR_2021_14,L_NR_2021_17,L_NR_2021_12
1,00:00-00:15,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,41.52,0,0,0,9.27,8.7,0,41.52,26.08,43.41,0,0,0,8.69,0,0,0

2,00:15-00:30,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,40.22,0,0,0,9.39,15.09,0,40.22,45.22,43.4,0,0,0,15.07,0,0,0

3,00:30-00:45,74.030000,0.000000,30.890000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,39.73,0,0,0,9.55,15.19,0,39.73,45.57,43.47,0,0,0,15.19,0,0,0

4,00:45-01:00,74.030000,0.000000,31.860000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,40.65,0,0,0,9.7,14.73,0,40.65,44.16,43.45,0,0,0,14.72,0,0,0

5,01:00-01:15,74.030000,0.000000,31.860000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,40.36,0,0,0,9.74,14.68,0,40.36,44.04,43.46,0,0,0,14.68,0,0,0

6,01:15-01:30,74.030000,0.000000,30.890000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,39.65,0,0,0,9.84,14.66,0,39.65,43.96,43.4,0,0,0,14.65,0,0,0

7,01:30-01:45,74.030000,0.000000,30.890000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,39.72,0,0,0,10.08,14.84,0,39.72,44.54,43.38,0,0,0,14.85,0,0,0

8,01:45-02:00,74.030000,0.000000,30.890000,0.000000,101.130000,271.520000,0.000000,30.410000,115.510000,261.240000,30.410000,0.000000,10.330000,0.000000,40.13,0,0,0,10.25,14.91,0,40.13,44.71,43.37,0,0,0,14.9,0,0,0

9,02:00-02:15,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,30.890000,115.510000,261.240000,30.890000,0.000000,10.330000,0.000000,43.32,0,0,0,8.22,14.89,0,43.32,44.69,43.44,0,0,0,14.9,0,0,0

10,02:15-02:30,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,30.890000,115.510000,261.240000,30.890000,0.000000,10.330000,0.000000,42.92,0,0,0,8.28,15,0,42.92,45.03,43.42,0,0,0,15.01,0,0,0

11,02:30-02:45,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,26.070000,115.510000,261.240000,30.890000,0.000000,10.330000,0.000000,42.89,0,0,0,8.47,15.29,0,42.89,45.89,43.4,0,0,0,15.3,0,0,0

12,02:45-03:00,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,26.070000,115.510000,261.240000,30.890000,0.000000,10.330000,0.000000,43.41,0,0,0,8.76,15.36,0,43.41,46.08,43.4,0,0,0,15.36,0,0,0

13,03:00-03:15,74.030000,0.000000,29.930000,0.000000,101.130000,271.520000,0.000000,26.070000,115.510000,261.240000,26.070000,0.000000,10.330000,0.000000,42.26,0,0,0,8.9,14.94,0,42.26,44.79,43.37,0,0,0,14.93,0,0,0

