Time,Block,WR/2023/20914/A/3824,NR/2023/18074/A/3712,WR/2023/20937/A/3835,NR/2024/18285/A/3825,NR/2024/18469/C,NR/2024/18491/C,NR/2024/18481/C,NR/2023/18183/A/3837,NR/2023/18204/A/3719,NR/2024/18472/C,NR/2024/18331/A/3836,NR/2024/18470/C,NR/2024/18471/C,Total
,,APPCPL,ITCLH,MANIKARAN,HPXL,NVVNL,IEXL,PXIL,MANIKARAN,IEXL,SJVNL,MANIKARAN,SJVNL,SJVNL,Total

,,DELHI,ANDHRA PRADESH,DELHI,MP,NA,Gujarat,UTTAR PRADESH,DELHI,ANDHRA PRADESH,UTTAR PRADESH,DELHI,TELANGANA,UTTAR PRADESH,
,,BRPL,ITCWIND,BRPL,MSPIL,SOLAPUR_SOLAR,UNOSUGEN,LAPL-UP,BRPL,SNJSUGARLTDAP,BCMLUH,BRPL,NSLKSLWPRTY,BCMLB001,
,,GOA,DELHI,GOA,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,GOA_Beneficiary,ITCLH,GOA_Beneficiary,NDMC,MES (Delhi),TPDDL,TPDDL,HP,MES (Delhi),NDMC,HP,NDMC,NDMC,
,,North-West,South-West-North,North-West,West-North,West-North,West-East-North,North-North,North-North,South-East-North,North-North,North-North,South-West-North,North-North,
1,00:00-00:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

2,00:15-00:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

3,00:30-00:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

4,00:45-01:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

5,01:00-01:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

6,01:15-01:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

7,01:30-01:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

8,01:45-02:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

9,02:00-02:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

10,02:15-02:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

11,02:30-02:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

12,02:45-03:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

13,03:00-03:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

14,03:15-03:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

15,03:30-03:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

16,03:45-04:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

17,04:00-04:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

18,04:15-04:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

19,04:30-04:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

