Block,Time,DADRT2,KISHANGANGA,MAPS,NJPC,NTPL,RIHAND1,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR3,AURY_CRF,DADRI_CRF,BSIUL,NLCIIST1,RIHAND3,RSTPSU7,SASAN,VALLURNTECL,ANTA_RF,CHAMERA1,FSTPP I & II,KOTESHWR,NAPP,NNTPP,TANAKPUR,CHAMERA2,DULHASTI,KGSU3AND4,KHSTPP-II,NLCIIST2,PARBATI3,RIHAND2,TelanganaSTPP,URI,AURY_RF,DADRI_GF,DADRI_RF,KUDGI,RAMPUR,RAPPC,SEWA2,TALST2,TEHRI,UNCHAHAR2,DADRI_LF,JHAJJAR,KHSTPP-I,KOLDAM,NLCTS2EXP,RAPPB,SALAL,SINGRAULI,TANDA2,UNCHAHAR4,ANTA_CRF,ANTA_GF,ANTA_LF,AURY_LF,BRBCL,KGSU1AND2,KKNP,NLCEXP,RSTPSU1TO6,SIMHST1,TALA,URI2,CHAMERA3,DHAULIGNGA,KKNPPU2,UNCHAHAR1,AURY_GF
1,00:00-00:15,682.819,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,6.92,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,406.43,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.44,36.05,32.08,40.4,0,20.523,0

2,00:15-00:30,682.819,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,6.92,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,406.43,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.49,36.05,32.08,40.4,0,20.523,0

3,00:30-00:45,682.819,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,10.76,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,406.43,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.49,36.05,32.08,40.4,0,20.523,0

4,00:45-01:00,682.819,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,6.92,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,406.43,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.49,36.05,32.08,40.4,0,20.523,0

5,01:00-01:15,686.07,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,6.92,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,413.83,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.49,36.05,32.08,40.4,0,20.523,0

6,01:15-01:30,686.07,4.32,0,167.1,0,94.65,0,0.96,26.391,0,0,19.56,0,127.6,0,382.5,0,0,42.15,14.3,38.64,45.1,0,10.76,44.22,53.79,0,148.3,0,30.92,121.71,0,30.91,77.33,0,79.73,0,3.54,60.09,17.37,0,66.29,42.41,0,413.83,32.17,5.35,0,0,83.67,127.75,2.89,0.006,0,0,0,0,15,0,0,0,0,0,10.49,36.05,32.08,40.4,0,20.523,0

