Block,Time,NR/22122023/22122023/HPX-TAMCTG-211223-05460,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/23072042/L_NR_2012_04,NR/16122023/22122023/HP-20,NR/20122023/29022024/IEX_LDC_231218_00501,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/06022042/L_NR_2012_07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31102037/L_NR_2019_11,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/22122023/22122023/DD20231222NR21878,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/22122023/22122023/SJVN221223NR1308,NR/22122023/22122023/SJVN221223NR1307,NR/01102023/25072045/L_NR_2021_15,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/16122023/22122023/HP-16,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0.000000,11.520000,148.550000,127.710000,8.160000,14.410000,56.300000,96.040000,1.300000,5.760000,1.660000,0.000000,0,0,0,20.5,0,0.000000,6.83,15,0,0,0,0.000000,1.090000,24.930000,0,0,133.760000,23.050000,6.84,0,0,0,0,6.66,15,0,48.020000,195.180000,48.02,25.580000,67.230000,0.000000,14.89,0.000000

2,00:15-00:30,0.000000,11.520000,148.550000,127.710000,8.160000,14.410000,56.300000,96.040000,1.300000,5.760000,1.660000,0.000000,0,0,0,20.5,0,0.000000,6.83,15,0,0,0,0.000000,1.090000,25.370000,0,0,133.760000,23.050000,6.84,0,0,0,0,6.66,15,0,48.020000,196.140000,48.02,25.920000,67.230000,0.000000,14.68,0.000000

3,00:30-00:45,0.000000,11.520000,148.550000,127.710000,8.160000,14.410000,56.300000,96.040000,1.300000,5.760000,1.660000,0.000000,0,0,0,20.5,0,0.000000,6.83,15,0,0,0,0.000000,1.090000,25.370000,0,0,133.760000,23.050000,6.84,0,0,0,0,6.66,15,0,48.020000,194.220000,48.02,25.920000,67.230000,0.000000,14.5,0.000000

4,00:45-01:00,0.000000,11.520000,148.550000,127.710000,8.160000,14.410000,56.300000,96.040000,1.300000,5.760000,1.660000,0.000000,0,0,0,20.5,0,0.000000,6.83,15,0,0,0,0.000000,1.090000,25.370000,0,0,133.760000,23.050000,6.84,0,0,0,0,6.66,15,0,48.020000,194.220000,48.02,25.920000,67.230000,0.000000,14.33,0.000000

5,01:00-01:15,0.000000,11.520000,148.550000,127.710000,8.160000,14.410000,56.300000,96.040000,1.220000,5.760000,1.660000,0.000000,0,0,0,20.5,0,0.000000,6.83,15,0,0,0,0.000000,1.090000,25.370000,0,0,133.760000,23.050000,6.84,0,0,0,0,6.66,15,0,48.020000,194.220000,48.02,25.920000,71.450000,0.000000,14.27,0.000000

