Column1,Time,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,NR/01102023/19072037/LT-05,GNA/NR/2025/02/01/5886,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2025/02/01/6460,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/4863,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/7432
1,00:00-00:15,0,0,0,24.83,0,0,74.51,0,0,0,0,0,8.4,61.33,0,0,0,61.34,19.67,24.83,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

2,00:15-00:30,0,0,0,24.67,0,0,73.99,0,0,0,0,0,7.8,61,0,0,0,61,19,24.67,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,230.69,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

3,00:30-00:45,0,0,0,24.5,0,0,73.5,0,0,0,0,0,7.2,60,0,0,0,60,18.67,24.5,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

4,00:45-01:00,0,0,0,24.33,0,0,73.01,0,0,0,0,0,6.6,59.33,0,0,0,59.34,18,24.33,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

5,01:00-01:15,0,0,0,23.83,0,0,71.51,0,0,0,0,0,6.6,56.67,0,0,0,56.66,23.33,23.83,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

6,01:15-01:30,0,0,0,23.17,0,0,69.49,0,0,0,0,0,6.6,53.67,0,0,0,53.66,22.33,23.17,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

7,01:30-01:45,0,0,0,22.33,0,0,67.01,0,0,0,0,0,6.6,56.33,0,0,0,56.34,21,22.33,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,71.13,26.99,0,0,23.07,23.07,0,59.43,23.07,0

8,01:45-02:00,0,0,0,21.5,0,0,64.5,0,0,0,0,0,6.6,53.67,0,0,0,53.66,19.67,21.5,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,75.93,26.99,0,0,23.07,23.07,0,59.43,23.07,0

9,02:00-02:15,0,0,0,20.33,0,0,61.01,0,0,0,0,0,6.6,51.33,0,0,0,51.34,16,20.33,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0,1.29,23.78,8.65,0,0,271.78,136.49,75.93,26.99,0,0,23.07,23.07,0,59.43,23.07,0

10,02:15-02:30,0,0,0,19.33,0,0,58.01,0,0,0,0,0,6.6,49.33,0,0,0,49.34,15,19.33,0,1.2,26.75,26.99,7.93,70.12,8.65,0.92,75,0,1.29,23.78,8.65,0,0,271.78,136.49,80.74,26.99,0,0,23.07,23.07,0,59.43,23.07,0

11,02:30-02:45,0,0,0,18.5,0,0,55.5,0,0,0,0,0,6.6,47,0,0,0,47,14.67,18.5,0,1.2,26.24,26.99,7.93,70.12,8.65,0,75,0.62,1.29,23.78,8.65,0,0,230.69,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

12,02:45-03:00,0,0,0,17.83,0,0,53.51,0,0,0,0,0,6.6,45,0,0,0,45,14,17.83,0,1.2,26.24,26.99,7.93,70.12,8.65,0,75,0.62,1.29,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

13,03:00-03:15,0,0,0,17.5,0,0,52.5,0,0,0,0,0,6.6,41.33,0,0,0,41.34,13,17.5,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.19,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

14,03:15-03:30,0,0,0,17.33,0,0,52.01,0,0,0,0,0,6.6,39.33,0,0,0,39.34,12.67,17.33,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.19,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

15,03:30-03:45,0,0,0,17.17,0,0,51.49,0,0,0,0,0,6.6,38,0,0,0,38,12,17.17,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.19,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

16,03:45-04:00,0,0,0,17.17,0,0,51.49,0,0,0,0,0,6.6,36.67,0,0,0,36.66,11.67,17.17,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.19,23.78,8.65,0,0,192.24,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

17,04:00-04:15,0,0,0,17.5,0,0,52.5,0,0,0,0,0,6.6,34.67,0,0,0,34.66,11,17.5,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,230.69,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

18,04:15-04:30,0,0,0,16.67,0,0,49.99,0,0,0,0,0,6.6,33.33,0,0,0,33.34,10.33,16.67,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

19,04:30-04:45,0,0,0,16,0,0,48,0,0,0,0,0,6.6,28.33,0,0,0,28.34,9.67,16,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,52.87,26.99,0,0,23.07,23.07,0,59.43,23.07,0

20,04:45-05:00,0,0,0,15.17,0,0,45.49,0,0,0,0,0,6.6,27.33,0,0,0,27.34,9,15.17,0,1.2,26.24,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,136.49,81.7,26.99,0,0,23.07,23.07,0,59.43,23.07,0

21,05:00-05:15,0,0,0,14.67,0,0,43.99,0,0,0,0,0,6.6,23.33,0,0,0,23.34,9,14.67,0,1.16,26.24,26.99,7.93,70.12,8.65,0.92,75,0,1.29,23.78,8.65,0,0,271.78,169.82,100.14,26.99,0,0,23.07,23.07,0,59.43,23.07,0

22,05:15-05:30,0,0,0,14.17,0,0,42.49,0,0,0,0,0,6.6,22.67,0,0,0,22.66,9,14.17,0,1.16,26.24,26.99,7.93,70.12,8.65,0.92,75,0,1.29,23.78,8.65,0,0,271.78,169.82,100.14,26.99,0,0,23.07,23.07,0,59.43,23.07,0

23,05:30-05:45,0,0,0,13.67,0,0,40.99,0,0,0,0,0,7,22,0,0,0,22,9,13.67,0,1.16,0,26.99,7.93,70.12,8.65,0.92,75,0.62,1.29,23.78,8.65,0,0,271.78,229.64,100.14,26.99,0,0,23.07,23.07,0,64.13,23.07,0

