Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA1,DADRT2,BSIUL,JHAJJAR,CHAMERA3,KGSU1AND2,CHAMERA2,BRBCL,AURY_CRF,URI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,AURY_RF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,ANTA_GF,UNCHAHAR2,TALA,TANAKPUR,TEHRI,TALST2,TANDA2,TelanganaSTPP,SINGRAULI_HYDRO,SIMHST1,SINGRAULI,RAMPUR,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,NTPL,SALAL,SEWA2,PARBATI3,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,KOTESHWR,NLCTS2EXP,NAPP,NLCEXP,NNTPP,NLCIIST1,KUDGI,NJPC,MAPS,NLCIIST2,KHSTPP-II,KGSU3AND4,KKNP,KHSTPP-I,KKNPPU2,KOLDAM,KISHANGANGA,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,17.47,0,0,440.78,6.26,251.14,0,0,0,16.73,0,31.8,0,17.1,0,0,0,0,0,20.02,0,21.84,0,0,34.48,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,193.2,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,17.47,0,0,442.92,6.26,251.14,0,0,0,17.27,0,31.8,0,17.1,0,0,0,0,0,20.02,0,21.84,0,0,34.48,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,194.4,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,17.47,0,0,454.37,6.26,251.21,0,0,0,14.39,0,31.8,0,19.8,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,0,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,200.7,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,17.47,0,0,523.99,6.26,251.21,0,0,0,13,0,31.8,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,0,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,210.3,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,17.47,0,0,512.66,6.26,251.21,0,0,0,12.06,0,27.56,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,5.53,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,230.7,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,17.47,0,0,482.53,6.26,251.21,0,0,0,13,0,27.56,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,5.53,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,66.93,10.11,0,59.67,0,114.01,244.79,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,17.47,0,0,426.6,6.26,251.21,0,0,0,13.62,0,27.56,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,5.53,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,255.59,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,17.47,0,0,417.71,6.26,251.21,0,0,0,12.01,0,27.56,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,5.53,0,0,0,0,0,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,266.39,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,17.47,0,0,413.4,6.26,231.62,0,0,0,12.83,0,27.56,0,19.86,0,0,0,0,0,18.6,0,25.34,0,0,40.1,0,5.53,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,277.19,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,17.47,0,0,407.66,6.26,231.62,0,0,0,12.41,0,27.56,0,12.93,0,0,0,0,0,18.6,0,17.24,0,0,26.91,0,5.53,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,287.99,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.24,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,17.47,0,0,402.78,12.52,231.62,0,0,0,12.26,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,5.53,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,298.79,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,17.47,0,0,396.52,12.52,231.62,0,0,0,14.08,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,302.4,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,17.47,0,0,438.03,12.52,231.62,0,0,0,14.9,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,12.83,10.11,0,59.67,0,114.01,316.8,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,17.47,0,0,442.88,12.52,231.62,0,0,0,14.41,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,12.83,10.11,0,59.67,0,114.01,331.8,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,17.47,0,0,445.61,12.52,231.62,0,0,0,15.71,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,339.46,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,17.47,0,0,447.35,12.52,231.62,0,0,0,17.05,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,344.85,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,17.47,0,0,446.55,12.52,231.62,0,0,0,19.08,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,350.25,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,17.47,0,0,457.09,12.52,231.62,0,0,0,19.2,0,19.08,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,0,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,355.64,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,17.47,0,0,466.69,12.52,231.62,0,0,0,19.2,0,29.67,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,11.49,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,356.4,88.32,8.52,0,20.1,0,0,0,0,0,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,17.47,0,0,514.69,12.52,287.3,0,0,0,19.2,0,29.67,0,13.08,0,0,0,0,0,18.6,0,17.24,0,0,27.5,0,0,11.49,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,25.66,10.11,0,59.67,0,114.01,356.4,88.32,8.52,0,20.1,0,0,0,0,22.45,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,17.47,0,0,651.76,12.52,364.49,0,0,0,19.2,0,29.67,0,20.02,0,0,0,0,0,19.37,0,25.34,0,0,40.69,0,0,22.98,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,14.51,10.11,0,59.67,0,114.01,356.4,88.32,8.52,0,20.1,0,0,0,0,22.45,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,17.47,0,0,655.47,12.52,417.26,0,0,0,19.2,0,29.67,0,20.02,0,0,0,0,0,19.37,0,25.34,0,0,40.69,0,0,34.47,0,0,0,0.72,0,134.1,0,0,0,24.85,0,0,14.51,10.11,0,59.67,0,114.01,356.4,88.32,8.52,0,20.1,0,0,0,0,41.82,0,0,142.37,0,0,43.71,0,0,0,0,0,0,0,0,0,0,0,0

