Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,WR/2025/27369/A/61162,WR/2025/27361/A/61100,WR/2025/27350/A/61046,NR/2025/25795/A/61062,NR/2025/25825/C,NR/2025/25791/A/61067,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/6216,NR/2025/25790/A/61068,NR/2025/25792/A/61066,NR/2025/25794/A/61064,NR/2025/25752/A/60912,GNARE/NR/2024/12/20/3668,Total
,,DELHI,APPCPL,IVPL_Trader,IEXL,IEXL,IEXL,HPXL,MANIKARAN,APPCPL,KEIPL,APPCPL,DIAPL,APPCPL,NDMC,BAWANA_GAS,PUNJAB,IEXL,IEXL,PXIL,IEXL,APPCPL,APPCPL,APPCPL,IEXL,SECI_Trader,
,,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,SIKKIM_STATE,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,SIKKIM_STATE,SIKKIM_STATE,UTTARPRADESH_STATE,SIKKIM_STATE,NA,NA,NA,NA,NA,
,,CHANJUII,BYPL,BYPL,KGEPL_HP,RHPPL_HP,MEYONGCHU_HEP,MSPLTD,BYPL,BYPL,BYPL,TRN_ENERGY,GBHHPL,JIPL,JPL2,BAWANA_GAS,BAWANA_GAS,RCHEP,Kalez_Khola_HEP,LAPL_UP,LLHEP1234,SKS_Raigarh,RKM_POWER,RKM_POWER,TPSL_BKN2,APSEPL_FTG,
,,DELHI_UT,KERALA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,KSEB,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,DIAPL,NDMC,NDMC,HARYANA,PUNJAB,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,NDMC,MES_Delhi,TPDDL,
,,North-North,North-West-South,North-West,North-North,North-North,East-North,West-North,North-West,North-West,North-West,West-North,North-North,East-North,West-North,North-North,North-North,East-North,East-North,North-North,East-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,0,32,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,550.51

2,00:15-00:30,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,0,32,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,550.51

3,00:30-00:45,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,26.11,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,575.12

4,00:45-01:00,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,26.11,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,575.12

5,01:00-01:15,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,26.11,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,575.12

6,01:15-01:30,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,25.97,26.11,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,575.12

7,01:30-01:45,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,37.51,26.11,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,583.01

8,01:45-02:00,6.91,52.5,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,37.51,26.11,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,583.01

9,02:00-02:15,6.81,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,21.86,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,531.1500000000001

10,02:15-02:30,6.81,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,20.78,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,530.07

11,02:30-02:45,6.81,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,19.76,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,529.0500000000001

12,02:45-03:00,6.81,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,18.76,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,528.0500000000001

13,03:00-03:15,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,17.73,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,526.9300000000001

14,03:15-03:30,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,16.79,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,525.9900000000001

15,03:30-03:45,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,15.77,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,524.97

16,03:45-04:00,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,14.75,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,523.95

17,04:00-04:15,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,13.72,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,522.9200000000001

18,04:15-04:30,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,12.72,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,521.9200000000001

19,04:30-04:45,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,518.7900000000001

20,04:45-05:00,6.72,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,518.7900000000001

21,05:00-05:15,6.63,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,518.7

22,05:15-05:30,6.63,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,518.7

23,05:30-05:45,6.63,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,515.54

24,05:45-06:00,6.63,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,515.54

25,06:00-06:15,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,23.63,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,519.08

26,06:15-06:30,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,37.51,23.63,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,519.08

27,06:30-06:45,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,31.74,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0.25,520.4300000000001
