Column1,Block,NR/2024/23640/A/40825,NR/2024/23639/A/40826,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,NR/2024/23648/A/40822,GNA/NR/2024/10/01/3642,NR/2024/23382/A/40948,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23670/C,GNA/NR/2024/10/16/2350,NR/30092023/31122025/SH-07,NR/2024/23384/A/40797,GNA/NR/2024/10/01/8106,NR/2024/23383/A/40782,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,NR/2024/23672/C,Total
,,SJVNL,SJVNL,NDMC,PTC,DIAPL,NDMC,NVVNL,NDMC,DELHI,TPDDL,PTC,BAWANA_GAS,IEXL,NDMC,ITCLH,APPCPL,NDMC,PUNJAB,NVVNL,
,,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,KARNATAKA_STATE,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,NA,
,,TPSL_BKN2,RSRPL_BKN,SKS_Raigarh,BRPL,GBHHPL,RKM_POWER,JITPL,RKM_POWER,CHANJUII,JHAJJAR,BYPL,BAWANA_GAS,NSLSUGAR,TRN_ENERGY,ITCWIND,BYPL,JPL2,BAWANA_GAS,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,NDMC,NDMC,NDMC,HP,DIAPL,NDMC,NDMC,NDMC,TPDDL,TPDDL,HP,HARYANA,MES_Delhi,NDMC,ITCLH,AEML,NDMC,PUNJAB,MES_Delhi,
,,North-North,North-North,West-North,North-North,North-North,West-North,East-North,West-North,North-North,North-North,North-North,North-North,South-West-North,West-North,South-West-North,North-West,West-North,North-North,West-North,
1,00:00-00:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,5.95,6.75,12.42,0.58,192.8,37.24,32,0,705.8

2,00:15-00:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,5.95,6.75,12.42,0.58,192.8,37.24,32,0,705.8

3,00:30-00:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.58,192.8,37.24,18.98,0,705.8100000000001

4,00:45-01:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.58,192.8,37.24,18.98,0,705.8100000000001

5,01:00-01:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.53,192.8,37.24,18.98,0,705.76

6,01:15-01:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.53,192.8,37.24,18.98,0,705.76

7,01:30-01:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.53,192.8,37.24,18.98,0,705.76

8,01:45-02:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,18.98,6.75,12.42,0.53,192.8,37.24,18.98,0,705.76

9,02:00-02:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.11

