Block,Time,BRBCL,CHAMERA1,KGSU3AND4,KHSTPP-II,MAPS,NTPL,PARBATI2,PARBATI3,RIHAND1,RSTPSU1TO6,RSTPSU7,TALA,TALST2,ANTA_CRF,NLCIIST2,SINGRAULI,TEHRIPSP,URI2,ANTA_GF,AURY_CRF,RAMPUR,SIMHST1,SIMHST2,TANDA2,TEHRI,UNCHAHAR1,VALLURNTECL,AURY_RF,CHAMERA3,DULHASTI,KKNP,NJPC,RIHAND2,SASAN,SEWA2,AURY_LF,DADRI_CRF,DADRI_GF,DADRI_RF,KISHANGANGA,NAPP,NLCIIST1,RAPPB,RAPPC,RAPPD,UNCHAHAR2,UNCHAHAR4,CHAMERA2,DADRT2,DHAULIGNGA,KOLDAM,NLCTS2EXP,NNTPP,SALAL,TANAKPUR,UNCHAHAR3,URI,ANTA_RF,DADRI_LF,BSIUL,FSTPP I & II,KOTESHWR,NLCEXP,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_LF,AURY_GF,JHAJJAR,KGSU1AND2,KHSTPP-I,KKNPPU2,KUDGI,RIHAND3
1,00:00-00:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,412.88,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,1.16,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.09,0,19.56,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

2,00:15-00:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,412.88,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,1.16,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.09,0,19.56,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

3,00:30-00:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,1.16,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.09,0,19.56,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

4,00:45-01:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,1.16,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.09,0,19.56,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

5,01:00-01:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.34,0,19.56,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

6,01:15-01:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.34,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

7,01:30-01:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.34,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.34,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

8,01:45-02:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.34,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,6.96,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.34,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

9,02:00-02:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

10,02:15-02:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

11,02:30-02:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

12,02:45-03:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,83.67,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

13,03:00-03:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

14,03:15-03:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

15,03:30-03:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

16,03:45-04:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.49,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

17,04:00-04:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.34,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.85,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

18,04:15-04:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.34,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.85,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

19,04:30-04:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.34,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.85,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

20,04:45-05:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,25.19,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.85,0,13.04,19.11,40.57,0,0,0,0,0,667.25,0,45.53,0,0,130.84

21,05:00-05:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,24.9,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.56,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,52.36,52.85,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

22,05:15-05:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,24.61,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,52.36,52.85,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

23,05:30-05:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,24.31,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,52.36,52.85,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

24,05:45-06:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,24.02,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.85,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

25,06:00-06:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,23.72,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

26,06:15-06:30,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,23.72,0,0,0,113.75,0,37.42,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

27,06:30-06:45,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,23.72,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,30.91,52.59,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

28,06:45-07:00,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,23.72,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,35.64,2.76,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,52.36,52.59,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

29,07:00-07:15,24.99,42.15,0,98.87,0,0,49.26,57.24,48.09,0,0,23.87,0,0,0,113.75,0,23.38,0,0,5.67,0,0,5.73,76.18,21.65,0,81.43,33.94,38.31,0,175.79,125.27,418.77,9.28,0,0,0,106.04,4.64,24.23,0,0,65.42,24.52,39.21,2.97,47.12,689.38,42.46,8.62,0,0,80.76,9.86,27.69,52.36,52.59,0,13.04,19.11,30.43,0,0,0,0,0,667.25,0,45.53,0,0,130.84

