Column1,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/15082024/APL-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/SKS-Raigarh,NR/01102023/19072037/LT-05,GNA/SR/2024/08/13/6665,NR/01082024/31082024/jitpl,NR/01102023/31102037/L_NR_2019_11,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01082024/30092024/LT_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,28.25,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,6.010616125,100.19,258.56,32,0,38.47,0,86.75,0,0,0,32.5,0,10.84,0,0,0,0,30,0,7.01,0,0,0,0,30,0,9.34,10.83,0

2,00:15-00:30,28.25,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,6.010616125,100.19,258.56,32,0,38.47,0,86.75,0,0,0,34.5,0,11.5,0,0,0,0,30.67,0,7.01,0,0,0,0,30.67,0,9.34,11.5,0

3,00:30-00:45,28.25,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,6.010616125,100.19,258.56,32,0,38.47,0,86.75,0,0,0,35.5,0,11.84,0,0,0,0,30.67,0,7.01,0,0,0,0,30.67,0,9.34,11.83,0

4,00:45-01:00,28.25,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,6.010616125,100.19,258.56,32,0,38.47,0,86.75,0,0,0,35.5,0,11.84,0,0,0,0,30.33,0,7.01,0,0,0,0,30.33,0,9.34,11.83,0

5,01:00-01:15,28.76,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,5.9144528,100.19,258.56,32,0,38.47,0,86.75,0,0,0,34.5,0,11.5,0,0,0,0,29.67,0,7.01,0,0,0,0,29.67,0,9.34,11.5,0

6,01:15-01:30,28.76,192.34,17.26,48.08,271.92,12.39,114.92,0,11.93,0,48.08,0,0,0,32,5.9144528,100.19,258.56,32,0,38.47,0,86.75,0,0,0,34.5,0,11.5,0,0,0,0,29,0,7.01,0,0,0,0,29,0,9,11.5,0

7,01:30-01:45,28.76,192.34,17.26,48.08,271.92,12.39,65.94,0,11.93,0,48.08,0,0,4.36,32,5.9144528,100.19,258.56,32,0,38.47,0,86.75,0,0,0,33,0,11,0,0,0,0,29,0,7.01,0,0,0,0,29,0,9,11,0

8,01:45-02:00,28.76,192.34,17.26,48.08,271.92,12.39,65.94,0,11.93,0,48.08,0,0,4.36,32,5.9144528,100.19,258.56,32,0,38.47,0,86.75,0,0,0,33,0,11,0,0,0,0,29,0,7.01,0,0,0,0,29,0,8.66,11,0

9,02:00-02:15,28.76,192.34,16.98,48.08,271.92,12.39,89.49,0,11.93,0,48.08,0,0,3.5,26.8708,5.828289475,100.19,258.56,26.8708,0,38.47,0,67.83,0,0,0,33,0,11,0,0,0,0,29,0,7.01,0,0,0,0,29,0,8.66,11,0

10,02:15-02:30,28.76,192.34,16.98,48.08,271.92,12.39,81.01,0,11.93,0,48.08,0,0,3.5,26.8708,5.828289475,100.19,258.56,26.8708,0,38.47,0,67.83,0,0,0,33,0,11,0,0,0,0,28,0,7.01,0,0,0,0,28,0,8.66,11,0

11,02:30-02:45,28.76,192.34,16.98,48.08,271.92,12.39,72.53,0,11.93,0,48.08,0,0,3.5,26.8708,5.828289475,100.19,210.48,26.8708,0,38.47,0,57.41,0,0,0,33,0,11,0,0,0,0,26.67,0,7.01,0,0,0,0,26.67,0,9,11,0

12,02:45-03:00,28.76,192.34,16.98,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.828289475,100.19,139.45,26.8708,0,38.47,0,57.41,0,0,0,33,0,11,0,0,0,0,26.67,0,7.01,0,0,0,0,26.67,0,9,11,0

13,03:00-03:15,28.76,192.34,16.98,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.73212615,52.89,139.45,26.8708,0,0,0,57.41,0,0,0,32,0,10.66,0,0,0,0,26.67,0,7.01,0,0,0,0,26.67,0,9,10.67,0

14,03:15-03:30,28.76,192.34,16.98,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.73212615,52.89,110.6,26.8708,0,0,0,57.41,0,0,0,30,0,10,0,0,0,0,24.67,0,7.01,0,0,0,0,24.67,0,9,10,0

15,03:30-03:45,28.76,192.34,16.98,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.73212615,52.89,110.6,26.8708,0,0,0,57.41,0,0,0,28.5,0,9.5,0,0,0,0,25.33,0,7.01,0,0,0,0,25.33,0,8.66,9.5,0

16,03:45-04:00,28.76,192.34,16.98,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.73212615,52.89,110.6,26.8708,0,0,0,57.41,0,0,0,29.5,0,9.84,0,0,0,0,25.67,0,7.01,0,0,0,0,25.67,0,8.66,9.83,0

17,04:00-04:15,29.26,192.34,16.8,48.08,271.92,12.39,70.08,0,11.93,0,48.08,0,0,3.5,26.8708,5.645962825,52.89,110.6,26.8708,0,0,0,57.41,0,0,0,29.5,0,9.84,0,0,0,0,24,0,7.01,0,0,0,0,24,0,7.34,9.83,0

