Block,Time,L_NR_2019_19,L_NR_2021_15,LT-05,L_NR_2020_06,LT-59,LT-36,L_NR_2019_11,L_NR_2022_10,SH-06,L_NR_2019_07,L_NR_2021_14,L_NR_2020_05,SH-07,L_NR_2022_09,L_NR_2021_17,L_NR_2012_02,L_NR_2012_07,L_NR_2012_04,L_NR_2021_12,L_NR_2018_61,LT-35,LT_MEJA_Delhi,L_NR_2020_07,L_NR_2021_13,L_NR_2012_01,L_NR_2019_06,L_NR_2023_04,L_NR_2020_02,L_NR_2022_08,L_NR_2021_16,L_NR_2019_05,LT-31
1,00:00-00:15,0,0,116.160000,32.56,8.560000,0.000000,9.620000,63.33,30.970000,0,0,97.68,30.970000,63.33,0,261.860000,87.290000,89.030000,0,26.38,0.000000,3.910000,32.55,0,0.000000,0,0.000000,11.350000,33.71,0,0,0.000000

2,00:15-00:30,0,0,116.160000,32.48,8.560000,0.000000,9.620000,65,30.970000,0,0,97.43,30.970000,65,0,261.860000,87.290000,89.030000,0,26.66,0.000000,3.910000,32.46,0,0.000000,0,0.000000,11.350000,34.37,0,0,0.000000

3,00:30-00:45,0,0,116.160000,32.45,8.560000,0.000000,9.620000,66.51,30.970000,0,0,97.36,30.970000,66.51,0,261.860000,87.290000,89.030000,0,23.08,0.000000,3.910000,32.46,0,0.000000,0,0.000000,11.350000,34.71,0,0,0.000000

4,00:45-01:00,0,0,116.160000,32.43,8.560000,0.000000,9.620000,67.62,30.970000,0,0,97.29,30.970000,67.62,0,261.860000,87.290000,89.030000,0,23.17,0.000000,3.910000,32.43,0,0.000000,0,0.000000,11.350000,35.04,0,0,0.000000

5,01:00-01:15,0,0,116.160000,32.4,8.560000,0.000000,9.620000,68.81,0.000000,0,0,97.21,30.970000,68.81,0,261.860000,87.290000,89.030000,0,23.27,0.000000,3.910000,32.42,0,0.000000,0,0.000000,11.170000,35.16,0,0,0.000000

6,01:15-01:30,0,0,116.160000,32.53,8.560000,0.000000,9.620000,69.72,0.000000,0,0,97.6,30.970000,69.72,0,261.860000,87.290000,89.030000,0,23.44,0.000000,3.910000,32.53,0,0.000000,0,0.000000,11.170000,37.35,0,0,0.000000

7,01:30-01:45,0,0,116.160000,32.51,8.560000,0.000000,9.620000,69.44,0.000000,0,0,97.53,30.970000,69.44,0,261.860000,87.290000,89.030000,0,23.53,0.000000,3.910000,32.51,0,0.000000,0,0.000000,11.170000,37.38,0,0,0.000000

8,01:45-02:00,0,0,116.160000,32.49,8.560000,0.000000,9.620000,69.43,0.000000,0,0,97.46,30.970000,69.43,0,261.860000,87.290000,89.030000,0,23.53,0.000000,3.910000,32.49,0,0.000000,0,0.000000,11.170000,37.39,0,0,0.000000

9,02:00-02:15,0,0,116.160000,32.46,8.180000,0.000000,9.230000,69.43,0.000000,0,0,97.39,30.970000,69.43,0,261.860000,87.290000,89.030000,0,23.69,0.000000,3.910000,32.47,0,0.000000,0,0.000000,10.980000,37.42,0,0,0.000000

10,02:15-02:30,0,0,116.160000,32.44,8.180000,0.000000,9.230000,69.43,0.000000,0,0,97.32,30.970000,69.43,0,261.860000,87.290000,89.030000,0,23.76,0.000000,3.910000,32.44,0,0.000000,0,0.000000,10.980000,37.66,0,0,0.000000

11,02:30-02:45,0,0,116.160000,32.53,8.180000,0.000000,9.230000,69.44,0.000000,0,0,97.58,30.970000,69.44,0,261.860000,87.290000,89.030000,0,23.93,0.000000,3.910000,32.53,0,0.000000,0,0.000000,10.980000,37.78,0,0,0.000000

12,02:45-03:00,0,0,116.160000,32.51,8.180000,0.000000,9.230000,69.43,0.000000,0,0,97.53,30.970000,69.43,0,261.860000,87.290000,89.030000,0,24.02,0.000000,3.910000,32.51,0,0.000000,0,0.000000,10.980000,37.88,0,0,0.000000

13,03:00-03:15,0,0,116.160000,32.47,8.180000,0.000000,9.230000,69.43,0.000000,0,0,97.42,30.970000,69.43,0,261.860000,87.290000,89.030000,0,24.13,0.000000,3.910000,32.48,0,0.000000,0,0.000000,10.700000,37.89,0,0,0.000000

14,03:15-03:30,0,0,116.160000,32.47,8.180000,0.000000,9.230000,69.43,0.000000,0,0,97.4,30.970000,69.43,0,261.860000,87.290000,89.030000,0,24.43,0.000000,3.910000,32.47,0,0.000000,0,0.000000,10.700000,37.91,0,0,0.000000

15,03:30-03:45,0,0,116.160000,35.14,8.180000,0.000000,9.230000,69.42,0.000000,0,0,105.42,30.970000,69.42,0,261.860000,87.290000,101.610000,0,25.45,0.000000,3.910000,35.13,0,0.000000,0,0.000000,10.700000,37.94,0,0,0.000000

16,03:45-04:00,0,0,116.160000,35.14,8.180000,0.000000,9.230000,69.41,0.000000,0,0,105.42,30.970000,69.41,0,261.860000,87.290000,101.610000,0,25.91,0.000000,3.910000,35.13,0,0.000000,0,0.000000,10.700000,37.96,0,0,0.000000

17,04:00-04:15,0,0,116.160000,35.14,7.780000,0.000000,8.850000,69.41,8.710000,0,0,105.41,30.970000,69.41,0,261.860000,87.290000,101.610000,0,26.31,0.000000,3.910000,35.12,0,0.000000,0,0.000000,10.520000,38.27,0,0,0.000000

18,04:15-04:30,0,0,116.160000,35.13,7.780000,0.000000,8.850000,69.41,8.710000,0,0,105.38,30.970000,69.41,0,261.860000,87.290000,101.610000,0,26.97,0.000000,3.910000,35.11,0,0.000000,0,0.000000,10.520000,38.28,0,0,0.000000

