Column1,Block,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/24507/A/48004,GNA/NR/2025/01/01/6775,NER/2024/2820/A/47965,NR/2024/24508/A/48003,NR/2024/24614/A/48002,NR/2024/24435/A/47761,NR/2024/24418/A/47771,NR/2025/24674/C,NR/2024/24566/A/47749,NR/2024/24434/A/47765,NR/2025/24665/C,NR/2025/24666/C,WR/2024/25501/A/47971,NR/2025/24673/C,NR/2025/24672/C,NR/2025/24664/C,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3945,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3925,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514,Total
,,NDMC,DELHI,NVVNL,NDMC,APPCPL,NVVNL,NVVNL,IEXL,ITCLH,SJVNL,IEXL,IEXL,NVVNL,NVVNL,APPCPL,SJVNL,SJVNL,TPDDL,PUNJAB,APPCPL,MANIKARAN,PXIL,IEXL,NDMC,TPTCL,HPXL,BAWANA_GAS,IEXL,IEXL,NDMC,IEXL,HPXL,
,,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,NA,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,TELANGANA_State,NA,NA,NA,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,DELHI_UT,ODISHA_STATE,NA,NA,MP_State,NA,
,,SKS_Raigarh,CHANJUII,JITPL,RKM_POWER,BYPL,TRN_ENERGY,TRN_ENERGY,NSLSUGARALAND,ITCWIND,RENUKASUGARSMUNOLI,NSLKSLWPRTY,TESPL_BKN2,JITPL,TRN_ENERGY,BRPL,TPSL_BKN2,RSRPL_BKN,JHAJJAR,BAWANA_GAS,BYPL,BRPL,JPNIGRIE_JNSTPP,SKS_Raigarh,JPL2,BYPL,JPNIGRIE_JNSTPP,BAWANA_GAS,NBVLIPP,JPNIGRIE_JNSTPP,RKM_POWER,JP_BINA,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,TPDDL,NDMC,NDMC,Manipur_Ben,NDMC,NDMC,MES_Delhi,ITCLH,NDMC,MES_Delhi,MES_Delhi,NDMC,NDMC,GOA_Beneficiary,NDMC,NDMC,TPDDL,PUNJAB,AEML,AEML,BRPL,BRPL,NDMC,TPC_MSEB,BRPL,HARYANA,BRPL,BRPL,NDMC,BRPL,BRPL,
,,West-North,North-North,East-North,West-North,North-East-North East,West-North,West-North,South-West-North,South-West-North,South-West-North,South-West-North,North-North,East-North,West-North,North-West,North-North,North-North,North-North,North-North,North-West,North-West,West-North,West-North,West-North,North-West,West-North,North-North,East-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

2,00:15-00:30,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

3,00:30-00:45,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

