,,MP,NA,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MANIPUR,RAJASTHAN,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,ARUNACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,DELHI,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ODISHA,NA,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NAGALAND,TAMIL NADU,NA,NA,
,,BLAPOWER_MP,SEILP2,JITPL,MPL,SHPPBPL,MEJA,SHPPBPL,SHPPBPL,SEILP2,JITPL,JP BINA,JPL-2,JPL_DHULE,SHPPBPL,MSEB_Beneficiary,SHPPBPL,Manipur_Ben,RUVNL,JPL_DHULE,BAWANA_GAS,SHPPBPL,SHPPBPL,GOA_Beneficiary,Arunachal_Ben,ACBIL,SIMHAPURI,NHCPL_HP,UTTARAKHAND,JPL,A_A_Energy_MH_Bio,BAWANA_GAS,JHAJJAR,MMS STEEL TN,SHPPBPL,APL_Raigarh TPP,TPC MSEB,APL_Raigarh TPP,SORANG_HEP,KSEB,SHPPBPL,HP,RKM_POWER,JPL,GBHHPL,DADRT2,JPL-2,HP-GOVT,GBHHPL,SKS Raigarh,CHANJUII,GMRKEL (STU),KAMENG,ITCWIND,RKM_POWER,JPNIGRIE_JNSTPP,HP,JITPL,AEML,Nagaland_Ben,TANGEDCO,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,TPDDL,MHIL,DELHI,BMDRC,DTCP,BRPL,NDMC,TPDDL,NDMC,BRPL,BAL184,TPDDL,BAL234,BRPL,BYPL,BRPL,PUNJAB,BAL224,MSSH,BRPL,BRPL,BRPL,BRPL,MES (Delhi),BYPL,BRPL,MES (Delhi),HARYANA,TPDDL,BRPL,UHL,BRPL,BYPL,BRPL,TPDDL,BYPL,JHPL-DL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,ITCLH,NDMC,TPDDL,BYPL,BRPL,BYPL,BYPL,BYPL,TPDDL,BYPL,
,,West-North,South-West-North,East-North,East-North,North-North,North-North,North-North,North-North,South-East-North,East-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,East-North,North East-East-North,South-West-North,West-North,West-North,North-North,East-North,West-North,North East-East-North,South-West-North,North-North,North-North,
50,12:15-12:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,2.890000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.17

51,12:30-12:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

52,12:45-13:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

53,13:00-13:15,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

54,13:15-13:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

55,13:30-13:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

56,13:45-14:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,4.410000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1925.1

57,14:00-14:15,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.82

58,14:15-14:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.82

59,14:30-14:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.82

60,14:45-15:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.82

61,15:00-15:15,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.69

62,15:15-15:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.69

63,15:30-15:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.69

64,15:45-16:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.960000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.69

65,16:00-16:15,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.55

66,16:15-16:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.44

67,16:30-16:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.44

68,16:45-17:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.55

69,17:00-17:15,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.55

70,17:15-17:30,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.55

71,17:30-17:45,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,4.820000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1920.55

72,17:45-18:00,18.020000,0.000000,0.000000,0.000000,0.880000,0.000000,0.970000,0.480000,20.480000,10.550000,48.200000,26.290000,61.450000,0.360000,0.000000,0.880000,24.020000,66.690000,0.000000,26.910000,0.520000,0.670000,11.710000,0.000000,20.480000,40.970000,1.930000,84.030000,0.000000,4.820000,26.910000,240.980000,2.890000,0.610000,0.000000,0.000000,163.860000,27.950000,120.490000,1.590000,0.000000,26.290000,81.930000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,81.930000,90.610000,0.000000,64.660000,0,0,1923.44

73,18:00-18:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,120.490000,1.590000,0.000000,26.290000,0.000000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1962.53

74,18:15-18:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,120.490000,1.590000,0.000000,26.290000,0.000000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1962.53

75,18:30-18:45,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1933.61

76,18:45-19:00,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.58

77,19:00-19:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.58

78,19:15-19:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.58

79,19:30-19:45,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.58

80,19:45-20:00,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.820000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.58

81,20:00-20:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.05

82,20:15-20:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.05

83,20:30-20:45,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.05

84,20:45-21:00,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,8.680000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1934.05

85,21:00-21:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1933.08

86,21:15-21:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.330000,0.520000,0.670000,0.000000,0.000000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,91.570000,1.590000,0.000000,26.290000,0.000000,7.710000,134.950000,96.390000,40.970000,20.720000,8.760000,3.130000,20.720000,164.100000,0.870000,26.290000,0.000000,0.000000,0.000000,90.610000,0.000000,64.660000,0,0,1933.08

