,,MP,NA,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MANIPUR,RAJASTHAN,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,ARUNACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,DELHI,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ODISHA,NA,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NAGALAND,TAMIL NADU,NA,NA,
,,BLAPOWER_MP,SEILP2,JITPL,MPL,SHPPBPL,MEJA,SHPPBPL,SHPPBPL,SEILP2,JITPL,JP BINA,JPL-2,JPL_DHULE,SHPPBPL,MSEB_Beneficiary,SHPPBPL,Manipur_Ben,RUVNL,JPL_DHULE,BAWANA_GAS,SHPPBPL,SHPPBPL,GOA_Beneficiary,Arunachal_Ben,ACBIL,SIMHAPURI,NHCPL_HP,UTTARAKHAND,JPL,A_A_Energy_MH_Bio,BAWANA_GAS,JHAJJAR,MMS STEEL TN,SHPPBPL,APL_Raigarh TPP,TPC MSEB,APL_Raigarh TPP,SORANG_HEP,KSEB,SHPPBPL,HP,RKM_POWER,JPL,GBHHPL,DADRT2,JPL-2,HP-GOVT,GBHHPL,SKS Raigarh,CHANJUII,GMRKEL (STU),KAMENG,ITCWIND,RKM_POWER,JPNIGRIE_JNSTPP,HP,JITPL,AEML,Nagaland_Ben,TANGEDCO,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,TPDDL,MHIL,DELHI,BMDRC,DTCP,BRPL,NDMC,TPDDL,NDMC,BRPL,BAL184,TPDDL,BAL234,BRPL,BYPL,BRPL,PUNJAB,BAL224,MSSH,BRPL,BRPL,BRPL,BRPL,MES (Delhi),BYPL,BRPL,MES (Delhi),HARYANA,TPDDL,BRPL,UHL,BRPL,BYPL,BRPL,TPDDL,BYPL,JHPL-DL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,ITCLH,NDMC,TPDDL,BYPL,BRPL,BYPL,BYPL,BYPL,TPDDL,BYPL,
,,West-North,South-West-North,East-North,East-North,North-North,North-North,North-North,North-North,South-East-North,East-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,East-North,North East-East-North,South-West-North,West-North,West-North,North-North,East-North,West-North,North East-East-North,South-West-North,North-North,North-North,
8,01:45-02:00,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,3.960000,20.720000,164.100000,0.580000,26.290000,0.000000,24.100000,0.000000,90.610000,12.190000,64.660000,0,0,2303.18

9,02:00-02:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,3.960000,20.720000,164.100000,0.580000,26.290000,0.000000,24.100000,0.000000,90.610000,0.000000,64.660000,0,0,2290.99

10,02:15-02:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,3.960000,20.720000,164.100000,0.580000,26.290000,0.000000,24.100000,0.000000,90.610000,0.000000,64.660000,0,0,2290.99

11,02:30-02:45,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,3.960000,20.720000,164.100000,0.580000,26.290000,0.000000,24.100000,0.000000,90.610000,0.000000,64.660000,0,0,2290.99

12,02:45-03:00,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,26.910000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,26.910000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,3.960000,20.720000,164.100000,0.580000,26.290000,0.000000,24.100000,0.000000,90.610000,0.000000,64.660000,0,0,2290.99

