Time,Block,NR/2023/10181/A,NR/2023/11097/F,NR/2023/11950/C,NR/2023/11343/F,NR/2023/11166/F,NR/2023/11095/F,NR/2023/11747/F,NR/2023/11100/F,NR/2023/11102/F,NR/2023/11341/F,NR/2023/11965/C,NR/2023/11368/F,NR/2023/11221/F,NR/2023/11944/D,NR/2023/11367/F,NR/2023/11096/F,NR/2023/10433/A,NR/2023/11949/C,NR/2023/10486/A,NR/2023/11099/F,NR/2023/11369/F,NR/2023/10197/A,NR/2023/10182/A,NR/2023/11154/F,NR/2023/11104/F,NR/2023/11943/D,Total
,,NVVNL,SHPPBPL,GBHHPL,IEXL,IEXL,APPCPL,SJVNL,SHPPBPL,SHPPBPL,IEXL,TPDDL,SHPPBPL,IEXL,TS1PL_BKN,SHPPBPL,SHPPBPL,NVVNL,NVVNL,TPTCL,SHPPBPL,SHPPBPL,TPTCL,NVVNL,HPXL,SHPPBPL,TS1PL_BKN,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,MANIPUR,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,KARNATAKA,HIMACHAL PRADESH,NA,
,,ILFS,SHPPBPL,GBHHPL,JSPL_DCPP,VISHWARAJSUGAR,Manipur_Ben,IPCL_WB,SHPPBPL,SHPPBPL,NAVABHARAT,CHANJUII,SHPPBPL,KPRSUGAR,TS1PL_BKN,SHPPBPL,SHPPBPL,SEIL,SOLAPUR_SOLAR,APNRL,SHPPBPL,SHPPBPL,JPL,JPNIGRIE_JNSTPP,NIRANISUGAR,SHPPBPL,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,MHIL,DIAPL,BRPL,BRPL,STT,NDMC,BMDRC,JHPL-DL,BRPL,TPDDL,BAL224,BRPL,BRPL,BAL184,MAX-HPTL,TPDDL,MES (Delhi),TPDDL,UHL,BAL234,BRPL,BRPL,BRPL,AISHER,BYPL,
,,South-West-North,North-North,North-North,West-North,South-West-North,North East-East-North,East-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,West-North,East-North,North-North,North-North,West-North,West-North,South-East-North,North-North,North-North,
1,00:00-00:15,99.830000,0.360000,28.540000,48.220000,14.470000,2.890000,0.000000,0.530000,0.600000,115.740000,10.860000,0.310000,17.360000,0,0.310000,0.530000,24.110000,0,20.590000,0.360000,0.610000,49.910000,49.910000,9.640000,0.450000,0,496.13

2,00:15-00:30,99.830000,0.360000,28.540000,48.220000,14.470000,2.890000,0.000000,0.530000,0.600000,115.740000,10.860000,0.310000,17.360000,0,0.310000,0.530000,24.110000,0,20.590000,0.360000,0.610000,49.910000,49.910000,9.640000,0.450000,0,496.13

3,00:30-00:45,99.830000,0.360000,28.540000,48.220000,14.470000,2.890000,0.000000,0.530000,0.600000,115.740000,10.860000,0.310000,17.360000,0,0.310000,0.530000,24.110000,0,20.590000,0.360000,0.610000,49.910000,49.910000,9.640000,0.450000,0,496.13

4,00:45-01:00,99.830000,0.360000,28.540000,48.220000,14.470000,2.890000,0.000000,0.530000,0.600000,115.740000,10.860000,0.310000,17.360000,0,0.310000,0.530000,24.110000,0,20.590000,0.360000,0.610000,49.910000,49.910000,9.640000,0.450000,0,496.13

